Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
LCE2D	ENST00000368784.1	late cornified envelope 2D 	5	1	1	0	0	0	hsa-miR-338-5p	-0.52	-0.52	N/A
HDGFRP3	ENST00000299633.4	Hepatoma-derived growth factor-related protein 3  	2577	3	1	2	0	3	hsa-miR-338-5p	-0.50	-0.52	N/A
C1orf52	ENST00000471115.1	chromosome 1 open reading frame 52 	1516	2	1	1	0	0	hsa-miR-338-5p	-0.50	-0.50	N/A
AL136115.1	ENST00000391369.1	HCG2032337; PRO1848; Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-338-5p	-0.50	-0.50	N/A
FAM72D	ENST00000400889.1	family with sequence similarity 72, member D 	5	2	2	0	0	0	hsa-miR-338-5p	-0.50	-0.50	N/A
TCEAL1	ENST00000372625.3	transcription elongation factor A (SII)-like 1 	23	2	1	1	0	0	hsa-miR-338-5p	-0.50	-0.50	N/A
FAM72B	ENST00000369390.3	family with sequence similarity 72, member B 	5	2	2	0	0	0	hsa-miR-338-5p	-0.50	-0.50	N/A
FGF16	ENST00000439435.1	fibroblast growth factor 16 	5	1	1	0	0	0	hsa-miR-338-5p	-0.49	-0.49	N/A
FAM72A	ENST00000367128.3	family with sequence similarity 72, member A 	5	2	2	0	0	0	hsa-miR-338-5p	-0.49	-0.49	N/A
CTD-2014B16.3	ENST00000554907.1	Uncharacterized protein  	5	3	0	2	1	0	hsa-miR-338-5p	-0.49	-0.49	N/A
IL6	ENST00000404625.1	interleukin 6 (interferon, beta 2) 	472	1	1	0	0	0	hsa-miR-338-5p	-0.48	-0.48	N/A
STAG2	ENST00000371160.1	stromal antigen 2 	216	4	1	2	1	2	hsa-miR-338-5p	-0.48	-0.53	N/A
LRRCC1	ENST00000360375.3	leucine rich repeat and coiled-coil centrosomal protein 1 	118	2	1	0	1	1	hsa-miR-338-5p	-0.48	-0.48	N/A
GYPA	ENST00000360771.4	glycophorin A (MNS blood group) 	5	3	1	0	2	1	hsa-miR-338-5p	-0.47	-0.47	N/A
MSTN	ENST00000260950.4	myostatin 	6	4	2	1	1	0	hsa-miR-338-5p	-0.47	-0.47	N/A
HELT	ENST00000505610.1	helt bHLH transcription factor 	15	2	2	0	0	0	hsa-miR-338-5p	-0.47	-0.79	N/A
SLC35E3	ENST00000398004.2	solute carrier family 35, member E3 	250	1	0	1	0	0	hsa-miR-338-5p	-0.47	-0.47	N/A
RBX1	ENST00000216225.8	ring-box 1, E3 ubiquitin protein ligase 	3052	1	1	0	0	0	hsa-miR-338-5p	-0.47	-0.47	N/A
RHEB	ENST00000262187.5	Ras homolog enriched in brain 	14	2	1	1	0	0	hsa-miR-338-5p	-0.46	-0.46	N/A
IRF6	ENST00000367021.3	interferon regulatory factor 6 	28	1	1	0	0	1	hsa-miR-338-5p	-0.46	-0.46	N/A
IFNW1	ENST00000380229.2	interferon, omega 1 	5	1	1	0	0	0	hsa-miR-338-5p	-0.45	-0.45	N/A
CTD-2510F5.6	ENST00000577660.1	Uncharacterized protein  	93	2	0	1	1	0	hsa-miR-338-5p	-0.44	-0.44	N/A
ADM	ENST00000278175.5	adrenomedullin 	1541	2	1	1	0	0	hsa-miR-338-5p	-0.43	-0.53	N/A
ZNF273	ENST00000545510.1	zinc finger protein 273 	724	2	0	2	0	1	hsa-miR-338-5p	-0.43	-0.43	N/A
FAM72C	ENST00000369175.3	family with sequence similarity 72, member C 	9	2	2	0	0	0	hsa-miR-338-5p	-0.42	-0.62	N/A
ZC3H6	ENST00000343936.4	zinc finger CCCH-type containing 6 	10	5	0	0	5	3	hsa-miR-338-5p	-0.42	-0.42	N/A
UTS2B	ENST00000340524.5	urotensin 2B 	13	3	1	0	2	0	hsa-miR-338-5p	-0.42	-0.42	N/A
KRTAP20-2	ENST00000330798.2	keratin associated protein 20-2 	45	1	1	0	0	0	hsa-miR-338-5p	-0.41	-0.48	N/A
SPRY2	ENST00000377102.1	sprouty homolog 2 (Drosophila) 	139	3	1	1	1	0	hsa-miR-338-5p	-0.41	-0.43	N/A
NDFIP1	ENST00000253814.4	Nedd4 family interacting protein 1 	2478	3	1	1	1	0	hsa-miR-338-5p	-0.41	-0.42	N/A
RGCC	ENST00000379359.3	regulator of cell cycle 	1619	1	1	0	0	0	hsa-miR-338-5p	-0.41	-0.41	N/A
LUZP6	ENST00000589735.1	leucine zipper protein 6 	1290	1	1	0	0	0	hsa-miR-338-5p	-0.41	-0.41	N/A
CCDC14	ENST00000488653.2	coiled-coil domain containing 14 	275	2	1	0	1	1	hsa-miR-338-5p	-0.40	-0.41	N/A
TAF1B	ENST00000263663.5	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa 	214	2	1	0	1	0	hsa-miR-338-5p	-0.40	-0.43	N/A
PLN	ENST00000357525.5	phospholamban 	5	1	1	0	0	1	hsa-miR-338-5p	-0.40	-0.40	N/A
YIPF5	ENST00000274496.5	Yip1 domain family, member 5 	594	5	0	1	4	0	hsa-miR-338-5p	-0.40	-0.47	N/A
SSH2	ENST00000582084.1	slingshot protein phosphatase 2 	190	2	1	0	1	1	hsa-miR-338-5p	-0.39	-0.45	N/A
FABP2	ENST00000274024.3	fatty acid binding protein 2, intestinal 	5	2	1	0	1	0	hsa-miR-338-5p	-0.39	-0.39	N/A
MYF5	ENST00000228644.3	myogenic factor 5 	5	1	1	0	0	0	hsa-miR-338-5p	-0.39	-0.39	N/A
CROT	ENST00000412227.2	carnitine O-octanoyltransferase 	51	2	1	0	1	1	hsa-miR-338-5p	-0.39	-0.56	N/A
H3F3C	ENST00000340398.3	H3 histone, family 3C 	7	1	1	0	0	0	hsa-miR-338-5p	-0.39	-0.39	N/A
C6orf57	ENST00000370474.3	chromosome 6 open reading frame 57 	445	1	0	1	0	0	hsa-miR-338-5p	-0.39	-0.39	N/A
LTV1	ENST00000367576.5	LTV1 homolog (S. cerevisiae) 	137	1	1	0	0	0	hsa-miR-338-5p	-0.39	-0.39	N/A
AC135178.1	ENST00000535173.1	HCG1985372; Uncharacterized protein; cDNA FLJ37541 fis, clone BRCAN2026340  	13	2	1	1	0	1	hsa-miR-338-5p	-0.39	-0.39	N/A
GORAB	ENST00000367763.3	golgin, RAB6-interacting 	60	1	1	0	0	1	hsa-miR-338-5p	-0.38	-0.38	N/A
BRDT	ENST00000399546.2	bromodomain, testis-specific 	8	1	1	0	0	0	hsa-miR-338-5p	-0.38	-0.38	N/A
CCSAP	ENST00000366687.1	centriole, cilia and spindle-associated protein 	1210	3	1	2	0	2	hsa-miR-338-5p	-0.38	-0.41	N/A
FAM173B	ENST00000280330.8	family with sequence similarity 173, member B 	257	1	1	0	0	0	hsa-miR-338-5p	-0.38	-0.38	N/A
CUL2	ENST00000374746.1	cullin 2 	27	2	2	0	0	2	hsa-miR-338-5p	-0.37	-0.52	N/A
FABP4	ENST00000256104.4	fatty acid binding protein 4, adipocyte 	18	2	0	2	0	1	hsa-miR-338-5p	-0.37	-0.40	N/A
RNF138	ENST00000261593.3	ring finger protein 138, E3 ubiquitin protein ligase 	376	3	2	0	1	1	hsa-miR-338-5p	-0.37	-0.39	N/A
GML	ENST00000220940.1	glycosylphosphatidylinositol anchored molecule like 	5	1	0	1	0	0	hsa-miR-338-5p	-0.37	-0.37	N/A
RDH14	ENST00000381249.3	retinol dehydrogenase 14 (all-trans/9-cis/11-cis) 	535	1	1	0	0	0	hsa-miR-338-5p	-0.37	-0.37	N/A
CTLA4	ENST00000427473.2	cytotoxic T-lymphocyte-associated protein 4 	5	1	1	0	0	1	hsa-miR-338-5p	-0.37	-0.37	N/A
NT5C1B	ENST00000600945.1	5'-nucleotidase, cytosolic IB 	567	2	1	0	1	0	hsa-miR-338-5p	-0.37	-0.40	N/A
C11orf82	ENST00000533655.1	chromosome 11 open reading frame 82 	579	2	0	1	1	0	hsa-miR-338-5p	-0.37	-0.37	N/A
NUDT15	ENST00000258662.2	nudix (nucleoside diphosphate linked moiety X)-type motif 15 	16	3	2	1	0	0	hsa-miR-338-5p	-0.37	-0.37	N/A
NT5C1B-RDH14	ENST00000532967.1	NT5C1B-RDH14 readthrough 	572	2	1	0	1	0	hsa-miR-338-5p	-0.37	-0.40	N/A
ZNF830	ENST00000361952.3	zinc finger protein 830 	451	2	1	0	1	0	hsa-miR-338-5p	-0.37	-0.40	N/A
WIF1	ENST00000286574.4	WNT inhibitory factor 1 	28	1	1	0	0	1	hsa-miR-338-5p	-0.36	-0.36	N/A
UBA5	ENST00000264991.4	ubiquitin-like modifier activating enzyme 5 	489	2	2	0	0	1	hsa-miR-338-5p	-0.36	-0.36	N/A
CDNF	ENST00000378442.1	cerebral dopamine neurotrophic factor 	6	2	1	0	1	1	hsa-miR-338-5p	-0.36	-0.45	N/A
LSM6	ENST00000502781.1	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae) 	660	1	1	0	0	1	hsa-miR-338-5p	-0.36	-0.50	N/A
GALNT7	ENST00000265000.4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7) 	953	1	1	0	0	2	hsa-miR-338-5p	-0.35	-0.37	N/A
CCDC126	ENST00000307471.3	coiled-coil domain containing 126 	846	4	1	1	2	0	hsa-miR-338-5p	-0.35	-0.37	N/A
C17orf77	ENST00000392620.1	chromosome 17 open reading frame 77 	5	2	1	1	0	0	hsa-miR-338-5p	-0.35	-0.35	N/A
CD109	ENST00000437994.2	CD109 molecule 	1272	1	0	0	1	3	hsa-miR-338-5p	-0.35	-0.41	N/A
ORC6	ENST00000568364.2	origin recognition complex, subunit 6 	855	2	1	0	1	0	hsa-miR-338-5p	-0.35	-0.36	N/A
SLC41A3	ENST00000360370.4	solute carrier family 41, member 3 	693	1	1	0	0	0	hsa-miR-338-5p	-0.35	-0.36	N/A
EID3	ENST00000527879.1	EP300 interacting inhibitor of differentiation 3 	10	1	1	0	0	0	hsa-miR-338-5p	-0.35	-0.35	N/A
AC129492.6	ENST00000399413.3		5	1	1	0	0	0	hsa-miR-338-5p	-0.35	-0.35	N/A
HACE1	ENST00000262903.4	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 	191	3	2	0	1	0	hsa-miR-338-5p	-0.34	-0.34	N/A
ATP6V0A4	ENST00000310018.2	ATPase, H+ transporting, lysosomal V0 subunit a4 	9	2	1	1	0	0	hsa-miR-338-5p	-0.34	-0.34	N/A
SF3B14	ENST00000233468.4	Pre-mRNA branch site protein p14  	2135	1	0	1	0	0	hsa-miR-338-5p	-0.34	-0.34	N/A
ATXN10	ENST00000252934.5	ataxin 10 	4734	1	1	0	0	0	hsa-miR-338-5p	-0.34	-0.34	N/A
RP11-322L20.1	ENST00000557527.1	HCG2028865; Uncharacterized protein  	5	1	1	0	0	1	hsa-miR-338-5p	-0.34	-0.34	N/A
NUP88	ENST00000573584.1	nucleoporin 88kDa 	2415	1	1	0	0	0	hsa-miR-338-5p	-0.34	-0.34	N/A
HIST1H2BH	ENST00000356350.2	histone cluster 1, H2bh 	24	2	2	0	0	0	hsa-miR-338-5p	-0.34	-0.44	N/A
ARMCX5	ENST00000246174.2	armadillo repeat containing, X-linked 5 	270	1	1	0	0	1	hsa-miR-338-5p	-0.34	-0.34	N/A
RASSF9	ENST00000361228.3	Ras association (RalGDS/AF-6) domain family (N-terminal) member 9 	9	2	1	0	1	2	hsa-miR-338-5p	-0.34	-0.36	N/A
TCTEX1D2	ENST00000325318.5	Tctex1 domain containing 2 	3633	1	0	1	0	0	hsa-miR-338-5p	-0.34	-0.34	N/A
SENP7	ENST00000394095.2	SUMO1/sentrin specific peptidase 7 	342	2	2	0	0	1	hsa-miR-338-5p	-0.34	-0.34	N/A
TXNDC12	ENST00000371626.4	thioredoxin domain containing 12 (endoplasmic reticulum) 	101	1	1	0	0	0	hsa-miR-338-5p	-0.34	-0.43	N/A
ACADM	ENST00000370841.4	acyl-CoA dehydrogenase, C-4 to C-12 straight chain 	5800	2	1	0	1	0	hsa-miR-338-5p	-0.33	-0.34	N/A
MUC7	ENST00000304887.5	mucin 7, secreted 	5	1	1	0	0	1	hsa-miR-338-5p	-0.33	-0.33	N/A
CFHR4	ENST00000608469.1	complement factor H-related 4 	5	3	1	2	0	0	hsa-miR-338-5p	-0.33	-0.35	N/A
SYCP3	ENST00000266743.2	synaptonemal complex protein 3 	5	1	1	0	0	0	hsa-miR-338-5p	-0.33	-0.33	N/A
RAB38	ENST00000243662.6	RAB38, member RAS oncogene family 	11	2	1	1	0	0	hsa-miR-338-5p	-0.33	-0.33	N/A
HFM1	ENST00000294696.5	HFM1, ATP-dependent DNA helicase homolog (S. cerevisiae) 	6	2	1	0	1	1	hsa-miR-338-5p	-0.33	-0.33	N/A
AGR2	ENST00000419304.2	anterior gradient 2 	13	1	1	0	0	0	hsa-miR-338-5p	-0.33	-0.33	N/A
MZT1	ENST00000377818.3	mitotic spindle organizing protein 1 	157	1	1	0	0	0	hsa-miR-338-5p	-0.32	-0.32	N/A
CADM2	ENST00000383699.3	cell adhesion molecule 2 	5	4	2	1	1	1	hsa-miR-338-5p	-0.32	-0.32	N/A
TRPC1	ENST00000273482.6	transient receptor potential cation channel, subfamily C, member 1 	18	3	1	0	2	2	hsa-miR-338-5p	-0.32	-0.32	N/A
GDPD1	ENST00000284116.4	glycerophosphodiester phosphodiesterase domain containing 1 	138	2	1	0	1	0	hsa-miR-338-5p	-0.32	-0.36	N/A
AC008964.1	ENST00000593965.1		5	1	1	0	0	0	hsa-miR-338-5p	-0.32	-0.32	N/A
KLF10	ENST00000285407.6	Kruppel-like factor 10 	320	2	1	1	0	1	hsa-miR-338-5p	-0.32	-0.32	N/A
ANP32E	ENST00000533654.1	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E 	572	2	1	1	0	1	hsa-miR-338-5p	-0.32	-0.35	N/A
CTD-2054N24.2	ENST00000560059.1	Uncharacterized protein  	28	2	0	2	0	0	hsa-miR-338-5p	-0.32	-0.32	N/A
CTGF	ENST00000367976.3	connective tissue growth factor 	10083	2	1	1	0	0	hsa-miR-338-5p	-0.32	-0.33	N/A
MNX1	ENST00000252971.6	motor neuron and pancreas homeobox 1 	887	1	1	0	0	0	hsa-miR-338-5p	-0.32	-0.32	N/A
CBWD1	ENST00000382393.1	COBW domain containing 1 	5	1	1	0	0	1	hsa-miR-338-5p	-0.32	-0.32	N/A
TTK	ENST00000509894.1	TTK protein kinase 	539	2	1	0	1	2	hsa-miR-338-5p	-0.32	-0.38	N/A
GTPBP2	ENST00000307126.5	GTP binding protein 2 	388	1	1	0	0	0	hsa-miR-338-5p	-0.31	-0.31	N/A
TRAT1	ENST00000295756.6	T cell receptor associated transmembrane adaptor 1 	5	2	1	1	0	1	hsa-miR-338-5p	-0.31	-0.31	N/A
ID1	ENST00000376105.3	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein 	7992	2	0	1	1	0	hsa-miR-338-5p	-0.31	-0.32	N/A
PPP6R3	ENST00000393800.2	protein phosphatase 6, regulatory subunit 3 	400	3	2	0	1	1	hsa-miR-338-5p	-0.31	-0.33	N/A
TAF6	ENST00000453269.2	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa 	8012	1	1	0	0	0	hsa-miR-338-5p	-0.31	-0.31	N/A
MRPS18B	ENST00000259873.4	mitochondrial ribosomal protein S18B 	1667	1	1	0	0	0	hsa-miR-338-5p	-0.31	-0.31	N/A
H3F3B	ENST00000591890.1	H3 histone, family 3B (H3.3B) 	336	1	1	0	0	0	hsa-miR-338-5p	-0.30	-0.37	N/A
CTTN	ENST00000346329.3	cortactin 	6158	2	1	0	1	0	hsa-miR-338-5p	-0.30	-0.30	N/A
PAGE5	ENST00000374952.1	P antigen family, member 5 (prostate associated) 	5	1	0	1	0	0	hsa-miR-338-5p	-0.30	-0.30	N/A
DARS	ENST00000264161.4	aspartyl-tRNA synthetase 	361	3	2	1	0	1	hsa-miR-338-5p	-0.30	-0.48	N/A
TTBK2	ENST00000567840.1	tau tubulin kinase 2 	19	1	0	0	1	1	hsa-miR-338-5p	-0.30	-0.30	N/A
CIB4	ENST00000288861.4	calcium and integrin binding family member 4 	5	1	0	1	0	0	hsa-miR-338-5p	-0.30	-0.30	N/A
RABGGTB	ENST00000319942.3	Rab geranylgeranyltransferase, beta subunit 	1644	2	1	1	0	0	hsa-miR-338-5p	-0.30	-0.66	N/A
RAB6B	ENST00000285208.4	RAB6B, member RAS oncogene family 	669	3	1	2	0	0	hsa-miR-338-5p	-0.30	-0.41	N/A
AP1S3	ENST00000396654.2	adaptor-related protein complex 1, sigma 3 subunit 	130	1	1	0	0	1	hsa-miR-338-5p	-0.30	-0.31	N/A
C9orf153	ENST00000339137.3	chromosome 9 open reading frame 153 	5	1	1	0	0	0	hsa-miR-338-5p	-0.30	-0.30	N/A
HOXA10	ENST00000283921.4	homeobox A10 	1910	2	1	1	0	0	hsa-miR-338-5p	-0.30	-0.30	N/A
C10orf32	ENST00000339834.5	chromosome 10 open reading frame 32 	642	4	0	4	0	1	hsa-miR-338-5p	-0.29	-0.43	N/A
DDX59	ENST00000331314.6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59 	141	2	1	0	1	0	hsa-miR-338-5p	-0.29	-0.61	N/A
MTRNR2L13	ENST00000604093.1	MT-RNR2-like 13 (pseudogene) 	5	1	0	1	0	0	hsa-miR-338-5p	-0.29	-0.29	N/A
INTU	ENST00000335251.6	inturned planar cell polarity protein 	105	7	1	3	3	3	hsa-miR-338-5p	-0.29	-0.40	N/A
TDGF1	ENST00000296145.5	teratocarcinoma-derived growth factor 1 	5	1	1	0	0	0	hsa-miR-338-5p	-0.29	-0.29	N/A
PFDN4	ENST00000371419.2	prefoldin subunit 4 	4331	1	0	1	0	0	hsa-miR-338-5p	-0.29	-0.29	N/A
HSPA5	ENST00000324460.6	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) 	2715	3	2	1	0	0	hsa-miR-338-5p	-0.29	-0.33	N/A
B3GALT6	ENST00000379198.2	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 	2444	1	1	0	0	0	hsa-miR-338-5p	-0.29	-0.30	N/A
NTF3	ENST00000423158.3	neurotrophin 3 	154	1	0	1	0	1	hsa-miR-338-5p	-0.29	-0.30	N/A
PARP2	ENST00000527915.1	poly (ADP-ribose) polymerase 2 	2959	2	2	0	0	0	hsa-miR-338-5p	-0.29	-0.32	N/A
CCL18	ENST00000004921.3	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) 	5	1	1	0	0	1	hsa-miR-338-5p	-0.29	-0.29	N/A
BAG2	ENST00000370693.5	BCL2-associated athanogene 2 	2237	1	1	0	0	2	hsa-miR-338-5p	-0.29	-0.35	N/A
HIVEP1	ENST00000379388.2	human immunodeficiency virus type I enhancer binding protein 1 	781	2	0	1	1	0	hsa-miR-338-5p	-0.29	-0.29	N/A
CCDC82	ENST00000278520.5	coiled-coil domain containing 82 	224	1	1	0	0	0	hsa-miR-338-5p	-0.29	-0.30	N/A
CCL15	ENST00000354059.4	chemokine (C-C motif) ligand 15 	135	1	0	1	0	0	hsa-miR-338-5p	-0.29	-0.30	N/A
CD9	ENST00000382518.1	CD9 molecule 	4366	1	1	0	0	0	hsa-miR-338-5p	-0.29	-0.29	N/A
RAB23	ENST00000317483.3	RAB23, member RAS oncogene family 	32	4	0	4	0	1	hsa-miR-338-5p	-0.29	-0.39	N/A
BCL2L11	ENST00000393256.3	BCL2-like 11 (apoptosis facilitator) 	105	4	2	2	0	0	hsa-miR-338-5p	-0.29	-0.34	N/A
POLR3G	ENST00000504930.1	polymerase (RNA) III (DNA directed) polypeptide G (32kD) 	67	2	1	1	0	1	hsa-miR-338-5p	-0.29	-0.29	N/A
ETS2	ENST00000360214.3	v-ets avian erythroblastosis virus E26 oncogene homolog 2 	3965	1	1	0	0	0	hsa-miR-338-5p	-0.28	-0.28	N/A
ANKRD49	ENST00000544253.1	ankyrin repeat domain 49 	32	2	1	1	0	2	hsa-miR-338-5p	-0.28	-0.29	N/A
KCNMB2	ENST00000432997.1	potassium large conductance calcium-activated channel, subfamily M, beta member 2 	5	1	1	0	0	1	hsa-miR-338-5p	-0.28	-0.28	N/A
SNX25	ENST00000504273.1	sorting nexin 25 	21	1	1	0	0	2	hsa-miR-338-5p	-0.28	-0.30	N/A
LTBR	ENST00000228918.4	lymphotoxin beta receptor (TNFR superfamily, member 3) 	49	1	1	0	0	0	hsa-miR-338-5p	-0.28	-0.28	N/A
TTC33	ENST00000337702.4	tetratricopeptide repeat domain 33 	676	3	1	1	1	1	hsa-miR-338-5p	-0.28	-0.30	N/A
DSN1	ENST00000426836.1	DSN1, MIS12 kinetochore complex component 	350	1	1	0	0	0	hsa-miR-338-5p	-0.28	-0.28	N/A
DENND4A	ENST00000443035.3	DENN/MADD domain containing 4A 	392	1	1	0	0	0	hsa-miR-338-5p	-0.28	-0.28	N/A
SMG8	ENST00000300917.5	SMG8 nonsense mediated mRNA decay factor 	93	2	0	1	1	0	hsa-miR-338-5p	-0.28	-0.28	N/A
C9orf40	ENST00000376854.5	chromosome 9 open reading frame 40 	534	2	0	1	1	2	hsa-miR-338-5p	-0.28	-0.32	N/A
SCML1	ENST00000380045.3	sex comb on midleg-like 1 (Drosophila) 	722	2	1	1	0	0	hsa-miR-338-5p	-0.27	-0.28	N/A
CXCR4	ENST00000409817.1	chemokine (C-X-C motif) receptor 4 	14	1	1	0	0	0	hsa-miR-338-5p	-0.27	-0.32	N/A
CLIC4	ENST00000374379.4	chloride intracellular channel 4 	226	3	1	1	1	1	hsa-miR-338-5p	-0.27	-0.39	N/A
RPSAP58	ENST00000496398.1	ribosomal protein SA pseudogene 58 	70	2	0	2	0	1	hsa-miR-338-5p	-0.27	-0.34	N/A
C8orf37	ENST00000286688.5	chromosome 8 open reading frame 37 	70	3	1	0	2	2	hsa-miR-338-5p	-0.27	-0.30	N/A
HORMAD1	ENST00000368995.4	HORMA domain containing 1 	153	2	0	2	0	0	hsa-miR-338-5p	-0.27	-0.28	N/A
NCK2	ENST00000451463.2	NCK adaptor protein 2 	178	1	1	0	0	0	hsa-miR-338-5p	-0.27	-0.28	N/A
NPPC	ENST00000409852.1	natriuretic peptide C 	9	1	0	1	0	0	hsa-miR-338-5p	-0.27	-0.27	N/A
MICB	ENST00000399150.3	MHC class I polypeptide-related sequence B 	189	1	1	0	0	2	hsa-miR-338-5p	-0.27	-0.27	N/A
ANKRD1	ENST00000371697.3	ankyrin repeat domain 1 (cardiac muscle) 	8	1	1	0	0	0	hsa-miR-338-5p	-0.27	-0.27	N/A
SRY	ENST00000383070.1	sex determining region Y 	5	1	0	1	0	0	hsa-miR-338-5p	-0.27	-0.27	N/A
CEP44	ENST00000296519.4	centrosomal protein 44kDa 	376	3	1	1	1	0	hsa-miR-338-5p	-0.27	-0.27	N/A
C10orf118	ENST00000543782.1	chromosome 10 open reading frame 118 	146	6	1	2	3	1	hsa-miR-338-5p	-0.26	-0.30	N/A
RMI1	ENST00000325875.3	RecQ mediated genome instability 1 	409	2	1	1	0	2	hsa-miR-338-5p	-0.26	-0.26	N/A
CYP24A1	ENST00000216862.3	cytochrome P450, family 24, subfamily A, polypeptide 1 	51	1	1	0	0	0	hsa-miR-338-5p	-0.26	-0.26	N/A
RP11-47I22.4	ENST00000556347.1		12	2	1	1	0	2	hsa-miR-338-5p	-0.26	-0.47	N/A
RP11-162A12.2	ENST00000585258.1	Uncharacterized protein  	5	1	0	1	0	0	hsa-miR-338-5p	-0.26	-0.26	N/A
ARMCX3	ENST00000341189.4	armadillo repeat containing, X-linked 3 	353	1	1	0	0	3	hsa-miR-338-5p	-0.26	-0.26	N/A
GLRX5	ENST00000331334.4	glutaredoxin 5 	6308	1	0	1	0	1	hsa-miR-338-5p	-0.26	-0.26	N/A
C1orf21	ENST00000235307.6	chromosome 1 open reading frame 21 	935	2	1	1	0	1	hsa-miR-338-5p	-0.26	-0.30	N/A
MLANA	ENST00000381477.3	melan-A 	5	1	1	0	0	0	hsa-miR-338-5p	-0.26	-0.26	N/A
C19orf12	ENST00000592153.1	chromosome 19 open reading frame 12 	242	2	1	1	0	0	hsa-miR-338-5p	-0.26	-0.29	N/A
RP11-758M4.1	ENST00000523118.1	Uncharacterized protein  	5	1	1	0	0	1	hsa-miR-338-5p	-0.26	-0.26	N/A
NSMCE4A	ENST00000369023.3	non-SMC element 4 homolog A (S. cerevisiae) 	139	1	1	0	0	0	hsa-miR-338-5p	-0.26	-0.26	N/A
CHODL	ENST00000400128.1	chondrolectin 	26	1	1	0	0	0	hsa-miR-338-5p	-0.26	-0.26	N/A
CEP112	ENST00000535342.2	centrosomal protein 112kDa 	73	1	1	0	0	0	hsa-miR-338-5p	-0.26	-0.26	N/A
ID4	ENST00000378700.3	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein 	3400	3	1	1	1	2	hsa-miR-338-5p	-0.26	-0.33	N/A
MMP20	ENST00000260228.2	matrix metallopeptidase 20 	5	1	1	0	0	0	hsa-miR-338-5p	-0.26	-0.26	N/A
TAF7	ENST00000313368.5	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa 	783	2	0	1	1	0	hsa-miR-338-5p	-0.26	-0.26	N/A
C15orf53	ENST00000318792.1	chromosome 15 open reading frame 53 	5	1	1	0	0	0	hsa-miR-338-5p	-0.26	-0.26	N/A
