Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
MOB1B	ENST00000309395.2	MOB kinase activator 1B 	54	2	0	1	1	2	0	2	0	1	hsa-miR-128-3p	-0.48	-0.48	0.68	2005, 2007, 2009, 2011
BEND4	ENST00000504360.1	BEN domain containing 4 	187	2	1	0	1	3	0	3	0	1	hsa-miR-128-3p	-0.48	-0.48	0.96	2009, 2011
ORC5	ENST00000297431.4	origin recognition complex, subunit 5 	407	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.47	-0.47	0.59	2005, 2007, 2009, 2011
CA10	ENST00000570565.1	carbonic anhydrase X 	5	2	0	1	1	0	0	0	0	0	hsa-miR-128-3p	-0.47	-0.47	0.73	2005, 2007, 2011
SEC61A1	ENST00000243253.3	Sec61 alpha 1 subunit (S. cerevisiae) 	2966	1	0	1	0	2	0	1	1	1	hsa-miR-128-3p	-0.46	-0.47	0.77	2005, 2007, 2009, 2011
NEK2	ENST00000366999.4	NIMA-related kinase 2 	72	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.46	-0.46	0.16	2005, 2007, 2009, 2011
ECE1	ENST00000415912.2	endothelin converting enzyme 1 	1166	1	0	1	0	1	0	1	0	1	hsa-miR-128-3p	-0.46	-0.46	0.71	2009, 2011
SNAP25	ENST00000254976.2	synaptosomal-associated protein, 25kDa 	54	2	0	0	2	1	1	0	0	1	hsa-miR-128-3p	-0.46	-0.61	0.96	2005, 2007, 2009, 2011
VANGL1	ENST00000355485.2	VANGL planar cell polarity protein 1 	721	3	1	1	1	1	1	0	0	0	hsa-miR-128-3p	-0.46	-0.64	0.95	2007, 2009, 2011
GALNT7	ENST00000265000.4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7) 	953	1	0	0	1	1	0	0	1	1	hsa-miR-128-3p	-0.46	-0.46	0.57	2005, 2007, 2009, 2011
MIER2	ENST00000264819.4	mesoderm induction early response 1, family member 2 	137	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.45	-0.45	0.89	2007, 2009, 2011
GTF2A2	ENST00000396060.2	general transcription factor IIA, 2, 12kDa 	1068	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	-0.45	-0.45	0.66	2005, 2007, 2011
MOSPD3	ENST00000393950.2	motile sperm domain containing 3 	106	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.45	-0.45	0.74	2005, 2007, 2009, 2011
MINPP1	ENST00000371994.4	multiple inositol-polyphosphate phosphatase 1 	1079	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.44	-0.44	ORF	
CASP8	ENST00000392259.2	caspase 8, apoptosis-related cysteine peptidase 	64	1	1	0	0	1	0	1	0	1	hsa-miR-128-3p	-0.44	-0.44	< 0.1	
PHGDH	ENST00000369409.4	phosphoglycerate dehydrogenase 	13089	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.44	-0.44	< 0.1	2009, 2011
EML1	ENST00000262233.6	echinoderm microtubule associated protein like 1 	371	1	1	0	0	0	0	0	0	2	hsa-miR-128-3p	-0.44	-0.44	0.87	2009, 2011
NXT2	ENST00000372106.1	nuclear transport factor 2-like export factor 2 	390	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.44	-0.44	0.79	2005, 2007, 2009, 2011
GLTP	ENST00000318348.4	glycolipid transfer protein 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.43	-0.43	0.90	2005, 2007, 2009, 2011
UBE2N	ENST00000550657.1	ubiquitin-conjugating enzyme E2N 	321	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.43	-0.46	0.92	2005, 2007, 2009, 2005, 2007, 2009, 2011
NHS	ENST00000380060.3	Nance-Horan syndrome (congenital cataracts and dental anomalies) 	72	1	1	0	0	1	0	1	0	1	hsa-miR-128-3p	-0.43	-0.43	0.81	2005, 2007, 2009, 2011
CABLES2	ENST00000279101.5	Cdk5 and Abl enzyme substrate 2 	450	2	1	1	0	0	0	0	0	1	hsa-miR-128-3p	-0.42	-0.43	0.94	2005, 2007, 2009, 2011
RNF38	ENST00000259605.6	ring finger protein 38 	348	2	0	1	1	1	0	0	1	1	hsa-miR-128-3p	-0.42	-0.43	0.86	2005, 2007, 2009, 2011
AKIRIN1	ENST00000432648.3	akirin 1 	798	3	0	0	3	0	0	0	0	0	hsa-miR-128-3p	-0.42	-0.47	0.97	2007
CCDC71	ENST00000321895.6	coiled-coil domain containing 71 	64	1	1	0	0	1	1	0	0	0	hsa-miR-128-3p	-0.42	-0.55	0.91	2007, 2009, 2011
PHF6	ENST00000332070.3	PHD finger protein 6 	630	3	0	3	0	0	0	0	0	0	hsa-miR-128-3p	-0.42	-0.42	0.39	2005, 2007, 2011
IGLON5	ENST00000270642.8	IgLON family member 5 	5	1	1	0	0	2	1	0	1	0	hsa-miR-128-3p	-0.42	-0.65	0.94	2009, 2011
EFR3A	ENST00000254624.5	EFR3 homolog A (S. cerevisiae) 	372	2	0	2	0	1	0	0	1	1	hsa-miR-128-3p	-0.42	-0.57	0.73	2005, 2007, 2009, 2011
G6PC3	ENST00000269097.4	glucose 6 phosphatase, catalytic, 3 	429	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.42	-0.42	0.54	2011
BLOC1S5	ENST00000397457.2	biogenesis of lysosomal organelles complex-1, subunit 5, muted 	187	1	1	0	0	2	0	2	0	1	hsa-miR-128-3p	-0.42	-0.46	0.76	2009, 2011
PPP1CC	ENST00000335007.5	protein phosphatase 1, catalytic subunit, gamma isozyme 	3739	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.42	-0.42	0.81	2005, 2007, 2009, 2011
PPP4C	ENST00000279387.7	protein phosphatase 4, catalytic subunit 	59	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.41	-0.41	0.76	2005, 2007, 2009, 2011
NREP	ENST00000379671.3	neuronal regeneration related protein 	409	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.41	-0.47	0.83	2005, 2007, 2009, 2011
SH2D3C	ENST00000373277.4	SH2 domain containing 3C 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.41	-0.41	0.53	2005, 2007, 2009, 2011
VANGL2	ENST00000368061.2	VANGL planar cell polarity protein 2 	560	1	1	0	0	1	0	1	0	1	hsa-miR-128-3p	-0.41	-0.41	0.88	2007, 2009, 2011
POGZ	ENST00000392723.1	pogo transposable element with ZNF domain 	170	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	-0.41	-0.41	0.69	2009, 2011
TMX1	ENST00000457354.2	thioredoxin-related transmembrane protein 1 	3176	2	0	1	1	2	0	1	1	1	hsa-miR-128-3p	-0.40	-0.45	0.93	2007, 2009, 2011
RNF182	ENST00000488300.1	ring finger protein 182 	1122	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.40	-0.48	0.48	2009, 2011
PLAGL1	ENST00000360537.2	pleiomorphic adenoma gene-like 1 	40	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	-0.40	-0.40	0.12	2011
RYBP	ENST00000477973.2	RING1 and YY1 binding protein 	342	2	1	1	0	1	1	0	0	2	hsa-miR-128-3p	-0.40	-0.46	0.94	2005, 2007, 2009, 2011
MDN1	ENST00000369393.3	MDN1, midasin homolog (yeast) 	42	1	1	0	0	0	0	0	0	2	hsa-miR-128-3p	-0.40	-0.40	0.90	
ISL1	ENST00000230658.7	ISL LIM homeobox 1 	67	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.40	-0.40	0.82	2005, 2007, 2009, 2011
FNDC4	ENST00000264703.3	fibronectin type III domain containing 4 	418	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.40	-0.40	0.54	2009, 2011
CCDC92	ENST00000238156.3	coiled-coil domain containing 92 	105	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	-0.40	-0.42	0.90	2007, 2009, 2011
RGS17	ENST00000367225.2	regulator of G-protein signaling 17 	11	1	0	0	1	1	0	0	1	2	hsa-miR-128-3p	-0.40	-0.45	0.78	2009, 2011
GATA6	ENST00000269216.3	GATA binding protein 6 	691	1	1	0	0	1	0	1	0	2	hsa-miR-128-3p	-0.40	-0.42	0.91	2009, 2011
KCNK10	ENST00000340700.5	potassium channel, subfamily K, member 10 	5	2	0	2	0	0	0	0	0	0	hsa-miR-128-3p	-0.40	-0.40	0.97	2005, 2007, 2009, 2011
DIRAS1	ENST00000323469.4	DIRAS family, GTP-binding RAS-like 1 	49	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.40	-0.40	0.87	2005, 2007, 2009, 2011
XCR1	ENST00000309285.3	chemokine (C motif) receptor 1 	5	1	1	0	0	2	0	2	0	0	hsa-miR-128-3p	-0.40	-0.40	< 0.1	
CABP1	ENST00000453000.1	calcium binding protein 1 	13	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.39	-0.39	0.72	2005, 2007, 2009, 2011
THAP11	ENST00000303596.1	THAP domain containing 11 	1536	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	-0.39	-0.39	0.40	2009, 2011
RGL2	ENST00000497454.1	ral guanine nucleotide dissociation stimulator-like 2 	150	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.39	-0.43	0.56	2011
ALDH4A1	ENST00000375341.3	aldehyde dehydrogenase 4 family, member A1 	520	1	1	0	0	2	0	1	1	0	hsa-miR-128-3p	-0.39	-0.39	0.64	2009, 2011
SEC24A	ENST00000398844.2	SEC24 family, member A (S. cerevisiae) 	679	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.39	-0.39	0.73	2007, 2009, 2011
TFEB	ENST00000230323.4	transcription factor EB 	5	1	0	1	0	1	0	1	0	0	hsa-miR-128-3p	-0.39	-0.39	0.48	2005, 2007, 2011
RAP1B	ENST00000250559.9	RAP1B, member of RAS oncogene family 	3599	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.39	-0.39	0.68	2005, 2007, 2009, 2011
F3	ENST00000334047.7	coagulation factor III (thromboplastin, tissue factor) 	13568	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	-0.39	-0.42	0.46	2009, 2011
SLC35F3	ENST00000366618.3	solute carrier family 35, member F3 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.38	-0.38	0.75	2009, 2011
ARRDC4	ENST00000268042.6	arrestin domain containing 4 	10	2	0	1	1	1	0	1	0	0	hsa-miR-128-3p	-0.38	-0.38	0.61	2005, 2007, 2009, 2011
FAM84B	ENST00000304916.3	family with sequence similarity 84, member B 	45	2	0	1	1	0	0	0	0	3	hsa-miR-128-3p	-0.38	-0.38	0.90	2007, 2009, 2011
CYP39A1	ENST00000275016.2	cytochrome P450, family 39, subfamily A, polypeptide 1 	152	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.38	-0.38	< 0.1	2007, 2009, 2011
SP1	ENST00000426431.2	Sp1 transcription factor 	402	2	1	1	0	0	0	0	0	2	hsa-miR-128-3p	-0.38	-0.43	0.85	2005, 2007, 2009, 2011
BMI1	ENST00000376663.3	BMI1 polycomb ring finger oncogene 	200	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.38	-0.40	0.82	2007, 2009, 2011
PDE7B	ENST00000308191.6	phosphodiesterase 7B 	148	1	1	0	0	1	0	0	1	2	hsa-miR-128-3p	-0.38	-0.45	0.91	2005, 2007, 2009, 2011
NEUROD6	ENST00000297142.3	neuronal differentiation 6 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.38	-0.38	0.67	2005, 2007, 2009, 2011
PNRC2	ENST00000334351.7	proline-rich nuclear receptor coactivator 2 	100	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.37	-0.37	0.71	2009, 2011
RCAN2	ENST00000330430.6	regulator of calcineurin 2 	32	2	1	0	1	0	0	0	0	0	hsa-miR-128-3p	-0.37	-0.44	0.82	2007, 2009, 2011
SLC6A1	ENST00000287766.4	solute carrier family 6 (neurotransmitter transporter), member 1 	5	3	0	1	2	1	0	0	1	0	hsa-miR-128-3p	-0.37	-0.37	0.95	2005, 2007, 2009, 2011
PDLIM2	ENST00000409141.1	PDZ and LIM domain 2 (mystique) 	426	1	0	1	0	1	0	0	1	1	hsa-miR-128-3p	-0.37	-0.37	0.20	2011
RPS6KA5	ENST00000261991.3	ribosomal protein S6 kinase, 90kDa, polypeptide 5 	64	3	0	2	1	1	0	0	1	1	hsa-miR-128-3p	-0.37	-0.75	0.98	2005, 2007, 2009, 2011
SREK1	ENST00000334121.6	splicing regulatory glutamine/lysine-rich protein 1 	316	2	0	1	1	0	0	0	0	2	hsa-miR-128-3p	-0.37	-0.42	0.76	2005, 2007
WNK1	ENST00000315939.6	WNK lysine deficient protein kinase 1 	950	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.36	-0.36	0.82	2009, 2011
NGFR	ENST00000172229.3	nerve growth factor receptor 	5	1	1	0	0	1	0	0	1	0	hsa-miR-128-3p	-0.36	-0.36	0.88	2005, 2007, 2009, 2011
BTG2	ENST00000290551.4	BTG family, member 2 	758	2	0	1	1	0	0	0	0	0	hsa-miR-128-3p	-0.36	-0.36	0.80	2005, 2007, 2009, 2011
RP1-170O19.20	ENST00000470747.4	Uncharacterized protein  	151	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	-0.36	-0.37	0.60	
SOX7	ENST00000304501.1	SRY (sex determining region Y)-box 7 	47	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.36	-0.36	0.84	2009, 2011
MSANTD3-TMEFF1	ENST00000502978.1	MSANTD3-TMEFF1 readthrough 	234	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	-0.36	-0.36	0.55	2011
SRPK2	ENST00000393651.3	SRSF protein kinase 2 	381	1	1	0	0	1	1	0	0	0	hsa-miR-128-3p	-0.36	-0.38	0.64	2009, 2011
NRBF2	ENST00000277746.6	nuclear receptor binding factor 2 	11	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.35	-0.35	0.61	2005, 2007, 2009, 2011
ABHD12B	ENST00000353130.1	abhydrolase domain containing 12B 	5	1	0	1	0	1	0	0	1	0	hsa-miR-128-3p	-0.35	-0.35	0.11	
MVB12B	ENST00000361171.3	multivesicular body subunit 12B 	29	2	0	1	1	2	0	2	0	1	hsa-miR-128-3p	-0.35	-0.35	0.87	2009, 2011
FBXO33	ENST00000298097.7	F-box protein 33 	306	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.35	-0.35	0.82	2005, 2007, 2009, 2011
TMEFF1	ENST00000374879.4	transmembrane protein with EGF-like and two follistatin-like domains 1 	234	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	-0.35	-0.35	0.55	2005, 2007, 2009, 2011
KBTBD11	ENST00000320248.3	kelch repeat and BTB (POZ) domain containing 11 	173	1	1	0	0	2	0	2	0	1	hsa-miR-128-3p	-0.35	-0.35	0.61	2011
SOCS6	ENST00000397942.3	suppressor of cytokine signaling 6 	140	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	-0.35	-0.37	0.90	2005, 2007, 2009, 2011
PKIA	ENST00000396418.2	protein kinase (cAMP-dependent, catalytic) inhibitor alpha 	542	1	0	0	1	1	0	0	1	2	hsa-miR-128-3p	-0.35	-0.49	0.79	2007, 2011
ZFP36L1	ENST00000555997.1	ZFP36 ring finger protein-like 1 	231	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.35	-0.41	0.75	2007, 2009, 2011
CASC10	ENST00000377113.5	cancer susceptibility candidate 10 	116	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.35	-0.40	0.79	2005, 2007, 2009, 2011
SS18	ENST00000415083.2	synovial sarcoma translocation, chromosome 18 	205	3	1	2	0	0	0	0	0	1	hsa-miR-128-3p	-0.35	-0.61	0.68	2005, 2007, 2009, 2011
COMMD3-BMI1	ENST00000602390.1	COMMD3-BMI1 readthrough 	195	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.35	-0.36	0.82	2011
AFF4	ENST00000265343.5	AF4/FMR2 family, member 4 	2755	2	0	1	1	2	0	1	1	3	hsa-miR-128-3p	-0.34	-0.35	0.98	2007, 2009, 2011
OSBPL10	ENST00000396556.2	oxysterol binding protein-like 10 	10	2	1	1	0	1	0	1	0	2	hsa-miR-128-3p	-0.34	-0.43	0.93	2009, 2011
COL21A1	ENST00000244728.5	collagen, type XXI, alpha 1 	9	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.34	-0.34	0.79	2009, 2011
FAM133B	ENST00000438306.1	family with sequence similarity 133, member B 	32	1	0	0	1	1	0	1	0	0	hsa-miR-128-3p	-0.34	-0.34	0.75	2007, 2009, 2011
HOXA13	ENST00000222753.4	homeobox A13 	328	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.34	-0.34	0.86	2005, 2007, 2009, 2011
JAG1	ENST00000254958.5	jagged 1 	421	1	0	1	0	0	0	0	0	0	hsa-miR-128-3p	-0.34	-0.34	0.55	2009, 2011
