Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
KBTBD8	ENST00000295568.4	kelch repeat and BTB (POZ) domain containing 8 	22	1	0	1	0	1	0	0	1	1	hsa-miR-219a-5p	-0.38	-0.38	0.75	2007, 2009, 2011
EYA2	ENST00000327619.5	eyes absent homolog 2 (Drosophila) 	15	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.37	-0.37	0.54	2005, 2007, 2009, 2011
CD2AP	ENST00000359314.5	CD2-associated protein 	145	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.37	-0.40	0.93	2005, 2007, 2009, 2011
FBXO3	ENST00000526785.1	F-box protein 3 	813	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.37	-0.37	0.93	2005, 2007, 2009, 2011
MMS19	ENST00000327277.7	MMS19 nucleotide excision repair homolog (S. cerevisiae) 	1062	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.37	-0.37	0.92	2009, 2011
GLTSCR1L	ENST00000314073.5	GLTSCR1-like 	59	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.37	-0.37	0.84	2005, 2007, 2009, 2011
DDAH1	ENST00000535924.2	dimethylarginine dimethylaminohydrolase 1 	46	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.37	-0.37	0.81	2005, 2007, 2009, 2011
SLC35F5	ENST00000245680.2	solute carrier family 35, member F5 	136	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.37	-0.37	0.94	2009, 2011
INSIG1	ENST00000342407.5	insulin induced gene 1 	1776	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.37	-0.41	0.94	2005, 2007, 2009, 2011
PPP1R14B	ENST00000392210.2	protein phosphatase 1, regulatory (inhibitor) subunit 14B 	114	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.36	-0.36	0.70	2007, 2011
THRA	ENST00000450525.2	thyroid hormone receptor, alpha 	547	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.36	-0.36	0.92	
CACUL1	ENST00000369151.3	CDK2-associated, cullin domain 1 	213	1	0	1	0	0	0	0	0	1	hsa-miR-219a-5p	-0.36	-0.38	0.94	2005, 2007, 2009, 2011
NOL4	ENST00000261592.5	nucleolar protein 4 	12	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.36	-0.36	0.86	2007, 2009, 2011
SDK1	ENST00000404826.2	sidekick cell adhesion molecule 1 	60	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.36	-0.36	0.93	2011
ERG	ENST00000398905.1	v-ets avian erythroblastosis virus E26 oncogene homolog 	184	1	0	1	0	2	0	0	2	1	hsa-miR-219a-5p	-0.36	-0.43	0.92	2005, 2007, 2009, 2011
EFNB2	ENST00000245323.4	ephrin-B2 	25	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.36	-0.36	0.85	2009, 2011
GPAT2	ENST00000377137.3	glycerol-3-phosphate acyltransferase 2, mitochondrial 	5	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.35	-0.35	ORF	
TGFBR2	ENST00000359013.4	transforming growth factor, beta receptor II (70/80kDa) 	2168	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.35	-0.35	0.91	2007, 2009, 2011
RBPMS	ENST00000320203.4	RNA binding protein with multiple splicing 	472	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.35	-0.40	0.78	2009, 2011
EGR3	ENST00000317216.2	early growth response 3 	21	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.35	-0.35	0.86	2005, 2007, 2009, 2011
PIGR	ENST00000356495.4	polymeric immunoglobulin receptor 	13	1	1	0	0	0	0	0	0	1	hsa-miR-219a-5p	-0.35	-0.35	0.71	2009, 2011
HOXD3	ENST00000249440.3	homeobox D3 	23	1	1	0	0	0	0	0	0	3	hsa-miR-219a-5p	-0.35	-0.46	0.81	
ZC3H6	ENST00000343936.4	zinc finger CCCH-type containing 6 	10	1	1	0	0	2	0	0	2	0	hsa-miR-219a-5p	-0.34	-0.34	0.90	2009, 2011
NR2C2	ENST00000425241.1	nuclear receptor subfamily 2, group C, member 2 	227	2	2	0	0	0	0	0	0	1	hsa-miR-219a-5p	-0.34	-0.52	> 0.99	2007, 2009, 2011
KLF16	ENST00000250916.4	Kruppel-like factor 16 	5	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.34	-0.34	0.70	2007, 2011
AFAP1L2	ENST00000304129.4	actin filament associated protein 1-like 2 	13	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.34	-0.34	0.93	2007, 2009, 2011
ADD2	ENST00000264436.4	adducin 2 (beta) 	59	2	0	2	0	0	0	0	0	1	hsa-miR-219a-5p	-0.34	-0.42	0.99	2011
CXXC4	ENST00000394767.2	CXXC finger protein 4 	121	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.34	-0.38	0.91	
SYT5	ENST00000590851.1	synaptotagmin V 	5	1	1	0	0	0	0	0	0	1	hsa-miR-219a-5p	-0.34	-0.34	0.92	2005, 2007, 2009, 2011
LSM10	ENST00000315732.2	LSM10, U7 small nuclear RNA associated 	1508	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.34	-0.34	0.39	
UPF3B	ENST00000276201.2	UPF3 regulator of nonsense transcripts homolog B (yeast) 	11	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.33	-0.33	0.82	2011
SP4	ENST00000222584.3	Sp4 transcription factor 	131	2	1	0	1	0	0	0	0	0	hsa-miR-219a-5p	-0.33	-0.33	0.90	2007, 2009, 2011
FBXL17	ENST00000359660.5	F-box and leucine-rich repeat protein 17 	182	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.33	-0.33	0.81	2005, 2007, 2009, 2011
ETV5	ENST00000306376.5	ets variant 5 	1085	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.32	-0.32	0.81	2005, 2007, 2009, 2011
HOXD13	ENST00000392539.3	homeobox D13 	25	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.32	-0.34	0.49	2007, 2009, 2011
ZNRF2	ENST00000323037.4	zinc and ring finger 2 	403	1	0	1	0	1	0	0	1	0	hsa-miR-219a-5p	-0.32	-0.36	0.75	2011
RNF6	ENST00000346166.3	ring finger protein (C3H2C3 type) 6 	47	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.32	-0.32	0.57	2005, 2007, 2009, 2011
NECAP1	ENST00000339754.5	NECAP endocytosis associated 1 	13	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.32	-0.32	0.88	2009
KCNJ2	ENST00000243457.3	potassium inwardly-rectifying channel, subfamily J, member 2 	5	1	0	1	0	0	0	0	0	1	hsa-miR-219a-5p	-0.32	-0.32	0.62	2011
FAM199X	ENST00000493442.1	family with sequence similarity 199, X-linked 	856	1	1	0	0	0	0	0	0	2	hsa-miR-219a-5p	-0.32	-0.33	0.81	2009, 2011
MEF2D	ENST00000464356.2	myocyte enhancer factor 2D 	759	2	1	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.32	-0.50	0.99	2005, 2007, 2009, 2011
PRKCI	ENST00000295797.4	protein kinase C, iota 	103	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.31	-0.31	< 0.1	2009, 2011
ADRA2C	ENST00000330055.5	adrenoceptor alpha 2C 	52	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.31	-0.31	0.32	2011
CPNE2	ENST00000290776.8	copine II 	1469	1	0	0	1	0	0	0	0	0	hsa-miR-219a-5p	-0.31	-0.31	0.65	
NFIB	ENST00000397575.3	nuclear factor I/B 	1149	1	0	0	1	0	0	0	0	1	hsa-miR-219a-5p	-0.31	-0.31	0.53	2011
FAM91A1	ENST00000334705.7	family with sequence similarity 91, member A1 	731	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.30	-0.30	0.74	2007, 2009, 2011
SLC16A6	ENST00000327268.4	solute carrier family 16, member 6 	17	1	0	1	0	0	0	0	0	1	hsa-miR-219a-5p	-0.30	-0.30	0.89	2011
THRB	ENST00000396671.2	thyroid hormone receptor, beta 	55	2	2	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.30	-0.46	0.94	2007, 2009, 2011
UBE3A	ENST00000232165.3	ubiquitin protein ligase E3A 	529	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.30	-0.32	0.84	2011
MOB4	ENST00000233892.4	MOB family member 4, phocein 	123	1	0	0	1	0	0	0	0	2	hsa-miR-219a-5p	-0.30	-0.32	0.66	2005, 2007, 2009, 2011
POU2F1	ENST00000367866.2	POU class 2 homeobox 1 	83	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.30	-0.32	0.82	2011
FGF9	ENST00000382353.5	fibroblast growth factor 9 	136	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.30	-0.30	0.85	2011
PPARGC1A	ENST00000264867.2	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha 	19	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.29	-0.29	0.71	2005, 2007, 2009, 2011
PALM2	ENST00000448454.2	paralemmin 2 	35	1	0	1	0	0	0	0	0	1	hsa-miR-219a-5p	-0.29	-0.29	0.73	2009, 2011
CLOCK	ENST00000309964.4	clock circadian regulator 	86	2	2	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.29	-0.36	0.97	
PHF19	ENST00000373896.3	PHD finger protein 19 	490	1	1	0	0	1	0	0	1	0	hsa-miR-219a-5p	-0.29	-0.32	0.86	2005, 2007, 2009, 2011
SLC30A4	ENST00000261867.4	solute carrier family 30 (zinc transporter), member 4 	19	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.29	-0.29	0.83	2005, 2007, 2009, 2011
OCRL	ENST00000371113.4	oculocerebrorenal syndrome of Lowe 	818	1	0	1	0	1	0	0	1	1	hsa-miR-219a-5p	-0.29	-0.29	0.68	2005, 2007, 2009, 2011
GPRC5B	ENST00000300571.2	G protein-coupled receptor, family C, group 5, member B 	84	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.29	-0.49	0.92	
PDGFRA	ENST00000257290.5	platelet-derived growth factor receptor, alpha polypeptide 	39	1	1	0	0	0	0	0	0	1	hsa-miR-219a-5p	-0.29	-0.29	0.93	2011
ASAH2B	ENST00000374007.1	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2B 	5	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.29	-0.29	0.27	
RIMS1	ENST00000348717.5	regulating synaptic membrane exocytosis 1 	45	1	1	0	0	1	0	0	1	0	hsa-miR-219a-5p	-0.29	-0.29	0.91	2007, 2009, 2011
ASH1L	ENST00000368346.3	ash1 (absent, small, or homeotic)-like (Drosophila) 	56	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.29	-0.29	0.82	2007, 2009, 2011
UBE2Z	ENST00000360943.5	ubiquitin-conjugating enzyme E2Z 	3688	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.29	-0.29	0.91	2007, 2009, 2011
KLF3	ENST00000261438.5	Kruppel-like factor 3 (basic) 	515	1	0	1	0	1	0	1	0	0	hsa-miR-219a-5p	-0.28	-0.52	0.92	2009, 2011
THSD7B	ENST00000409968.1	thrombospondin, type I, domain containing 7B 	5	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.28	-0.28	0.67	2007, 2009, 2011
MIER3	ENST00000381226.3	mesoderm induction early response 1, family member 3 	112	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.28	-0.36	0.76	2007, 2009, 2011
FZD4	ENST00000531380.1	frizzled family receptor 4 	5	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.28	-0.28	0.92	2005, 2007, 2009, 2011
CCSAP	ENST00000366687.1	centriole, cilia and spindle-associated protein 	1210	1	0	1	0	0	0	0	0	1	hsa-miR-219a-5p	-0.28	-0.28	0.87	2009, 2011
GSK3B	ENST00000264235.8	glycogen synthase kinase 3 beta 	498	1	0	1	0	1	0	0	1	1	hsa-miR-219a-5p	-0.28	-0.30	0.70	2011
HSPE1-MOB4	ENST00000604458.1	HSPE1-MOB4 readthrough 	123	1	0	0	1	0	0	0	0	2	hsa-miR-219a-5p	-0.27	-0.30	0.66	2011
LPP	ENST00000312675.4	LIM domain containing preferred translocation partner in lipoma 	1894	2	2	0	0	1	0	0	1	2	hsa-miR-219a-5p	-0.27	-0.27	0.86	2005, 2007, 2009, 2011
CLYBL	ENST00000376355.3	citrate lyase beta like 	108	3	0	2	1	0	0	0	0	0	hsa-miR-219a-5p	-0.27	-0.54	> 0.99	2011
SORCS1	ENST00000369698.1	sortilin-related VPS10 domain containing receptor 1 	88	1	0	0	1	1	0	0	1	0	hsa-miR-219a-5p	-0.26	-0.36	0.60	2005, 2007, 2009, 2011
KCNH8	ENST00000328405.2	potassium voltage-gated channel, subfamily H (eag-related), member 8 	5	1	1	0	0	0	0	0	0	1	hsa-miR-219a-5p	-0.26	-0.26	0.89	2005, 2007, 2009, 2011
TP53BP2	ENST00000391878.2	tumor protein p53 binding protein, 2 	1531	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.26	-0.26	0.29	
CELF2	ENST00000315874.4	CUGBP, Elav-like family member 2 	56	1	0	1	0	1	0	0	1	1	hsa-miR-219a-5p	-0.26	-0.28	0.87	2005, 2007, 2009, 2011
SLK	ENST00000335753.4	STE20-like kinase 	260	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.26	-0.26	0.89	2005, 2007, 2009, 2011
CDH3	ENST00000264012.4	cadherin 3, type 1, P-cadherin (placental) 	21	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.26	-0.26	0.79	2009, 2011
NTNG1	ENST00000370067.1	netrin G1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.26	-0.26	0.55	2005, 2007, 2009, 2011
TMOD2	ENST00000249700.4	tropomodulin 2 (neuronal) 	117	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.25	-0.30	0.89	2011
NDRG4	ENST00000258187.5	NDRG family member 4 	68	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.25	-0.27	0.21	2009, 2011
KLF7	ENST00000309446.6	Kruppel-like factor 7 (ubiquitous) 	737	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.25	-0.26	0.94	
ATP6V1C1	ENST00000395862.3	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1 	951	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.25	-0.25	0.83	2009, 2011
ABHD2	ENST00000352732.5	abhydrolase domain containing 2 	210	1	1	0	0	1	0	0	1	0	hsa-miR-219a-5p	-0.25	-0.27	0.90	2007, 2009, 2011
RMND1	ENST00000336451.3	required for meiotic nuclear division 1 homolog (S. cerevisiae) 	11	1	0	0	1	0	0	0	0	0	hsa-miR-219a-5p	-0.25	-0.25	0.44	2011
TPCN1	ENST00000335509.6	two pore segment channel 1 	401	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.25	-0.25	0.93	2011
LAMTOR3	ENST00000499666.2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 	67	1	0	0	1	1	1	0	0	0	hsa-miR-219a-5p	-0.25	-0.53	0.67	2009, 2011
PRDM16	ENST00000270722.5	PR domain containing 16 	64	1	1	0	0	1	0	1	0	0	hsa-miR-219a-5p	-0.25	-0.31	0.93	2009, 2011
CHD7	ENST00000423902.2	chromodomain helicase DNA binding protein 7 	925	1	0	1	0	0	0	0	0	1	hsa-miR-219a-5p	-0.25	-0.25	0.95	2011
NUMB	ENST00000554546.1	numb homolog (Drosophila) 	2707	1	0	0	1	1	0	0	1	0	hsa-miR-219a-5p	-0.25	-0.26	0.42	2005, 2007, 2009, 2011
SLC39A10	ENST00000409086.3	solute carrier family 39 (zinc transporter), member 10 	511	1	0	1	0	0	0	0	0	1	hsa-miR-219a-5p	-0.25	-0.25	0.64	2005, 2007, 2009, 2011
GPR26	ENST00000284674.1	G protein-coupled receptor 26 	5	1	0	1	0	2	0	1	1	2	hsa-miR-219a-5p	-0.25	-0.27	0.85	2009, 2011
ANKRD44	ENST00000282272.8	ankyrin repeat domain 44 	187	1	0	1	0	0	0	0	0	1	hsa-miR-219a-5p	-0.25	-0.26	0.78	2011
APPL2	ENST00000258530.3	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2 	434	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.24	-0.24	0.41	2007, 2009, 2011
TNRC18	ENST00000399537.4	trinucleotide repeat containing 18 	5	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.24	-0.24	0.94	2009, 2011
S100PBP	ENST00000373475.5	S100P binding protein 	428	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.24	-0.28	0.86	2007, 2009, 2011
NHLH1	ENST00000302101.5	nescient helix loop helix 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-219a-5p	-0.24	-0.24	0.43	2009, 2011
NEK6	ENST00000373603.1	NIMA-related kinase 6 	3449	1	0	1	0	1	0	0	1	1	hsa-miR-219a-5p	-0.24	-0.26	0.29	2005, 2007
SEMA4G	ENST00000210633.3	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G 	1015	1	1	0	0	0	0	0	0	0	hsa-miR-219a-5p	-0.24	-0.24	0.88	2005, 2007, 2009, 2011
RYBP	ENST00000477973.2	RING1 and YY1 binding protein 	342	1	0	0	1	0	0	0	0	1	hsa-miR-219a-5p	-0.24	-0.24	0.66	2005, 2007, 2009, 2011
RBMS3	ENST00000396583.3	RNA binding motif, single stranded interacting protein 3 	56	1	1	0	0	2	0	0	2	1	hsa-miR-219a-5p	-0.24	-0.49	0.79	2011
