Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
IL15RA	ENST00000379977.3	interleukin 15 receptor, alpha 	36	2	1	0	1	0	rno-miR-338-5p	-0.42	-0.42	N/A
ATP11C	ENST00000327569.3	ATPase, class VI, type 11C 	590	4	1	0	3	3	rno-miR-338-5p	-0.42	-0.42	N/A
SPRY2	ENST00000377102.1	sprouty homolog 2 (Drosophila) 	139	3	1	1	1	0	rno-miR-338-5p	-0.40	-0.42	N/A
VKORC1L1	ENST00000360768.3	vitamin K epoxide reductase complex, subunit 1-like 1 	2291	2	1	1	0	0	rno-miR-338-5p	-0.40	-0.42	N/A
BTC	ENST00000395743.3	betacellulin 	12	2	1	1	0	2	rno-miR-338-5p	-0.40	-0.40	N/A
GAGE1	ENST00000381700.6	G antigen 1 	5	1	0	1	0	0	rno-miR-338-5p	-0.40	-0.40	N/A
STOX1	ENST00000399165.4	storkhead box 1 	502	1	1	0	0	0	rno-miR-338-5p	-0.39	-0.39	N/A
LNX1	ENST00000306888.2	ligand of numb-protein X 1, E3 ubiquitin protein ligase 	156	1	1	0	0	0	rno-miR-338-5p	-0.39	-0.39	N/A
CCL18	ENST00000004921.3	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) 	5	1	1	0	0	0	rno-miR-338-5p	-0.39	-0.39	N/A
RAB1A	ENST00000409892.1	RAB1A, member RAS oncogene family 	472	3	2	0	1	1	rno-miR-338-5p	-0.39	-0.79	N/A
TMEM155	ENST00000394396.1	transmembrane protein 155 	5	1	1	0	0	0	rno-miR-338-5p	-0.38	-0.38	N/A
MYF6	ENST00000228641.3	myogenic factor 6 (herculin) 	5	1	1	0	0	0	rno-miR-338-5p	-0.38	-0.38	N/A
HMGN2	ENST00000361427.5	high mobility group nucleosomal binding domain 2 	184	2	0	2	0	0	rno-miR-338-5p	-0.37	-0.39	N/A
GTF2A1L	ENST00000403751.3	general transcription factor IIA, 1-like 	15	1	1	0	0	0	rno-miR-338-5p	-0.37	-0.37	N/A
C2orf66	ENST00000342506.2	chromosome 2 open reading frame 66 	22	1	1	0	0	1	rno-miR-338-5p	-0.37	-0.37	N/A
NELFA	ENST00000382882.3	negative elongation factor complex member A 	1025	1	1	0	0	0	rno-miR-338-5p	-0.36	-0.36	N/A
MAGEH1	ENST00000342972.1	melanoma antigen family H, 1 	231	1	1	0	0	0	rno-miR-338-5p	-0.36	-0.36	N/A
GTPBP8	ENST00000383677.3	GTP-binding protein 8 (putative) 	326	2	0	2	0	0	rno-miR-338-5p	-0.35	-0.39	N/A
MSTN	ENST00000260950.4	myostatin 	6	4	1	1	2	0	rno-miR-338-5p	-0.34	-0.34	N/A
RNF138	ENST00000261593.3	ring finger protein 138, E3 ubiquitin protein ligase 	376	2	1	0	1	0	rno-miR-338-5p	-0.34	-0.34	N/A
PAPSS1	ENST00000265174.4	3'-phosphoadenosine 5'-phosphosulfate synthase 1 	75	1	1	0	0	1	rno-miR-338-5p	-0.34	-0.34	N/A
OR2B6	ENST00000244623.1	olfactory receptor, family 2, subfamily B, member 6 	21	1	0	1	0	1	rno-miR-338-5p	-0.33	-0.33	N/A
ANGPTL7	ENST00000376819.3	angiopoietin-like 7 	5	1	1	0	0	0	rno-miR-338-5p	-0.33	-0.33	N/A
CPVL	ENST00000265394.5	carboxypeptidase, vitellogenic-like 	439	1	0	1	0	0	rno-miR-338-5p	-0.32	-0.32	N/A
H3F3B	ENST00000591890.1	H3 histone, family 3B (H3.3B) 	336	1	1	0	0	0	rno-miR-338-5p	-0.32	-0.41	N/A
SCML1	ENST00000380045.3	sex comb on midleg-like 1 (Drosophila) 	722	1	1	0	0	0	rno-miR-338-5p	-0.32	-0.32	N/A
TRMT11	ENST00000368332.3	tRNA methyltransferase 11 homolog (S. cerevisiae) 	333	1	1	0	0	0	rno-miR-338-5p	-0.32	-0.32	N/A
BNIP2	ENST00000267859.3	BCL2/adenovirus E1B 19kDa interacting protein 2 	1255	1	1	0	0	0	rno-miR-338-5p	-0.31	-0.31	N/A
PPP2R5A	ENST00000261461.2	protein phosphatase 2, regulatory subunit B', alpha 	13	1	1	0	0	0	rno-miR-338-5p	-0.31	-0.31	N/A
DENND4A	ENST00000443035.3	DENN/MADD domain containing 4A 	392	1	1	0	0	0	rno-miR-338-5p	-0.31	-0.31	N/A
ETS2	ENST00000360214.3	v-ets avian erythroblastosis virus E26 oncogene homolog 2 	3965	2	1	0	1	0	rno-miR-338-5p	-0.31	-0.31	N/A
NPPC	ENST00000409852.1	natriuretic peptide C 	9	1	0	1	0	1	rno-miR-338-5p	-0.31	-0.31	N/A
VPS33B	ENST00000333371.3	vacuolar protein sorting 33 homolog B (yeast) 	7	1	1	0	0	0	rno-miR-338-5p	-0.31	-0.31	N/A
DAZAP1	ENST00000336761.6	DAZ associated protein 1 	3500	1	1	0	0	0	rno-miR-338-5p	-0.31	-0.31	N/A
CFHR1	ENST00000320493.5	complement factor H-related 1 	5	1	0	1	0	0	rno-miR-338-5p	-0.31	-0.31	N/A
HOXA10	ENST00000283921.4	homeobox A10 	1910	2	1	1	0	0	rno-miR-338-5p	-0.31	-0.31	N/A
YTHDC1	ENST00000344157.4	YTH domain containing 1 	307	1	1	0	0	1	rno-miR-338-5p	-0.31	-0.43	N/A
RAB6B	ENST00000285208.4	RAB6B, member RAS oncogene family 	669	2	1	1	0	0	rno-miR-338-5p	-0.30	-0.32	N/A
FAP	ENST00000188790.4	fibroblast activation protein, alpha 	618	1	1	0	0	1	rno-miR-338-5p	-0.30	-0.30	N/A
CENPW	ENST00000368326.1	centromere protein W 	10103	1	0	1	0	0	rno-miR-338-5p	-0.30	-0.30	N/A
CCNC	ENST00000520371.1	cyclin C 	524	1	1	0	0	2	rno-miR-338-5p	-0.30	-0.31	N/A
UGT2A1	ENST00000503640.1	UDP glucuronosyltransferase 2 family, polypeptide A1, complex locus 	5	1	1	0	0	1	rno-miR-338-5p	-0.30	-0.30	N/A
UGT2A2	ENST00000457664.2	UDP glucuronosyltransferase 2 family, polypeptide A2 	5	1	1	0	0	1	rno-miR-338-5p	-0.30	-0.30	N/A
AC011897.1	ENST00000581929.1	Uncharacterized protein  	12	1	1	0	0	0	rno-miR-338-5p	-0.30	-0.30	N/A
YTHDF1	ENST00000370339.3	YTH domain family, member 1 	748	1	1	0	0	0	rno-miR-338-5p	-0.29	-0.29	N/A
CIB4	ENST00000288861.4	calcium and integrin binding family member 4 	5	1	0	1	0	0	rno-miR-338-5p	-0.29	-0.29	N/A
BIRC2	ENST00000227758.2	baculoviral IAP repeat containing 2 	36	1	1	0	0	0	rno-miR-338-5p	-0.29	-0.29	N/A
NTF3	ENST00000423158.3	neurotrophin 3 	154	1	0	1	0	1	rno-miR-338-5p	-0.29	-0.29	N/A
BMI1	ENST00000376663.3	BMI1 polycomb ring finger oncogene 	200	3	0	1	2	0	rno-miR-338-5p	-0.29	-0.30	N/A
MNX1	ENST00000252971.6	motor neuron and pancreas homeobox 1 	887	1	1	0	0	0	rno-miR-338-5p	-0.29	-0.29	N/A
STON1-GTF2A1L	ENST00000405008.1	STON1-GTF2A1L readthrough 	15	1	1	0	0	0	rno-miR-338-5p	-0.28	-0.28	N/A
RING1	ENST00000374656.4	ring finger protein 1 	66	1	1	0	0	0	rno-miR-338-5p	-0.28	-0.28	N/A
DONSON	ENST00000453626.1	downstream neighbor of SON 	103	1	1	0	0	0	rno-miR-338-5p	-0.28	-0.29	N/A
ACKR3	ENST00000272928.3	atypical chemokine receptor 3 	991	2	1	0	1	0	rno-miR-338-5p	-0.28	-0.28	N/A
ZFP36	ENST00000597629.1	ZFP36 ring finger protein 	157	2	0	1	1	0	rno-miR-338-5p	-0.28	-0.32	N/A
ADCK1	ENST00000238561.5	aarF domain containing kinase 1 	215	2	0	0	2	1	rno-miR-338-5p	-0.28	-0.28	N/A
WFDC12	ENST00000372785.3	WAP four-disulfide core domain 12 	5	1	0	1	0	0	rno-miR-338-5p	-0.28	-0.28	N/A
CCDC140	ENST00000295226.1	coiled-coil domain containing 140 	5	1	1	0	0	0	rno-miR-338-5p	-0.28	-0.28	N/A
GTPBP2	ENST00000307126.5	GTP binding protein 2 	388	1	1	0	0	0	rno-miR-338-5p	-0.28	-0.28	N/A
ARTN	ENST00000372359.5	artemin 	18	1	1	0	0	0	rno-miR-338-5p	-0.28	-0.28	N/A
MAGEB4	ENST00000378982.2	melanoma antigen family B, 4 	5	1	1	0	0	0	rno-miR-338-5p	-0.27	-0.27	N/A
ISCA1	ENST00000375991.4	iron-sulfur cluster assembly 1 	5	1	1	0	0	0	rno-miR-338-5p	-0.27	-0.27	N/A
TCTEX1D2	ENST00000325318.5	Tctex1 domain containing 2 	3633	1	0	1	0	0	rno-miR-338-5p	-0.27	-0.27	N/A
TRIQK	ENST00000521988.1	triple QxxK/R motif containing 	210	2	1	1	0	1	rno-miR-338-5p	-0.27	-0.39	N/A
FAM21B	ENST00000358474.5	family with sequence similarity 21, member B 	0	1	1	0	0	0	rno-miR-338-5p	-0.27	-0.27	N/A
EPDR1	ENST00000199448.4	ependymin related 1 	84	1	1	0	0	0	rno-miR-338-5p	-0.27	-0.27	N/A
PON1	ENST00000222381.3	paraoxonase 1 	64	1	1	0	0	0	rno-miR-338-5p	-0.26	-0.26	N/A
ID1	ENST00000376105.3	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein 	7992	2	0	1	1	0	rno-miR-338-5p	-0.26	-0.27	N/A
IL19	ENST00000340758.2	interleukin 19 	5	1	1	0	0	0	rno-miR-338-5p	-0.26	-0.26	N/A
CNTD1	ENST00000588408.1	cyclin N-terminal domain containing 1 	7	2	1	0	1	0	rno-miR-338-5p	-0.26	-0.27	N/A
LEAP2	ENST00000296877.2	liver expressed antimicrobial peptide 2 	166	1	0	1	0	0	rno-miR-338-5p	-0.26	-0.26	N/A
C7orf57	ENST00000435376.1	chromosome 7 open reading frame 57 	5	1	1	0	0	0	rno-miR-338-5p	-0.26	-0.26	N/A
TSC22D3	ENST00000372390.4	TSC22 domain family, member 3 	154	1	1	0	0	0	rno-miR-338-5p	-0.26	-0.26	N/A
TMEM156	ENST00000381938.3	transmembrane protein 156 	15	1	1	0	0	0	rno-miR-338-5p	-0.25	-0.26	N/A
FAM21C	ENST00000336378.4	family with sequence similarity 21, member C 	5	1	1	0	0	0	rno-miR-338-5p	-0.25	-0.25	N/A
FAM21A	ENST00000399339.2	family with sequence similarity 21, member A 	5	1	1	0	0	0	rno-miR-338-5p	-0.25	-0.25	N/A
C17orf62	ENST00000342572.8	chromosome 17 open reading frame 62 	89	1	1	0	0	0	rno-miR-338-5p	-0.25	-0.25	N/A
PFDN2	ENST00000368010.3	prefoldin subunit 2 	8523	1	0	0	1	1	rno-miR-338-5p	-0.25	-0.25	N/A
BEX1	ENST00000372728.3	brain expressed, X-linked 1 	11	1	0	1	0	0	rno-miR-338-5p	-0.25	-0.25	N/A
TNFSF11	ENST00000405262.2	tumor necrosis factor (ligand) superfamily, member 11 	12	1	1	0	0	0	rno-miR-338-5p	-0.25	-0.25	N/A
RAD54B	ENST00000297592.5	RAD54 homolog B (S. cerevisiae) 	36	1	1	0	0	2	rno-miR-338-5p	-0.25	-0.31	N/A
COMMD3-BMI1	ENST00000602390.1	COMMD3-BMI1 readthrough 	195	3	0	1	2	0	rno-miR-338-5p	-0.25	-0.27	N/A
RP11-160N1.10	ENST00000377548.2		5	1	0	1	0	0	rno-miR-338-5p	-0.25	-0.25	N/A
FST	ENST00000256759.3	follistatin 	53	1	0	1	0	1	rno-miR-338-5p	-0.25	-0.26	N/A
GATA3	ENST00000379328.3	GATA binding protein 3 	136	2	1	0	1	0	rno-miR-338-5p	-0.25	-0.25	N/A
S100A10	ENST00000368811.3	S100 calcium binding protein A10 	2070	1	0	1	0	0	rno-miR-338-5p	-0.25	-0.25	N/A
MEIS1	ENST00000444274.2	Meis homeobox 1 	533	1	1	0	0	0	rno-miR-338-5p	-0.25	-0.25	N/A
CEP112	ENST00000535342.2	centrosomal protein 112kDa 	73	1	1	0	0	0	rno-miR-338-5p	-0.25	-0.25	N/A
PDP1	ENST00000396200.3	pyruvate dehyrogenase phosphatase catalytic subunit 1 	285	2	1	1	0	1	rno-miR-338-5p	-0.25	-0.25	N/A
TARDBP	ENST00000240185.3	TAR DNA binding protein 	410	3	1	0	2	0	rno-miR-338-5p	-0.25	-0.30	N/A
TSPEAR	ENST00000323084.4	thrombospondin-type laminin G domain and EAR repeats 	5	2	0	1	1	0	rno-miR-338-5p	-0.24	-0.24	N/A
SYVN1	ENST00000294256.8	synovial apoptosis inhibitor 1, synoviolin 	95	1	1	0	0	0	rno-miR-338-5p	-0.24	-0.25	N/A
RANBP3L	ENST00000296604.3	RAN binding protein 3-like 	5	2	0	0	2	1	rno-miR-338-5p	-0.24	-0.24	N/A
ARIH1	ENST00000379887.4	ariadne RBR E3 ubiquitin protein ligase 1 	671	2	1	1	0	1	rno-miR-338-5p	-0.24	-0.25	N/A
RRAGB	ENST00000374941.4	Ras-related GTP binding B 	804	2	0	1	1	0	rno-miR-338-5p	-0.24	-0.24	N/A
U2SURP	ENST00000397933.2	U2 snRNP-associated SURP domain containing 	1353	1	1	0	0	1	rno-miR-338-5p	-0.24	-0.24	N/A
RBBP7	ENST00000380087.2	retinoblastoma binding protein 7 	270	1	1	0	0	0	rno-miR-338-5p	-0.24	-0.24	N/A
CDC42EP3	ENST00000295324.3	CDC42 effector protein (Rho GTPase binding) 3 	1749	1	1	0	0	0	rno-miR-338-5p	-0.24	-0.24	N/A
SH2D1A	ENST00000371139.4	SH2 domain containing 1A 	5	2	1	0	1	0	rno-miR-338-5p	-0.24	-0.24	N/A
ZNF711	ENST00000360700.4	zinc finger protein 711 	5614	2	1	1	0	0	rno-miR-338-5p	-0.23	-0.23	N/A
CUL3	ENST00000264414.4	cullin 3 	1476	3	1	0	2	0	rno-miR-338-5p	-0.23	-0.25	N/A
TRMT13	ENST00000370141.2	tRNA methyltransferase 13 homolog (S. cerevisiae) 	45	2	0	2	0	1	rno-miR-338-5p	-0.23	-0.24	N/A
C16orf72	ENST00000327827.7	chromosome 16 open reading frame 72 	379	1	1	0	0	0	rno-miR-338-5p	-0.23	-0.24	N/A
TEC	ENST00000381501.3	tec protein tyrosine kinase 	11	1	1	0	0	0	rno-miR-338-5p	-0.23	-0.23	N/A
EPB41L4A	ENST00000261486.5	erythrocyte membrane protein band 4.1 like 4A 	103	1	1	0	0	0	rno-miR-338-5p	-0.23	-0.27	N/A
FRMD3	ENST00000304195.3	FERM domain containing 3 	14	2	1	0	1	1	rno-miR-338-5p	-0.23	-0.26	N/A
YTHDF2	ENST00000373812.3	YTH domain family, member 2 	38	1	1	0	0	0	rno-miR-338-5p	-0.23	-0.23	N/A
ACYP2	ENST00000394666.3	acylphosphatase 2, muscle type 	334	1	0	1	0	0	rno-miR-338-5p	-0.23	-0.24	N/A
CFHR3	ENST00000471440.2	complement factor H-related 3 	5	2	0	1	1	0	rno-miR-338-5p	-0.23	-0.23	N/A
CA2	ENST00000285379.5	carbonic anhydrase II 	181	1	1	0	0	0	rno-miR-338-5p	-0.23	-0.23	N/A
GAL	ENST00000265643.3	galanin/GMAP prepropeptide 	6690	1	0	1	0	0	rno-miR-338-5p	-0.23	-0.23	N/A
PTPRM	ENST00000332175.8	protein tyrosine phosphatase, receptor type, M 	553	1	1	0	0	0	rno-miR-338-5p	-0.23	-0.25	N/A
GPR85	ENST00000297146.3	G protein-coupled receptor 85 	21	2	1	0	1	0	rno-miR-338-5p	-0.23	-0.23	N/A
PLK4	ENST00000270861.5	polo-like kinase 4 	331	1	1	0	0	0	rno-miR-338-5p	-0.22	-0.24	N/A
ATP2C1	ENST00000505330.1	ATPase, Ca++ transporting, type 2C, member 1 	771	1	1	0	0	1	rno-miR-338-5p	-0.22	-0.26	N/A
TMEM45A	ENST00000323523.4	transmembrane protein 45A 	350	2	0	2	0	0	rno-miR-338-5p	-0.22	-0.22	N/A
SLC2A2	ENST00000314251.3	solute carrier family 2 (facilitated glucose transporter), member 2 	5	2	1	0	1	0	rno-miR-338-5p	-0.22	-0.22	N/A
POF1B	ENST00000262753.4	premature ovarian failure, 1B 	5	2	0	1	1	0	rno-miR-338-5p	-0.22	-0.22	N/A
SLC39A12	ENST00000377369.2	solute carrier family 39 (zinc transporter), member 12 	5	2	0	0	2	0	rno-miR-338-5p	-0.22	-0.22	N/A
DKFZP779J2370	ENST00000378904.2		20	1	0	0	1	1	rno-miR-338-5p	-0.22	-0.22	N/A
NR1D1	ENST00000246672.3	nuclear receptor subfamily 1, group D, member 1 	113	1	0	1	0	0	rno-miR-338-5p	-0.22	-0.22	N/A
SPSB2	ENST00000523102.1	splA/ryanodine receptor domain and SOCS box containing 2 	189	1	0	1	0	0	rno-miR-338-5p	-0.22	-0.22	N/A
CCR9	ENST00000357632.2	chemokine (C-C motif) receptor 9 	5	1	1	0	0	0	rno-miR-338-5p	-0.21	-0.21	N/A
USP6NL	ENST00000609104.1	USP6 N-terminal like 	183	1	1	0	0	2	rno-miR-338-5p	-0.21	-0.21	N/A
LHCGR	ENST00000294954.7	luteinizing hormone/choriogonadotropin receptor 	5	1	1	0	0	0	rno-miR-338-5p	-0.21	-0.21	N/A
ARL3	ENST00000260746.5	ADP-ribosylation factor-like 3 	1387	1	0	1	0	0	rno-miR-338-5p	-0.21	-0.21	N/A
LMBRD1	ENST00000370577.3	LMBR1 domain containing 1 	269	2	0	0	2	0	rno-miR-338-5p	-0.21	-0.21	N/A
RND3	ENST00000375734.2	Rho family GTPase 3 	574	1	1	0	0	0	rno-miR-338-5p	-0.21	-0.27	N/A
GNAQ	ENST00000286548.4	guanine nucleotide binding protein (G protein), q polypeptide 	47	4	1	2	1	4	rno-miR-338-5p	-0.21	-0.21	N/A
SYAP1	ENST00000380155.3	synapse associated protein 1 	2689	2	1	0	1	0	rno-miR-338-5p	-0.21	-0.32	N/A
TBCC	ENST00000372876.1	tubulin folding cofactor C 	587	1	0	1	0	0	rno-miR-338-5p	-0.21	-0.21	N/A
ACVR1B	ENST00000257963.4	activin A receptor, type IB 	3319	2	1	1	0	0	rno-miR-338-5p	-0.21	-0.21	N/A
ATG3	ENST00000402314.2	autophagy related 3 	177	1	1	0	0	0	rno-miR-338-5p	-0.21	-0.21	N/A
BMPR1B	ENST00000515059.1	bone morphogenetic protein receptor, type IB 	44	1	1	0	0	0	rno-miR-338-5p	-0.21	-0.21	N/A
RABL2B	ENST00000354869.3	RAB, member of RAS oncogene family-like 2B 	18	1	0	1	0	0	rno-miR-338-5p	-0.21	-0.21	N/A
PPP6R3	ENST00000393800.2	protein phosphatase 6, regulatory subunit 3 	400	2	1	0	1	1	rno-miR-338-5p	-0.21	-0.21	N/A
SCAF11	ENST00000395453.2	SR-related CTD-associated factor 11 	419	1	0	1	0	0	rno-miR-338-5p	-0.21	-0.21	N/A
C12orf75	ENST00000443585.1	chromosome 12 open reading frame 75 	6680	1	0	0	1	0	rno-miR-338-5p	-0.21	-0.21	N/A
SUMO2	ENST00000420826.2	small ubiquitin-like modifier 2 	75	1	0	0	1	0	rno-miR-338-5p	-0.20	-0.20	N/A
TRPC1	ENST00000273482.6	transient receptor potential cation channel, subfamily C, member 1 	18	3	1	1	1	0	rno-miR-338-5p	-0.20	-0.20	N/A
REG1A	ENST00000233735.1	regenerating islet-derived 1 alpha 	5	1	0	0	1	0	rno-miR-338-5p	-0.20	-0.20	N/A
COPB2	ENST00000333188.5	coatomer protein complex, subunit beta 2 (beta prime) 	1066	1	0	1	0	0	rno-miR-338-5p	-0.20	-0.20	N/A
HOXA5	ENST00000222726.3	homeobox A5 	63	2	0	1	1	0	rno-miR-338-5p	-0.20	-0.20	N/A
PI4K2B	ENST00000264864.6	phosphatidylinositol 4-kinase type 2 beta 	931	3	1	2	0	0	rno-miR-338-5p	-0.20	-0.34	N/A
AMN1	ENST00000281471.6	antagonist of mitotic exit network 1 homolog (S. cerevisiae) 	125	2	0	0	2	0	rno-miR-338-5p	-0.20	-0.35	N/A
LDB2	ENST00000441778.2	LIM domain binding 2 	23	1	1	0	0	0	rno-miR-338-5p	-0.20	-0.20	N/A
CDK17	ENST00000543119.2	cyclin-dependent kinase 17 	475	1	1	0	0	2	rno-miR-338-5p	-0.20	-0.21	N/A
MED31	ENST00000225728.3	mediator complex subunit 31 	1743	2	0	0	2	0	rno-miR-338-5p	-0.20	-0.31	N/A
CLDN15	ENST00000308344.5	claudin 15 	26	1	0	1	0	0	rno-miR-338-5p	-0.20	-0.20	N/A
AASDHPPT	ENST00000278618.4	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase 	317	1	0	1	0	3	rno-miR-338-5p	-0.20	-0.22	N/A
KRTAP20-2	ENST00000330798.2	keratin associated protein 20-2 	45	1	0	1	0	0	rno-miR-338-5p	-0.20	-0.23	N/A
CCDC126	ENST00000307471.3	coiled-coil domain containing 126 	846	1	0	1	0	1	rno-miR-338-5p	-0.20	-0.21	N/A
MFF	ENST00000304593.9	mitochondrial fission factor 	129	1	0	1	0	0	rno-miR-338-5p	-0.20	-0.20	N/A
ZNF22	ENST00000298299.3	zinc finger protein 22 	62	1	1	0	0	0	rno-miR-338-5p	-0.20	-0.20	N/A
CLDN8	ENST00000399899.1	claudin 8 	5	1	1	0	0	1	rno-miR-338-5p	-0.20	-0.20	N/A
SLC25A20	ENST00000430379.1	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 	6430	1	0	1	0	0	rno-miR-338-5p	-0.20	-0.20	N/A
ZNF770	ENST00000356321.4	zinc finger protein 770 	52	2	1	0	1	1	rno-miR-338-5p	-0.19	-0.19	N/A
PLAUR	ENST00000601723.1	plasminogen activator, urokinase receptor 	6259	1	0	1	0	1	rno-miR-338-5p	-0.19	-0.19	N/A
TOB1	ENST00000499247.2	transducer of ERBB2, 1 	102	2	0	2	0	0	rno-miR-338-5p	-0.19	-0.19	N/A
REG1B	ENST00000305089.3	regenerating islet-derived 1 beta 	5	1	0	0	1	0	rno-miR-338-5p	-0.19	-0.19	N/A
C6orf141	ENST00000529246.2	chromosome 6 open reading frame 141 	28	3	1	1	1	0	rno-miR-338-5p	-0.19	-0.36	N/A
F9	ENST00000218099.2	coagulation factor IX 	5	1	1	0	0	0	rno-miR-338-5p	-0.19	-0.19	N/A
A4GNT	ENST00000236709.3	alpha-1,4-N-acetylglucosaminyltransferase 	5	1	0	1	0	0	rno-miR-338-5p	-0.19	-0.19	N/A
SAFB	ENST00000292123.5	scaffold attachment factor B 	391	1	1	0	0	0	rno-miR-338-5p	-0.19	-0.19	N/A
FAM26E	ENST00000368599.3	family with sequence similarity 26, member E 	32	1	1	0	0	2	rno-miR-338-5p	-0.19	-0.19	N/A
ZNF239	ENST00000306006.6	zinc finger protein 239 	125	1	0	0	1	0	rno-miR-338-5p	-0.19	-0.19	N/A
MRPL35	ENST00000337109.4	mitochondrial ribosomal protein L35 	860	3	0	2	1	0	rno-miR-338-5p	-0.19	-0.19	N/A
TMEM135	ENST00000340353.7	transmembrane protein 135 	963	2	0	2	0	0	rno-miR-338-5p	-0.19	-0.19	N/A
GRIA4	ENST00000527669.1	glutamate receptor, ionotropic, AMPA 4 	7	1	0	1	0	2	rno-miR-338-5p	-0.19	-0.19	N/A
MTPN	ENST00000393085.3	myotrophin 	1296	1	1	0	0	1	rno-miR-338-5p	-0.19	-0.19	N/A
ABCD3	ENST00000394233.2	ATP-binding cassette, sub-family D (ALD), member 3 	53	1	1	0	0	0	rno-miR-338-5p	-0.18	-0.18	N/A
AP000322.54	ENST00000410005.1	Homo sapiens uncharacterized protein ENSP00000386791 (LOC101928147), mRNA. 	0	1	0	0	1	0	rno-miR-338-5p	-0.18	-0.18	N/A
