Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
BMI1	ENST00000376663.3	BMI1 polycomb ring finger oncogene 	200	1	1	0	0	1	0	0	1	0	rno-miR-128-3p	-0.47	-0.50	0.82	2007, 2009, 2011
CSDC2	ENST00000306149.7	cold shock domain containing C2, RNA binding 	31	1	0	0	1	2	1	1	0	0	rno-miR-128-3p	-0.47	-0.47	0.68	2007, 2009, 2011
RAB20	ENST00000267328.3	RAB20, member RAS oncogene family 	119	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.47	-0.47	0.56	2009, 2011
VWC2L	ENST00000427124.1	von Willebrand factor C domain containing protein 2-like 	5	1	1	0	0	1	0	1	0	3	rno-miR-128-3p	-0.47	-0.47	0.52	
INSM1	ENST00000310227.1	insulinoma-associated 1 	20	1	0	1	0	1	0	1	0	1	rno-miR-128-3p	-0.47	-0.49	0.49	2005, 2007, 2009, 2011
GRIN2D	ENST00000263269.3	glutamate receptor, ionotropic, N-methyl D-aspartate 2D 	5	4	0	1	3	1	0	0	1	1	rno-miR-128-3p	-0.46	-0.46	0.96	2009, 2011
TCEANC2	ENST00000234827.1	transcription elongation factor A (SII) N-terminal and central domain containing 2 	78	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.46	-0.46	0.64	2009, 2011
GTF2A2	ENST00000396060.2	general transcription factor IIA, 2, 12kDa 	1068	1	0	1	0	0	0	0	0	0	rno-miR-128-3p	-0.46	-0.47	0.66	2005, 2007, 2011
PPP4C	ENST00000279387.7	protein phosphatase 4, catalytic subunit 	59	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.46	-0.46	0.76	2005, 2007, 2009, 2011
CASC3	ENST00000264645.7	cancer susceptibility candidate 3 	493	1	1	0	0	2	0	2	0	0	rno-miR-128-3p	-0.46	-0.46	0.87	2005, 2007, 2009, 2011
GLTP	ENST00000318348.4	glycolipid transfer protein 	5	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.46	-0.46	0.90	2005, 2007, 2009, 2011
BEND4	ENST00000504360.1	BEN domain containing 4 	187	2	1	0	1	1	0	1	0	3	rno-miR-128-3p	-0.45	-0.46	0.96	2009, 2011
SEC61A1	ENST00000243253.3	Sec61 alpha 1 subunit (S. cerevisiae) 	2966	1	0	1	0	1	0	1	0	1	rno-miR-128-3p	-0.45	-0.47	0.77	2005, 2007, 2009, 2011
EML1	ENST00000262233.6	echinoderm microtubule associated protein like 1 	371	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.45	-0.45	0.87	
TBC1D9B	ENST00000519746.1	TBC1 domain family, member 9B (with GRAM domain) 	5042	2	0	2	0	0	0	0	0	0	rno-miR-128-3p	-0.45	-0.45	0.72	2007, 2009, 2011
SAMD10	ENST00000369886.3	sterile alpha motif domain containing 10 	45	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.45	-0.45	0.91	2005, 2007, 2009, 2011
RNF38	ENST00000259605.6	ring finger protein 38 	348	2	0	1	1	1	0	1	0	3	rno-miR-128-3p	-0.45	-0.46	0.86	2005, 2007, 2009, 2011
CA10	ENST00000570565.1	carbonic anhydrase X 	5	2	0	1	1	0	0	0	0	0	rno-miR-128-3p	-0.45	-0.45	0.73	2005, 2007, 2011
HLX	ENST00000366903.6	H2.0-like homeobox 	28	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.44	-0.44	0.71	2007, 2009, 2011
MCF2L	ENST00000397030.1	MCF.2 cell line derived transforming sequence-like 	79	1	0	1	0	1	0	1	0	0	rno-miR-128-3p	-0.44	-0.44	0.69	2009, 2011
TRMT2A	ENST00000404751.3	tRNA methyltransferase 2 homolog A (S. cerevisiae) 	455	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.44	-0.44	ORF	
CCDC92	ENST00000238156.3	coiled-coil domain containing 92 	105	1	1	0	0	1	0	1	0	0	rno-miR-128-3p	-0.44	-0.45	0.90	2007, 2009, 2011
FAM134C	ENST00000309428.5	family with sequence similarity 134, member C 	397	1	1	0	0	2	1	0	1	1	rno-miR-128-3p	-0.44	-0.44	0.87	2005, 2007, 2009, 2011
UNC13C	ENST00000545554.1	unc-13 homolog C (C. elegans) 	14	1	1	0	0	0	0	0	0	2	rno-miR-128-3p	-0.44	-0.44	0.82	2007, 2009, 2011
NREP	ENST00000379671.3	neuronal regeneration related protein 	409	1	1	0	0	1	1	0	0	1	rno-miR-128-3p	-0.44	-0.90	0.83	2005, 2007, 2009, 2011
ZFP36L1	ENST00000555997.1	ZFP36 ring finger protein-like 1 	231	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.43	-0.45	0.75	2007, 2009, 2011
FAM78A	ENST00000372269.3	family with sequence similarity 78, member A 	7	2	0	1	1	0	0	0	0	0	rno-miR-128-3p	-0.43	-0.51	0.98	2007, 2009, 2011
COMMD3-BMI1	ENST00000602390.1	COMMD3-BMI1 readthrough 	195	1	1	0	0	1	0	0	1	0	rno-miR-128-3p	-0.43	-0.46	0.82	2011
NT5C1A	ENST00000235628.1	5'-nucleotidase, cytosolic IA 	4	1	1	0	0	3	1	1	1	2	rno-miR-128-3p	-0.43	-0.43	0.76	
CABP1	ENST00000453000.1	calcium binding protein 1 	13	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.43	-0.43	0.72	2005, 2007, 2009, 2011
SLC6A1	ENST00000287766.4	solute carrier family 6 (neurotransmitter transporter), member 1 	5	3	0	1	2	1	0	0	1	1	rno-miR-128-3p	-0.42	-0.42	0.95	2005, 2007, 2009, 2011
PAX9	ENST00000361487.6	paired box 9 	53	1	1	0	0	1	1	0	0	1	rno-miR-128-3p	-0.42	-0.62	0.75	2009, 2011
DIRAS2	ENST00000375765.3	DIRAS family, GTP-binding RAS-like 2 	5	1	0	1	0	2	0	2	0	2	rno-miR-128-3p	-0.42	-0.42	0.55	2007, 2009, 2011
MAPK14	ENST00000229795.3	mitogen-activated protein kinase 14 	1191	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.42	-0.44	0.90	2005, 2007, 2009, 2011
PHF6	ENST00000332070.3	PHD finger protein 6 	630	3	0	3	0	0	0	0	0	1	rno-miR-128-3p	-0.42	-0.42	0.39	2005, 2007, 2011
ZNF618	ENST00000288466.7	zinc finger protein 618 	778	3	1	2	0	0	0	0	0	1	rno-miR-128-3p	-0.41	-0.51	> 0.99	2007, 2009, 2011
CYP39A1	ENST00000275016.2	cytochrome P450, family 39, subfamily A, polypeptide 1 	152	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.41	-0.41	< 0.1	2007, 2009, 2011
KCND3	ENST00000369697.1	potassium voltage-gated channel, Shal-related subfamily, member 3 	23	1	0	1	0	1	0	0	1	3	rno-miR-128-3p	-0.41	-0.41	0.90	
CASC10	ENST00000377113.5	cancer susceptibility candidate 10 	116	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.41	-0.47	0.79	2005, 2007, 2009, 2011
C16orf52	ENST00000542527.2	chromosome 16 open reading frame 52 	102	2	1	1	0	0	0	0	0	0	rno-miR-128-3p	-0.40	-0.47	0.90	2011
CA7	ENST00000394069.3	carbonic anhydrase VII 	5	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.40	-0.40	0.77	2005, 2007, 2009, 2011
SGPP1	ENST00000247225.6	sphingosine-1-phosphate phosphatase 1 	1340	1	0	0	1	1	0	1	0	2	rno-miR-128-3p	-0.40	-0.40	0.55	2005, 2007
TTC39A	ENST00000530004.1	tetratricopeptide repeat domain 39A 	174	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.40	-0.66	0.90	2007, 2009, 2011
SEC24A	ENST00000398844.2	SEC24 family, member A (S. cerevisiae) 	679	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.39	-0.39	0.73	2007, 2009, 2011
IGLON5	ENST00000270642.8	IgLON family member 5 	5	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.39	-0.39	0.90	2009, 2011
BGN	ENST00000331595.4	biglycan 	174	1	0	1	0	0	0	0	0	0	rno-miR-128-3p	-0.39	-0.40	0.65	2009, 2011
KCNJ6	ENST00000609713.1	potassium inwardly-rectifying channel, subfamily J, member 6 	5	1	0	0	1	5	0	3	2	1	rno-miR-128-3p	-0.39	-0.39	0.67	
AGRN	ENST00000379370.2	agrin 	11	1	0	0	1	0	0	0	0	1	rno-miR-128-3p	-0.39	-0.48	0.67	2011
DLGAP3	ENST00000373347.1	discs, large (Drosophila) homolog-associated protein 3 	8	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.39	-0.39	0.91	2009, 2011
ISL1	ENST00000230658.7	ISL LIM homeobox 1 	67	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.39	-0.39	0.82	2005, 2007, 2009, 2011
ARRDC4	ENST00000268042.6	arrestin domain containing 4 	10	2	0	1	1	0	0	0	0	1	rno-miR-128-3p	-0.39	-0.39	0.61	2005, 2007, 2009, 2011
SP2	ENST00000376741.4	Sp2 transcription factor 	779	1	0	1	0	1	0	1	0	0	rno-miR-128-3p	-0.39	-0.40	0.89	2005, 2007, 2009, 2011
NHS	ENST00000380060.3	Nance-Horan syndrome (congenital cataracts and dental anomalies) 	72	1	1	0	0	1	0	1	0	0	rno-miR-128-3p	-0.39	-0.39	0.81	2005, 2007, 2009, 2011
NEUROD6	ENST00000297142.3	neuronal differentiation 6 	5	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.38	-0.38	0.67	2005, 2007, 2009, 2011
RAB11FIP1	ENST00000287263.4	RAB11 family interacting protein 1 (class I) 	106	2	0	1	1	0	0	0	0	0	rno-miR-128-3p	-0.38	-0.38	0.87	2005, 2007, 2009, 2011
FBXO33	ENST00000298097.7	F-box protein 33 	306	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.38	-0.42	0.82	2005, 2007, 2009, 2011
RFFL	ENST00000315249.7	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase 	670	1	1	0	0	2	1	1	0	0	rno-miR-128-3p	-0.38	-0.55	0.87	2009, 2011
SLC35F1	ENST00000360388.4	solute carrier family 35, member F1 	56	2	0	1	1	0	0	0	0	1	rno-miR-128-3p	-0.38	-0.38	0.90	2007, 2009, 2011
VPS4B	ENST00000238497.5	vacuolar protein sorting 4 homolog B (S. cerevisiae) 	180	2	1	1	0	0	0	0	0	0	rno-miR-128-3p	-0.38	-0.38	0.57	2005, 2007, 2009, 2011
SLC35F3	ENST00000366618.3	solute carrier family 35, member F3 	5	1	1	0	0	1	0	1	0	0	rno-miR-128-3p	-0.38	-0.38	0.75	
THAP11	ENST00000303596.1	THAP domain containing 11 	1536	1	0	1	0	0	0	0	0	1	rno-miR-128-3p	-0.38	-0.38	0.40	2009, 2011
ZBTB37	ENST00000367701.5	zinc finger and BTB domain containing 37 	213	3	2	1	0	3	0	1	2	3	rno-miR-128-3p	-0.38	-0.40	0.85	
WEE1	ENST00000299613.6	WEE1 homolog (S. pombe) 	331	2	0	1	1	0	0	0	0	1	rno-miR-128-3p	-0.37	-0.48	0.90	2005, 2007
FAM172A	ENST00000395965.3	family with sequence similarity 172, member A 	257	1	1	0	0	0	0	0	0	2	rno-miR-128-3p	-0.37	-0.38	0.84	2009, 2011
PDE3A	ENST00000359062.3	phosphodiesterase 3A, cGMP-inhibited 	1182	1	1	0	0	1	0	1	0	3	rno-miR-128-3p	-0.37	-0.45	0.90	2005, 2007, 2009, 2011
CHRM2	ENST00000445907.2	cholinergic receptor, muscarinic 2 	5	1	0	1	0	1	1	0	0	0	rno-miR-128-3p	-0.37	-0.37	0.12	
NRBF2	ENST00000277746.6	nuclear receptor binding factor 2 	11	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.37	-0.37	0.61	2005, 2007, 2009, 2011
GABRA6	ENST00000523217.1	gamma-aminobutyric acid (GABA) A receptor, alpha 6 	5	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.37	-0.37	< 0.1	2009, 2011
ADORA2B	ENST00000304222.2	adenosine A2b receptor 	145	2	1	0	1	1	0	1	0	1	rno-miR-128-3p	-0.37	-1.09	0.85	2007, 2009, 2011
LIN28A	ENST00000326279.6	lin-28 homolog A (C. elegans) 	5	2	0	2	0	0	0	0	0	0	rno-miR-128-3p	-0.36	-0.36	0.51	2005, 2007, 2009, 2011
UBR5	ENST00000520539.1	ubiquitin protein ligase E3 component n-recognin 5 	733	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.36	-0.36	0.83	2007, 2009, 2011
MIER2	ENST00000264819.4	mesoderm induction early response 1, family member 2 	137	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.36	-0.36	0.89	2007, 2009, 2011
PPAP2B	ENST00000371250.3	phosphatidic acid phosphatase type 2B 	81	1	0	0	1	2	1	1	0	1	rno-miR-128-3p	-0.36	-0.41	0.79	2007, 2011
BTG2	ENST00000290551.4	BTG family, member 2 	758	2	0	1	1	0	0	0	0	1	rno-miR-128-3p	-0.36	-0.36	0.80	2005, 2007, 2009, 2011
FAM104A	ENST00000581110.1	family with sequence similarity 104, member A 	2724	1	0	1	0	1	0	1	0	0	rno-miR-128-3p	-0.36	-0.36	0.14	2009
PAIP2	ENST00000394795.2	poly(A) binding protein interacting protein 2 	2034	1	0	1	0	0	0	0	0	0	rno-miR-128-3p	-0.36	-0.36	0.44	2011
HAND2	ENST00000359562.4	heart and neural crest derivatives expressed 2 	30	1	0	1	0	0	0	0	0	0	rno-miR-128-3p	-0.36	-0.36	0.39	2009, 2011
MDM4	ENST00000391947.2	Mdm4 p53 binding protein homolog (mouse) 	443	2	0	1	1	1	0	0	1	1	rno-miR-128-3p	-0.36	-0.39	0.72	2011
UBE2W	ENST00000517608.1	ubiquitin-conjugating enzyme E2W (putative) 	102	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.36	-0.36	0.92	2007, 2009, 2011
EN1	ENST00000295206.6	engrailed homeobox 1 	16	1	0	1	0	0	0	0	0	0	rno-miR-128-3p	-0.36	-0.36	0.18	2007, 2011
NAA15	ENST00000296543.5	N(alpha)-acetyltransferase 15, NatA auxiliary subunit 	546	1	1	0	0	1	0	1	0	1	rno-miR-128-3p	-0.35	-0.35	0.75	2005, 2007, 2009, 2011
HIC1	ENST00000399849.3	hypermethylated in cancer 1 	76	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.35	-0.35	0.66	2009, 2011
GREB1L	ENST00000580732.2	growth regulation by estrogen in breast cancer-like 	30	1	0	1	0	2	0	2	0	1	rno-miR-128-3p	-0.35	-0.35	0.38	
YPEL2	ENST00000312655.4	yippee-like 2 (Drosophila) 	62	1	1	0	0	1	0	1	0	1	rno-miR-128-3p	-0.35	-0.35	0.60	2009, 2011
MSANTD3-TMEFF1	ENST00000502978.1	MSANTD3-TMEFF1 readthrough 	234	1	0	1	0	0	0	0	0	0	rno-miR-128-3p	-0.35	-0.35	0.55	2011
MOB1B	ENST00000309395.2	MOB kinase activator 1B 	54	3	1	1	1	1	0	1	0	1	rno-miR-128-3p	-0.35	-0.35	0.73	2005, 2007, 2009, 2011
RP1-170O19.20	ENST00000470747.4	Uncharacterized protein  	151	1	0	1	0	0	0	0	0	0	rno-miR-128-3p	-0.35	-0.36	0.60	
HOXA13	ENST00000222753.4	homeobox A13 	328	1	1	0	0	1	0	1	0	0	rno-miR-128-3p	-0.35	-0.42	0.86	2005, 2007, 2009, 2011
NDST1	ENST00000261797.6	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1 	13660	2	0	2	0	2	0	2	0	0	rno-miR-128-3p	-0.35	-0.35	0.90	2005, 2007, 2009, 2011
WNK1	ENST00000315939.6	WNK lysine deficient protein kinase 1 	950	1	1	0	0	0	0	0	0	2	rno-miR-128-3p	-0.35	-0.35	0.82	2009, 2011
TMEM25	ENST00000411589.2	transmembrane protein 25 	767	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.35	-0.35	0.71	2005, 2007, 2009, 2011
TMEFF1	ENST00000374879.4	transmembrane protein with EGF-like and two follistatin-like domains 1 	234	1	0	1	0	0	0	0	0	0	rno-miR-128-3p	-0.35	-0.35	0.55	2005, 2007, 2009, 2011
CDH24	ENST00000397359.3	cadherin 24, type 2 	44	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.35	-0.35	0.48	2005, 2007, 2009, 2011
RP11-192H23.4	ENST00000534850.1	Uncharacterized protein  	22	2	0	1	1	1	0	1	0	1	rno-miR-128-3p	-0.35	-0.35	< 0.1	
ELOVL6	ENST00000394607.3	ELOVL fatty acid elongase 6 	901	1	0	1	0	2	0	0	2	1	rno-miR-128-3p	-0.35	-0.35	0.87	2005, 2007, 2009, 2011
TMX1	ENST00000457354.2	thioredoxin-related transmembrane protein 1 	3176	1	0	1	0	1	0	0	1	2	rno-miR-128-3p	-0.34	-0.53	0.82	2007, 2009, 2011
RNF144A	ENST00000320892.6	ring finger protein 144A 	124	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.34	-0.36	0.92	2005, 2007, 2009, 2011
ZNF652	ENST00000362063.2	zinc finger protein 652 	33	1	0	1	0	2	0	1	1	1	rno-miR-128-3p	-0.34	-0.35	0.85	2005, 2007, 2009, 2011
MTSS1L	ENST00000338779.6	metastasis suppressor 1-like 	2982	1	1	0	0	1	0	1	0	0	rno-miR-128-3p	-0.34	-0.34	0.91	2007, 2009, 2011
SMURF2	ENST00000262435.9	SMAD specific E3 ubiquitin protein ligase 2 	978	1	1	0	0	1	0	1	0	0	rno-miR-128-3p	-0.34	-0.47	0.68	2009, 2011
KCNK2	ENST00000444842.2	potassium channel, subfamily K, member 2 	258	2	1	0	1	0	0	0	0	0	rno-miR-128-3p	-0.33	-0.40	0.85	2007, 2009, 2011
TMEM64	ENST00000458549.2	transmembrane protein 64 	200	1	0	1	0	2	0	1	1	1	rno-miR-128-3p	-0.33	-0.54	0.78	2007, 2009, 2011
VAV3	ENST00000370056.4	vav 3 guanine nucleotide exchange factor 	1128	1	0	0	1	1	0	1	0	0	rno-miR-128-3p	-0.33	-0.34	0.77	2005, 2007, 2009, 2011
VANGL2	ENST00000368061.2	VANGL planar cell polarity protein 2 	560	1	1	0	0	0	0	0	0	2	rno-miR-128-3p	-0.33	-0.33	0.88	2007, 2009, 2011
ABCB9	ENST00000280560.8	ATP-binding cassette, sub-family B (MDR/TAP), member 9 	13	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.33	-0.33	0.85	2005, 2007, 2009, 2011
CAPN7	ENST00000253693.2	calpain 7 	76	1	1	0	0	0	0	0	0	2	rno-miR-128-3p	-0.33	-0.37	0.69	2009, 2011
FAM155A	ENST00000375915.2	family with sequence similarity 155, member A 	118	1	0	1	0	0	0	0	0	0	rno-miR-128-3p	-0.33	-0.33	0.48	2007, 2009, 2011
RND3	ENST00000375734.2	Rho family GTPase 3 	574	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.33	-0.33	0.35	2005, 2007, 2009, 2011
