Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Foxg1	ENSMUST00000179669.1	forkhead box G1 	451	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.97	-1.00	0.92	2007, 2009, 2011
Traf3	ENSMUST00000117269.2	TNF receptor-associated factor 3 	465	1	1	0	0	2	0	1	1	0	mmu-miR-9-5p	-0.94	-1.22	0.98	2009, 2011
Cnnm1	ENSMUST00000165311.1	cyclin M1 	20	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.93	-0.93	0.70	2005, 2007, 2009, 2011
Slc19a2	ENSMUST00000044021.6	solute carrier family 19 (thiamine transporter), member 2 	2074	1	0	1	0	1	0	1	0	0	mmu-miR-9-5p	-0.92	-0.93	0.78	2005, 2007, 2009, 2011
Ccnt1	ENSMUST00000169707.2	cyclin T1 	859	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.89	-0.90	0.86	
Slc5a3	ENSMUST00000113975.2	solute carrier family 5 (inositol transporters), member 3 	2953	1	0	1	0	1	0	1	0	0	mmu-miR-9-5p	-0.87	-0.87	0.89	2007, 2009, 2011
Prdm6	ENSMUST00000115399.2	PR domain containing 6 	105	2	1	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.85	-0.85	0.99	2009, 2011
Rims2	ENSMUST00000082054.6	regulating synaptic membrane exocytosis 2 	54	1	1	0	0	0	0	0	0	1	mmu-miR-9-5p	-0.84	-0.97	< 0.1	2005, 2007
Zfp266	ENSMUST00000174462.2	zinc finger protein 266 	989	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.83	-0.83	< 0.1	2009, 2011
Slc20a2	ENSMUST00000067786.7	solute carrier family 20, member 2 	129	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.80	-1.06	0.96	2005, 2007, 2009, 2011
Pak4	ENSMUST00000108283.2	p21 protein (Cdc42/Rac)-activated kinase 4 	119	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.80	-0.80	0.71	2005, 2007, 2009, 2011
Tubgcp4	ENSMUST00000110658.2	tubulin, gamma complex associated protein 4 	1090	1	1	0	0	1	0	1	0	0	mmu-miR-9-5p	-0.74	-1.45	0.29	
Slc2a2	ENSMUST00000029240.8	solute carrier family 2 (facilitated glucose transporter), member 2 	1383	1	1	0	0	2	1	0	1	1	mmu-miR-9-5p	-0.74	-1.12	0.48	2005, 2007, 2009, 2011
Trpm7	ENSMUST00000103224.4	transient receptor potential cation channel, subfamily M, member 7 	773	2	0	1	1	1	0	1	0	0	mmu-miR-9-5p	-0.73	-0.93	0.99	2005, 2007, 2009, 2011
Rab34	ENSMUST00000002128.8	RAB34, member RAS oncogene family 	2771	2	1	0	1	0	0	0	0	0	mmu-miR-9-5p	-0.73	-0.73	> 0.99	2005, 2007, 2009, 2011
P4ha2	ENSMUST00000174616.2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide 	322	1	0	1	0	0	0	0	0	1	mmu-miR-9-5p	-0.70	-0.81	0.89	2005, 2007, 2009, 2011
Kcnmb2	ENSMUST00000119970.2	potassium large conductance calcium-activated channel, subfamily M, beta member 2 	31	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.68	-0.68	0.88	2005, 2007, 2009, 2011
Bend3	ENSMUST00000167488.2	BEN domain containing 3 	22	1	1	0	0	1	0	0	1	1	mmu-miR-9-5p	-0.66	-1.22	0.97	2007, 2009, 2011
Evi5l	ENSMUST00000176072.2	ecotropic viral integration site 5 like 	135	1	0	1	0	0	0	0	0	4	mmu-miR-9-5p	-0.65	-0.83	0.80	2005, 2007, 2009
Fry	ENSMUST00000087204.5	furry homolog (Drosophila) 	569	1	0	1	0	1	0	0	1	1	mmu-miR-9-5p	-0.64	-0.87	0.84	2007, 2011
Map7	ENSMUST00000116259.3	microtubule-associated protein 7 	1064	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.64	-0.64	0.85	2005, 2007, 2009, 2011
Enpep	ENSMUST00000029658.8	glutamyl aminopeptidase 	1203	1	1	0	0	2	0	1	1	0	mmu-miR-9-5p	-0.63	-0.63	0.65	2005, 2007, 2009, 2011
Ldlrap1	ENSMUST00000037828.6	low density lipoprotein receptor adaptor protein 1 	567	3	2	1	0	2	0	2	0	3	mmu-miR-9-5p	-0.62	-0.75	> 0.99	2005, 2007, 2009, 2011
Slc27a4	ENSMUST00000080065.2	solute carrier family 27 (fatty acid transporter), member 4 	1505	1	0	1	0	1	0	0	1	2	mmu-miR-9-5p	-0.62	-1.00	0.88	2005, 2007, 2009, 2011
Rgs8	ENSMUST00000041776.6	regulator of G-protein signaling 8 	5	1	0	1	0	0	0	0	0	3	mmu-miR-9-5p	-0.62	-0.62	0.79	2009, 2011
1110007C09Rik	ENSMUST00000048946.6	RIKEN cDNA 1110007C09 gene 	97	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.60	-0.61	0.26	2007, 2009, 2011
Kcnj2	ENSMUST00000042970.2	potassium inwardly-rectifying channel, subfamily J, member 2 	89	2	2	0	0	1	0	1	0	1	mmu-miR-9-5p	-0.57	-0.57	0.97	2005, 2007, 2009, 2011
Kcna2	ENSMUST00000038695.1	potassium voltage-gated channel, shaker-related subfamily, member 2 	106	1	0	0	1	0	0	0	0	3	mmu-miR-9-5p	-0.57	-0.58	0.61	2009, 2011
Lin28b	ENSMUST00000079390.6	lin-28 homolog B (C. elegans) 	191	3	0	3	0	1	0	1	0	0	mmu-miR-9-5p	-0.56	-0.61	> 0.99	2005, 2007, 2009, 2011
Mesdc1	ENSMUST00000094216.4	mesoderm development candidate 1 	826	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.56	-0.56	0.97	2005, 2007, 2009, 2011
POU2F1	ENSMUST00000111427.3	POU domain, class 2, transcription factor 1 isoform B  	18	6	4	2	0	3	1	1	1	6	mmu-miR-9-5p	-0.56	-0.80	> 0.99	
Prtg	ENSMUST00000055535.8	protogenin homolog (Gallus gallus) 	11	3	3	0	0	0	0	0	0	1	mmu-miR-9-5p	-0.54	-0.54	> 0.99	2009, 2011
Ap1s2	ENSMUST00000069041.9	adaptor-related protein complex 1, sigma 2 subunit 	2303	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.54	-0.54	0.56	2005, 2007, 2009, 2011
Syap1	ENSMUST00000033723.3	synapse associated protein 1 	1477	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.53	-0.53	0.70	2005, 2007, 2009, 2011
Mga	ENSMUST00000079934.6	MAX gene associated 	1277	1	0	1	0	1	0	1	0	0	mmu-miR-9-5p	-0.53	-0.93	0.87	2007, 2009, 2011
Etl4	ENSMUST00000114606.2	enhancer trap locus 4 	1857	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.52	-0.56	0.75	2009, 2011
Utrn	ENSMUST00000076817.4	utrophin 	3257	1	0	0	1	1	0	1	0	1	mmu-miR-9-5p	-0.52	-0.52	0.79	2007, 2009, 2011
Foxi3	ENSMUST00000069634.5	forkhead box I3 	3619	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.52	-0.52	0.91	
Calb2	ENSMUST00000003754.6	calbindin 2 	9	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.51	-0.51	0.91	2005, 2009, 2011
Stk3	ENSMUST00000018476.8	serine/threonine kinase 3 	31	1	1	0	0	0	0	0	0	1	mmu-miR-9-5p	-0.51	-0.53	0.94	2005, 2007, 2009, 2011
Tesk2	ENSMUST00000045542.7	testis-specific kinase 2 	239	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.51	-0.53	0.93	2005, 2007, 2009, 2011
Slc31a2	ENSMUST00000084530.3	solute carrier family 31, member 2 	293	2	0	1	1	1	0	1	0	0	mmu-miR-9-5p	-0.51	-0.57	0.87	2005, 2007, 2009, 2011
Snrk	ENSMUST00000120173.2	SNF related kinase 	6	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.50	-0.50	0.83	2005, 2007, 2009, 2011
Maea	ENSMUST00000114449.3	macrophage erythroblast attacher 	10	1	1	0	0	0	0	0	0	1	mmu-miR-9-5p	-0.50	-0.50	0.96	2007, 2009, 2011
Snx25	ENSMUST00000110378.3	sorting nexin 25 	253	1	1	0	0	1	0	1	0	0	mmu-miR-9-5p	-0.50	-0.62	0.98	2005, 2007, 2009, 2011
Sfxn2	ENSMUST00000026011.6	sideroflexin 2 	29	1	1	0	0	1	1	0	0	0	mmu-miR-9-5p	-0.50	-0.51	0.77	2005, 2007, 2009, 2011
Ipo4	ENSMUST00000047131.10	importin 4 	438	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.50	-0.50	0.95	2007, 2009, 2011
Mdga1	ENSMUST00000171691.2	MAM domain containing glycosylphosphatidylinositol anchor 1 	59	2	1	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.50	-0.50	> 0.99	2005, 2007, 2009, 2011
Adam11	ENSMUST00000068150.5	a disintegrin and metallopeptidase domain 11 	163	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.50	-0.51	0.74	2005, 2007, 2009, 2011
Ano1	ENSMUST00000121758.2	anoctamin 1, calcium activated chloride channel 	994	1	1	0	0	1	0	0	1	1	mmu-miR-9-5p	-0.50	-0.50	0.96	2007, 2009, 2011
Greb1	ENSMUST00000162112.2	gene regulated by estrogen in breast cancer protein 	18	2	1	0	1	3	1	2	0	3	mmu-miR-9-5p	-0.50	-0.50	0.90	2005, 2007, 2009, 2011
Gna14	ENSMUST00000025602.2	guanine nucleotide binding protein, alpha 14 	295	2	2	0	0	0	0	0	0	1	mmu-miR-9-5p	-0.50	-0.70	< 0.1	2009, 2011
Zfp236	ENSMUST00000171071.3	zinc finger protein 236 	741	1	0	0	1	1	0	1	0	0	mmu-miR-9-5p	-0.49	-0.49	0.89	2011
Lect1	ENSMUST00000165835.2	leukocyte cell derived chemotaxin 1 	76	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.49	-0.49	< 0.1	2007, 2009, 2011
Ehd4	ENSMUST00000028755.7	EH-domain containing 4 	703	1	1	0	0	1	0	0	1	2	mmu-miR-9-5p	-0.49	-0.50	0.70	2005, 2007, 2009, 2011
Lepre1	ENSMUST00000030393.7	leprecan 1 	615	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.49	-0.49	0.68	2007, 2009, 2011
Arid3c	ENSMUST00000171251.2	AT rich interactive domain 3C (BRIGHT-like) 	10	1	1	0	0	1	0	1	0	0	mmu-miR-9-5p	-0.49	-0.49	0.28	2009, 2011
Znrf2	ENSMUST00000079869.7	zinc and ring finger 2 	2629	1	0	0	1	0	0	0	0	1	mmu-miR-9-5p	-0.49	-0.51	0.83	2005, 2007, 2009, 2011
Prrx1	ENSMUST00000075805.7	paired related homeobox 1 	1994	1	1	0	0	2	1	0	1	1	mmu-miR-9-5p	-0.49	-0.69	0.47	2005, 2007, 2009, 2011
Napb	ENSMUST00000028926.7	N-ethylmaleimide sensitive fusion protein attachment protein beta 	90	2	0	2	0	2	0	2	0	0	mmu-miR-9-5p	-0.49	-0.57	0.69	2007, 2009, 2011
Cthrc1	ENSMUST00000067072.3	collagen triple helix repeat containing 1 	368	1	0	1	0	1	0	0	1	0	mmu-miR-9-5p	-0.48	-0.48	0.69	2005, 2007, 2009, 2011
Cdc73	ENSMUST00000018337.8	cell division cycle 73, Paf1/RNA polymerase II complex component 	1852	1	1	0	0	2	0	2	0	4	mmu-miR-9-5p	-0.48	-1.42	0.98	2005, 2007, 2009, 2011
Cxcl11	ENSMUST00000077820.5	chemokine (C-X-C motif) ligand 11 	26	1	1	0	0	1	0	1	0	0	mmu-miR-9-5p	-0.48	-0.59	0.11	2007, 2009, 2011
Slc50a1	ENSMUST00000107460.2	solute carrier family 50 (sugar transporter), member 1 	103	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.48	-0.48	< 0.1	2007, 2009, 2011
Cxcl2	ENSMUST00000075433.6	chemokine (C-X-C motif) ligand 2 	5	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.48	-0.48	< 0.1	2009, 2011
Tbpl1	ENSMUST00000127698.2	TATA box binding protein-like 1 	230	1	1	0	0	0	0	0	0	1	mmu-miR-9-5p	-0.48	-0.48	0.97	2005, 2007, 2009, 2011
Scrib	ENSMUST00000002603.6	scribbled homolog (Drosophila) 	896	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.47	-0.47	0.98	2005, 2007, 2009, 2011
Fam19a5	ENSMUST00000068088.6	family with sequence similarity 19, member A5 	60	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.47	-0.47	0.96	2005, 2007, 2009, 2011
Ap3b1	ENSMUST00000022196.3	adaptor-related protein complex 3, beta 1 subunit 	1762	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.47	-0.47	0.98	2005, 2007, 2009, 2011
Frmd6	ENSMUST00000057859.7	FERM domain containing 6 	8	2	0	1	1	0	0	0	0	1	mmu-miR-9-5p	-0.46	-0.46	0.91	2005, 2007, 2009, 2011
Zbtb20	ENSMUST00000114694.3	zinc finger and BTB domain containing 20 	293	4	2	2	0	4	2	0	2	5	mmu-miR-9-5p	-0.46	-0.55	> 0.99	
Slc10a3	ENSMUST00000114147.1	solute carrier family 10 (sodium/bile acid cotransporter family), member 3 	6	1	0	1	0	1	0	0	1	0	mmu-miR-9-5p	-0.46	-0.46	0.73	2005, 2007, 2009, 2011
Galnt3	ENSMUST00000028378.3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 	223	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.46	-0.46	0.98	2005, 2007, 2009, 2011
Vav3	ENSMUST00000046864.8	vav 3 oncogene 	265	1	1	0	0	1	0	0	1	0	mmu-miR-9-5p	-0.46	-0.46	0.70	2005, 2007, 2009, 2011
Spg20	ENSMUST00000044116.8	spastic paraplegia 20, spartin (Troyer syndrome) homolog (human) 	1645	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.46	-0.46	0.88	2005, 2007, 2009, 2011
Ube3c	ENSMUST00000049453.4	ubiquitin protein ligase E3C 	2175	2	1	1	0	0	0	0	0	2	mmu-miR-9-5p	-0.45	-0.49	> 0.99	2005, 2007, 2009, 2011
Csgalnact1	ENSMUST00000078350.7	chondroitin sulfate N-acetylgalactosaminyltransferase 1 	280	1	0	1	0	2	0	1	1	0	mmu-miR-9-5p	-0.45	-0.46	0.87	2007, 2009, 2011
Cdc14b	ENSMUST00000109770.1	CDC14 cell division cycle 14B 	89	1	1	0	0	1	0	1	0	0	mmu-miR-9-5p	-0.45	-0.54	0.96	2007, 2009, 2011
Magt1	ENSMUST00000151689.2	magnesium transporter 1 	3001	1	1	0	0	1	0	0	1	0	mmu-miR-9-5p	-0.45	-0.46	0.98	2007, 2011
Ccdc43	ENSMUST00000092569.7	coiled-coil domain containing 43 	530	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.44	-0.45	0.97	2007, 2009, 2011
Col18a1	ENSMUST00000081654.7	collagen, type XVIII, alpha 1 	1582	1	0	0	1	0	0	0	0	0	mmu-miR-9-5p	-0.44	-0.46	0.86	2005, 2007, 2009, 2011
Nxpe3	ENSMUST00000099705.3	neurexophilin and PC-esterase domain family, member 3 	83	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.44	-0.44	0.96	2007, 2009, 2011
Timm23	ENSMUST00000170331.2	translocase of inner mitochondrial membrane 23 	1320	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.44	-0.44	0.59	2007, 2009, 2011
Pigz	ENSMUST00000052174.2	phosphatidylinositol glycan anchor biosynthesis, class Z 	22	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.44	-0.44	< 0.1	2007, 2009, 2011
Vdac3	ENSMUST00000009036.4	voltage-dependent anion channel 3 	145	1	0	0	1	0	0	0	0	0	mmu-miR-9-5p	-0.43	-0.43	0.67	2005, 2007, 2009, 2011
Atl2	ENSMUST00000112437.2	atlastin GTPase 2 	2848	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.43	-0.44	0.86	2009, 2011
Shroom4	ENSMUST00000089520.2	shroom family member 4 	1496	2	2	0	0	0	0	0	0	4	mmu-miR-9-5p	-0.43	-0.43	0.42	2007
AI118078	ENSMUST00000085754.4	expressed sequence AI118078 	37	1	0	0	1	0	0	0	0	3	mmu-miR-9-5p	-0.43	-0.43	< 0.1	
Ap4e1	ENSMUST00000002063.9	adaptor-related protein complex AP-4, epsilon 1 	759	1	0	1	0	1	0	0	1	0	mmu-miR-9-5p	-0.43	-0.43	0.89	2005, 2007, 2009, 2011
Kcnk4	ENSMUST00000025908.6	potassium channel, subfamily K, member 4 	5	1	1	0	0	0	0	0	0	1	mmu-miR-9-5p	-0.43	-0.43	0.46	2005, 2007, 2009, 2011
Acot7	ENSMUST00000167926.2	acyl-CoA thioesterase 7 	8334	1	0	1	0	0	0	0	0	1	mmu-miR-9-5p	-0.43	-0.43	0.79	2007, 2009, 2011
Foxp2	ENSMUST00000115477.2	forkhead box P2 	105	2	0	2	0	0	0	0	0	1	mmu-miR-9-5p	-0.42	-0.45	0.98	2009, 2011
Emb	ENSMUST00000022242.7	embigin 	7412	1	1	0	0	1	0	0	1	1	mmu-miR-9-5p	-0.42	-0.63	0.97	2005, 2007, 2009, 2011
Pou2f3	ENSMUST00000034513.7	POU domain, class 2, transcription factor 3 	18	2	0	2	0	2	0	1	1	1	mmu-miR-9-5p	-0.42	-0.51	0.95	2005, 2007, 2009, 2011
Smarcd2	ENSMUST00000106843.2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 	951	1	0	1	0	1	0	1	0	1	mmu-miR-9-5p	-0.42	-0.43	0.69	2005, 2007, 2009, 2011
Wasf2	ENSMUST00000084241.6	WAS protein family, member 2 	4077	1	0	0	1	0	0	0	0	3	mmu-miR-9-5p	-0.42	-0.42	0.74	2005, 2007, 2009, 2011
Col15a1	ENSMUST00000102917.5	collagen, type XV, alpha 1 	3316	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.42	-0.42	0.93	2005, 2007, 2009, 2011
Foxn2	ENSMUST00000112238.3	forkhead box N2 	33	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.41	-1.09	0.97	2007, 2009, 2011
Nr5a2	ENSMUST00000027649.8	nuclear receptor subfamily 5, group A, member 2 	334	2	1	1	0	0	0	0	0	1	mmu-miR-9-5p	-0.41	-0.47	0.95	2005, 2007, 2009, 2011
Grhl1	ENSMUST00000020985.8	grainyhead-like 1 (Drosophila) 	138	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.41	-0.61	0.67	2005, 2009, 2011
Rnf150	ENSMUST00000078525.5	ring finger protein 150 	347	3	2	0	1	1	0	0	1	4	mmu-miR-9-5p	-0.41	-0.53	> 0.99	2005, 2007, 2011
Tnc	ENSMUST00000030056.6	tenascin C 	1883	2	1	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.41	-0.41	0.91	2005, 2007, 2009, 2011
Exd2	ENSMUST00000038185.8	exonuclease 3'-5' domain containing 2 	718	1	0	1	0	1	0	0	1	0	mmu-miR-9-5p	-0.41	-0.54	0.58	2007, 2009, 2011
Tmem109	ENSMUST00000038128.9	transmembrane protein 109 	653	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.41	-0.41	0.88	2007, 2009, 2011
Sptssa	ENSMUST00000056228.6	serine palmitoyltransferase, small subunit A 	982	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.40	-0.40	0.88	2007, 2009, 2011
BC007180	ENSMUST00000189969.1	cDNA sequence BC007180 	65	1	1	0	0	1	1	0	0	2	mmu-miR-9-5p	-0.40	-0.47	0.41	
Dnajc14	ENSMUST00000026410.1	DnaJ (Hsp40) homolog, subfamily C, member 14 	786	2	1	0	1	1	0	1	0	1	mmu-miR-9-5p	-0.40	-0.47	0.77	2005, 2007, 2009, 2011
Snx7	ENSMUST00000029639.6	sorting nexin 7 	158	1	0	1	0	0	0	0	0	2	mmu-miR-9-5p	-0.40	-0.45	0.89	2005, 2007, 2009, 2011
Pcgf6	ENSMUST00000026032.5	polycomb group ring finger 6 	76	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.40	-0.40	0.97	2005, 2007, 2009, 2011
Nhsl1	ENSMUST00000037341.8	NHS-like 1 	491	1	1	0	0	1	0	0	1	1	mmu-miR-9-5p	-0.40	-0.41	0.98	2009, 2011
Celf6	ENSMUST00000118549.2	CUGBP, Elav-like family member 6 	5	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.40	-0.40	0.88	2007, 2009, 2011
Armcx2	ENSMUST00000119010.2	armadillo repeat containing, X-linked 2 	33	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.40	-0.40	0.48	2005, 2007, 2009, 2011
Klf5	ENSMUST00000005279.6	Kruppel-like factor 5 	140	2	0	2	0	0	0	0	0	0	mmu-miR-9-5p	-0.40	-0.41	0.81	2005, 2007
Zbtb14	ENSMUST00000112674.2	zinc finger and BTB domain containing 14 	43	1	0	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.40	-0.54	0.50	2009, 2011
Twsg1	ENSMUST00000024906.4	twisted gastrulation homolog 1 (Drosophila) 	401	1	0	1	0	2	0	1	1	1	mmu-miR-9-5p	-0.40	-0.40	0.73	2005, 2007, 2009, 2011
Dse	ENSMUST00000048010.7	dermatan sulfate epimerase 	2573	1	1	0	0	0	0	0	0	1	mmu-miR-9-5p	-0.39	-0.40	0.61	2007, 2009, 2011
Snx16	ENSMUST00000099223.5	sorting nexin 16 	579	1	1	0	0	1	1	0	0	1	mmu-miR-9-5p	-0.39	-0.59	< 0.1	2005, 2007, 2009, 2011
Mum1l1	ENSMUST00000113045.3	melanoma associated antigen (mutated) 1-like 1 	222	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.39	-0.39	0.56	2005, 2007, 2009, 2011
Rell1	ENSMUST00000154169.1	RELT-like 1 	623	1	0	1	0	1	0	1	0	0	mmu-miR-9-5p	-0.39	-0.39	0.88	2007, 2009, 2011
Nox4	ENSMUST00000032781.8	NADPH oxidase 4 	496	2	1	0	1	1	0	0	1	1	mmu-miR-9-5p	-0.39	-0.55	0.92	2005, 2007, 2009, 2011
Hltf	ENSMUST00000002502.6	helicase-like transcription factor 	93	1	0	1	0	1	0	1	0	1	mmu-miR-9-5p	-0.39	-0.39	0.73	2007, 2009, 2011
Fam107b	ENSMUST00000027965.5	family with sequence similarity 107, member B 	1101	1	0	1	0	0	0	0	0	2	mmu-miR-9-5p	-0.39	-0.41	0.87	2007, 2009, 2011
St6gal1	ENSMUST00000178797.2	beta galactoside alpha 2,6 sialyltransferase 1 	313	1	0	0	1	0	0	0	0	0	mmu-miR-9-5p	-0.39	-0.41	0.53	2005, 2007, 2009, 2011
Itm2c	ENSMUST00000027425.10	integral membrane protein 2C 	166	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.39	-0.39	0.72	2005, 2007, 2009, 2011
Zc3h12a	ENSMUST00000036188.7	zinc finger CCCH type containing 12A 	35	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.38	-0.38	0.66	2005, 2007, 2009, 2011
Capza1	ENSMUST00000094028.5	capping protein (actin filament) muscle Z-line, alpha 1 	13	2	0	1	1	0	0	0	0	0	mmu-miR-9-5p	-0.38	-0.38	0.96	2005, 2007, 2009, 2011
Myh1	ENSMUST00000124516.2	myosin, heavy polypeptide 1, skeletal muscle, adult 	15030	1	1	0	0	0	0	0	0	1	mmu-miR-9-5p	-0.38	-0.39	0.80	2005, 2007, 2009, 2011
Hmga2	ENSMUST00000159699.1	high mobility group AT-hook 2 	10108	1	1	0	0	0	0	0	0	2	mmu-miR-9-5p	-0.38	-0.38	0.86	2005, 2007, 2009, 2011
Pbrm1	ENSMUST00000112095.2	polybromo 1 	2310	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.38	-0.40	0.71	2007, 2009, 2011
Socs5	ENSMUST00000041369.6	suppressor of cytokine signaling 5 	2081	2	1	1	0	0	0	0	0	0	mmu-miR-9-5p	-0.38	-0.41	0.91	2005, 2007, 2009, 2011
Bcat2	ENSMUST00000033098.8	branched chain aminotransferase 2, mitochondrial 	842	1	0	0	1	1	0	1	0	2	mmu-miR-9-5p	-0.38	-0.45	0.81	2005, 2007, 2009, 2011
Igf2bp3	ENSMUST00000031838.7	insulin-like growth factor 2 mRNA binding protein 3 	351	1	1	0	0	0	0	0	0	0	mmu-miR-9-5p	-0.38	-0.38	0.93	2007, 2009, 2011
