Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Sh3kbp1	ENSMUST00000112456.3	SH3-domain kinase binding protein 1 	256	1	0	1	0	0	0	0	0	4	mmu-miR-124-3p.1	-0.85	-1.02	0.91	2005, 2007, 2009, 2011
Ankrd27	ENSMUST00000040844.10	ankyrin repeat domain 27 (VPS9 domain) 	1230	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.85	-0.85	0.91	2005, 2007, 2009, 2011
Gga2	ENSMUST00000033160.9	golgi associated, gamma adaptin ear containing, ARF binding protein 2 	2811	2	1	1	0	0	0	0	0	3	mmu-miR-124-3p.1	-0.84	-0.85	> 0.99	2005, 2007, 2009, 2011
Tet3	ENSMUST00000089622.5	tet methylcytosine dioxygenase 3 	1592	2	0	2	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.84	-0.84	0.99	2011
Arpc1b	ENSMUST00000085679.7	actin related protein 2/3 complex, subunit 1B 	144	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.83	-0.85	0.82	2007, 2009, 2011
Gm20503	ENSMUST00000174664.1	predicted gene 20503 	4612	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.83	-0.83	0.91	
Gng10	ENSMUST00000041160.7	guanine nucleotide binding protein (G protein), gamma 10 	4612	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.83	-0.83	0.91	2007, 2009, 2011
Pnkd	ENSMUST00000087226.5	paroxysmal nonkinesiogenic dyskinesia 	1028	1	0	1	0	0	0	0	0	3	mmu-miR-124-3p.1	-0.83	-0.83	0.18	2007, 2009, 2011
Usp45	ENSMUST00000040429.6	ubiquitin specific petidase 45 	904	1	0	1	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.82	-0.83	0.91	2007, 2009, 2011
Ankrd10	ENSMUST00000169782.1	ankyrin repeat domain 10 	51	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.82	-0.82	0.89	2011
Plag1	ENSMUST00000003369.4	pleiomorphic adenoma gene 1 	77	1	1	0	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.82	-0.93	0.45	2005, 2007
Snai2	ENSMUST00000023356.6	snail homolog 2 (Drosophila) 	159	2	1	1	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.82	-0.90	> 0.99	2005, 2007, 2009, 2011
Rnpepl1	ENSMUST00000027487.9	arginyl aminopeptidase (aminopeptidase B)-like 1 	4508	2	1	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.81	-0.81	0.98	2005, 2007, 2009, 2011
Cand2	ENSMUST00000075995.5	cullin-associated and neddylation-dissociated 2 (putative) 	632	1	0	1	0	2	2	0	0	1	mmu-miR-124-3p.1	-0.81	-2.75	0.82	2007, 2009, 2011
Serinc2	ENSMUST00000122374.2	serine incorporator 2 	82	1	1	0	0	1	0	1	0	1	mmu-miR-124-3p.1	-0.81	-0.83	0.71	2007, 2009, 2011
Wasf2	ENSMUST00000084241.6	WAS protein family, member 2 	4077	2	0	2	0	2	2	0	0	3	mmu-miR-124-3p.1	-0.81	-0.82	0.90	2005, 2007, 2009, 2011
Slc50a1	ENSMUST00000107460.2	solute carrier family 50 (sugar transporter), member 1 	103	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.79	-0.81	0.56	2007, 2009, 2011
Hif1an	ENSMUST00000040455.4	hypoxia-inducible factor 1, alpha subunit inhibitor 	1413	1	1	0	0	1	0	0	1	3	mmu-miR-124-3p.1	-0.79	-1.31	0.30	2009, 2011
Ttl	ENSMUST00000035812.8	tubulin tyrosine ligase 	519	2	2	0	0	1	0	1	0	1	mmu-miR-124-3p.1	-0.78	-0.82	> 0.99	2005, 2007, 2009, 2011
Slc31a2	ENSMUST00000084530.3	solute carrier family 31, member 2 	293	2	2	0	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.78	-0.92	0.90	2005, 2007, 2009, 2011
Ptbp2	ENSMUST00000029780.7	polypyrimidine tract binding protein 2 	508	2	1	1	0	1	0	0	1	3	mmu-miR-124-3p.1	-0.78	-0.83	> 0.99	2005, 2007, 2009, 2011
Lca5l	ENSMUST00000113804.2	Leber congenital amaurosis 5-like 	21	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.78	-0.80	0.28	2009, 2011
Rnf141	ENSMUST00000177236.2	ring finger protein 141 	3667	1	0	1	0	1	0	0	1	1	mmu-miR-124-3p.1	-0.78	-0.80	0.91	2005, 2007
Gmcl1	ENSMUST00000001185.8	germ cell-less homolog 1 (Drosophila) 	214	1	0	1	0	3	0	2	1	1	mmu-miR-124-3p.1	-0.78	-2.04	0.92	2007, 2009, 2011
Ginm1	ENSMUST00000039763.8	glycoprotein integral membrane 1 	161	2	0	2	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.77	-0.81	0.95	2009, 2011
Smox	ENSMUST00000110179.3	spermine oxidase 	2780	1	0	1	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.76	-1.00	0.91	2005, 2007, 2009, 2011
Itgb1	ENSMUST00000090006.6	integrin beta 1 (fibronectin receptor beta) 	11574	2	0	2	0	1	0	1	0	1	mmu-miR-124-3p.1	-0.75	-0.94	> 0.99	2005, 2007, 2009, 2011
Arhgef1	ENSMUST00000117796.2	Rho guanine nucleotide exchange factor (GEF) 1 	1062	1	0	1	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.75	-0.75	0.84	2007, 2009, 2011
4933426M11Rik	ENSMUST00000068519.5	RIKEN cDNA 4933426M11 gene 	1522	3	1	1	1	0	0	0	0	3	mmu-miR-124-3p.1	-0.75	-0.76	> 0.99	2007, 2009, 2011
Rab34	ENSMUST00000002128.8	RAB34, member RAS oncogene family 	2771	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.75	-0.76	0.95	2005, 2007, 2009, 2011
Aldh1l2	ENSMUST00000020497.8	aldehyde dehydrogenase 1 family, member L2 	128	1	0	1	0	1	0	1	0	3	mmu-miR-124-3p.1	-0.75	-1.37	0.74	2009, 2011
Ogfod3	ENSMUST00000026169.6	2-oxoglutarate and iron-dependent oxygenase domain containing 3 	649	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.75	-0.75	0.77	2007, 2009, 2011
Slc35a4	ENSMUST00000186538.1	solute carrier family 35, member A4 	2764	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.74	-0.75	0.55	2005, 2007, 2009, 2011
Stk38	ENSMUST00000009138.6	serine/threonine kinase 38 	744	1	0	1	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.74	-0.77	0.81	2005, 2007, 2009, 2011
Jam2	ENSMUST00000114195.2	junction adhesion molecule 2 	1676	1	1	0	0	1	0	0	1	0	mmu-miR-124-3p.1	-0.74	-1.21	0.93	2011
Pde4d	ENSMUST00000120664.2	phosphodiesterase 4D, cAMP specific 	1752	1	1	0	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.74	-0.90	0.96	2005, 2007, 2011
Apln	ENSMUST00000039026.7	apelin 	59	1	0	1	0	3	0	2	1	2	mmu-miR-124-3p.1	-0.74	-0.79	0.75	2005, 2007, 2009, 2011
Elk4	ENSMUST00000086556.6	ELK4, member of ETS oncogene family 	84	1	0	0	1	1	0	1	0	1	mmu-miR-124-3p.1	-0.74	-0.79	0.83	2009, 2011
Slitrk6	ENSMUST00000078386.2	SLIT and NTRK-like family, member 6 	7	2	1	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.73	-0.73	0.96	2005, 2007, 2009, 2011
Mdga2	ENSMUST00000113942.2	MAM domain containing glycosylphosphatidylinositol anchor 2 	3	2	0	2	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.73	-0.73	0.99	2007, 2011
Chic1	ENSMUST00000116547.2	cysteine-rich hydrophobic domain 1 	206	4	0	3	1	0	0	0	0	2	mmu-miR-124-3p.1	-0.72	-0.82	> 0.99	2007, 2009, 2011
Rras	ENSMUST00000044111.7	Harvey rat sarcoma oncogene, subgroup R 	723	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.72	-0.73	0.83	2007, 2009, 2011
Ptbp3	ENSMUST00000030076.6	polypyrimidine tract binding protein 3 	2804	2	1	1	0	0	0	0	0	5	mmu-miR-124-3p.1	-0.72	-0.74	> 0.99	2007, 2009, 2011
Ctdsp1	ENSMUST00000027367.8	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 	148	4	0	4	0	1	0	1	0	2	mmu-miR-124-3p.1	-0.72	-1.48	> 0.99	2005, 2007, 2009, 2011
Tmem117	ENSMUST00000080141.4	transmembrane protein 117 	147	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.72	-0.72	0.90	2007, 2009, 2011
Ppp1r3d	ENSMUST00000058678.4	protein phosphatase 1, regulatory subunit 3D 	17	3	0	2	1	0	0	0	0	2	mmu-miR-124-3p.1	-0.71	-0.71	0.99	2005, 2007, 2009, 2011
Prr32	ENSMUST00000040002.3	proline rich 32 	103	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.71	-0.71	0.31	2011
Ptpn12	ENSMUST00000030556.7	protein tyrosine phosphatase, non-receptor type 12 	125	3	0	1	2	0	0	0	0	0	mmu-miR-124-3p.1	-0.71	-0.71	> 0.99	2005, 2007, 2009, 2011
Xrcc6	ENSMUST00000100399.5	X-ray repair complementing defective repair in Chinese hamster cells 6 	4849	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.70	-0.70	0.82	2005, 2007, 2009, 2011
Tysnd1	ENSMUST00000020284.4	trypsin domain containing 1 	3154	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.70	-0.70	0.80	2005, 2007, 2011
Pim3	ENSMUST00000042818.9	proviral integration site 3 	12270	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.70	-0.70	0.89	2007, 2009, 2011
Zkscan3	ENSMUST00000116434.4	zinc finger with KRAB and SCAN domains 3 	802	1	0	1	0	1	1	0	0	1	mmu-miR-124-3p.1	-0.70	-0.70	0.65	2007, 2009, 2011
Pabpc4l	ENSMUST00000166505.1	poly(A) binding protein, cytoplasmic 4-like 	28	1	0	1	0	4	2	1	1	1	mmu-miR-124-3p.1	-0.69	-0.94	0.74	2009, 2011
Stard7	ENSMUST00000110375.3	START domain containing 7 	3996	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.69	-0.69	0.88	2005, 2007, 2009, 2011
Axin1	ENSMUST00000074370.4	axin 1 	10	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.69	-0.69	0.91	2005, 2007, 2009, 2011
Cep85l	ENSMUST00000095691.5	centrosomal protein 85-like 	76	1	0	1	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.69	-0.74	0.91	
Ctxn1	ENSMUST00000053252.7	cortexin 1 	114	1	0	1	0	1	0	1	0	1	mmu-miR-124-3p.1	-0.68	-0.69	0.77	2005, 2007, 2009, 2011
Flot2	ENSMUST00000072289.6	flotillin 2 	726	2	1	1	0	1	0	0	1	1	mmu-miR-124-3p.1	-0.68	-0.68	0.94	2005, 2007, 2009, 2011
Bach2	ENSMUST00000171600.1	BTB and CNC homology 2 	72	2	0	1	1	0	0	0	0	1	mmu-miR-124-3p.1	-0.67	-0.76	0.97	2005, 2007, 2009, 2011
Vps37c	ENSMUST00000087951.5	vacuolar protein sorting 37C (yeast) 	1594	2	0	2	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.67	-0.67	0.98	2005, 2007, 2009, 2011
Lhx2	ENSMUST00000000253.5	LIM homeobox protein 2 	26	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.67	-0.67	0.95	2005, 2007, 2009, 2011
Ryr3	ENSMUST00000080673.6	ryanodine receptor 3 	39	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.67	-0.67	0.92	2005, 2007, 2009, 2011
Rfx4	ENSMUST00000095388.4	regulatory factor X, 4 (influences HLA class II expression) 	27	2	0	2	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.67	-0.67	0.98	2005, 2007, 2009, 2011
Nav2	ENSMUST00000184945.2	neuron navigator 2 	536	1	0	0	1	0	0	0	0	4	mmu-miR-124-3p.1	-0.67	-0.77	0.83	2005, 2007, 2009, 2011
Pik3c2a	ENSMUST00000170430.1	phosphatidylinositol 3-kinase, C2 domain containing, alpha polypeptide 	863	3	1	1	1	0	0	0	0	0	mmu-miR-124-3p.1	-0.66	-0.79	> 0.99	2009, 2011
Atl3	ENSMUST00000170373.2	atlastin GTPase 3 	6920	2	0	2	0	2	0	0	2	5	mmu-miR-124-3p.1	-0.66	-0.76	> 0.99	2007, 2009, 2011
Hmgxb4	ENSMUST00000041759.8	HMG box domain containing 4 	1454	2	0	0	2	0	0	0	0	0	mmu-miR-124-3p.1	-0.66	-0.66	0.96	2007, 2009, 2011
Map3k2	ENSMUST00000096575.3	mitogen-activated protein kinase kinase kinase 2 	1249	3	0	2	1	1	0	0	1	0	mmu-miR-124-3p.1	-0.65	-0.68	> 0.99	2009, 2011
Rufy1	ENSMUST00000020643.3	RUN and FYVE domain containing 1 	424	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.65	-0.73	0.62	2005, 2007, 2009, 2011
Cyb5a	ENSMUST00000160180.2	cytochrome b5 type A (microsomal) 	35996	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.65	-0.65	0.91	2007, 2009, 2011
Hepacam2	ENSMUST00000049985.9	HEPACAM family member 2 	41	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.65	-0.69	< 0.1	2007, 2009, 2011
Rhbdf1	ENSMUST00000020524.9	rhomboid family 1 (Drosophila) 	351	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.63	-0.63	0.25	2005, 2007, 2009, 2011
Cbx2	ENSMUST00000026662.7	chromobox 2 	84	2	0	2	0	0	0	0	0	5	mmu-miR-124-3p.1	-0.63	-0.63	> 0.99	2005, 2007, 2009, 2011
Eya3	ENSMUST00000081726.7	eyes absent 3 homolog (Drosophila) 	473	1	1	0	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.63	-1.02	0.95	2009, 2011
Pgrmc2	ENSMUST00000058578.7	progesterone receptor membrane component 2 	2661	1	1	0	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.63	-0.63	0.96	2005, 2007, 2011
Tecpr2	ENSMUST00000169597.2	tectonin beta-propeller repeat containing 2 	417	1	0	1	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.63	-0.63	0.87	2007, 2009, 2011
Rab11fip4	ENSMUST00000017783.7	RAB11 family interacting protein 4 (class II) 	123	1	0	1	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.62	-0.69	0.90	2005, 2007
Gcdh	ENSMUST00000003907.8	glutaryl-Coenzyme A dehydrogenase 	5445	1	0	1	0	1	1	0	0	0	mmu-miR-124-3p.1	-0.62	-0.63	0.49	2005, 2007, 2009, 2011
Ctns	ENSMUST00000006103.3	cystinosis, nephropathic 	243	2	1	1	0	1	1	0	0	0	mmu-miR-124-3p.1	-0.62	-1.00	0.97	2005, 2007, 2009, 2011
Rnf135	ENSMUST00000017839.2	ring finger protein 135 	381	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.62	-0.62	0.15	2005, 2007, 2009, 2011
P4ha2	ENSMUST00000174616.2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide 	322	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.62	-0.72	0.91	2005, 2007, 2009, 2011
Pgf	ENSMUST00000004913.6	placental growth factor 	33	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.62	-0.62	0.92	2005, 2007, 2009, 2011
Hebp2	ENSMUST00000020000.5	heme binding protein 2 	44	1	0	1	0	1	0	1	0	0	mmu-miR-124-3p.1	-0.61	-0.81	0.91	2007, 2009, 2011
Cnep1r1	ENSMUST00000095214.4	CTD nuclear envelope phosphatase 1 regulatory subunit 1 	1776	1	0	1	0	1	0	1	0	0	mmu-miR-124-3p.1	-0.61	-0.62	0.80	2007, 2009, 2011
Gstk1	ENSMUST00000031897.5	glutathione S-transferase kappa 1 	391	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.61	-0.61	0.67	2005, 2007, 2009, 2011
Syncrip	ENSMUST00000174391.2	synaptotagmin binding, cytoplasmic RNA interacting protein 	2608	1	0	1	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.61	-0.76	0.80	2009, 2011
Zfp239	ENSMUST00000079405.9	zinc finger protein 239 	99	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.61	-0.69	0.39	2009, 2011
Adcy1	ENSMUST00000020706.4	adenylate cyclase 1 	52	1	0	0	1	1	0	1	0	5	mmu-miR-124-3p.1	-0.61	-0.98	0.83	2005, 2007, 2009, 2011
Sgpp1	ENSMUST00000021450.4	sphingosine-1-phosphate phosphatase 1 	225	1	0	1	0	1	0	1	0	0	mmu-miR-124-3p.1	-0.60	-0.61	0.83	2005, 2007, 2009, 2011
Six4	ENSMUST00000043208.7	sine oculis-related homeobox 4 	266	2	1	1	0	1	0	1	0	2	mmu-miR-124-3p.1	-0.60	-0.64	0.99	2007, 2009, 2011
Eya4	ENSMUST00000092665.5	eyes absent 4 homolog (Drosophila) 	348	2	2	0	0	1	0	0	1	1	mmu-miR-124-3p.1	-0.60	-0.63	> 0.99	2005, 2007, 2009, 2011
Rbm24	ENSMUST00000037923.3	RNA binding motif protein 24 	695	1	1	0	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.60	-0.60	0.95	2005, 2007, 2009, 2011
Tspan15	ENSMUST00000047883.9	tetraspanin 15 	276	2	0	2	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.60	-0.60	0.98	2005, 2007, 2009, 2011
Dnajc1	ENSMUST00000166495.2	DnaJ (Hsp40) homolog, subfamily C, member 1 	546	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.60	-0.60	0.96	2005, 2007, 2009, 2011
Acadvl	ENSMUST00000102574.4	acyl-Coenzyme A dehydrogenase, very long chain 	8485	1	0	1	0	1	0	0	1	0	mmu-miR-124-3p.1	-0.59	-0.59	0.47	2005, 2007, 2009, 2011
Nfatc1	ENSMUST00000170905.2	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1 	91	2	2	0	0	1	0	0	1	1	mmu-miR-124-3p.1	-0.59	-0.62	> 0.99	2005, 2007, 2011
Ascc2	ENSMUST00000109930.2	activating signal cointegrator 1 complex subunit 2 	3748	2	1	1	0	1	0	1	0	0	mmu-miR-124-3p.1	-0.59	-0.77	0.98	2005, 2007, 2009, 2011
Oaf	ENSMUST00000034512.5	OAF homolog (Drosophila) 	4152	1	0	1	0	4	1	2	1	2	mmu-miR-124-3p.1	-0.59	-1.03	0.91	2007, 2009, 2011
Rassf5	ENSMUST00000112442.1	Ras association (RalGDS/AF-6) domain family member 5 	26	2	0	2	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.59	-0.59	0.98	2005, 2007, 2009, 2011
Frmd4b	ENSMUST00000113355.3	FERM domain containing 4B 	135	2	1	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.59	-0.59	0.98	2009, 2011
Gfpt2	ENSMUST00000020629.4	glutamine fructose-6-phosphate transaminase 2 	1488	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.59	-0.59	0.81	2005, 2007, 2009, 2011
Cacfd1	ENSMUST00000114007.2	calcium channel flower domain containing 1 	785	1	0	1	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.59	-0.62	0.64	2007, 2009, 2011
Parp16	ENSMUST00000069000.7	poly (ADP-ribose) polymerase family, member 16 	273	1	1	0	0	0	0	0	0	4	mmu-miR-124-3p.1	-0.58	-0.59	0.95	2005, 2007, 2009, 2011
Cc2d1b	ENSMUST00000030320.7	coiled-coil and C2 domain containing 1B 	62	2	0	2	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.58	-0.58	> 0.99	2007, 2009, 2011
Dcakd	ENSMUST00000021313.3	dephospho-CoA kinase domain containing 	478	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.58	-0.58	0.67	2007, 2009, 2011
Marveld1	ENSMUST00000061111.9	MARVEL (membrane-associating) domain containing 1 	1933	1	0	1	0	1	1	0	0	2	mmu-miR-124-3p.1	-0.58	-0.58	0.79	2005, 2011
Plscr3	ENSMUST00000108633.3	phospholipid scramblase 3 	2358	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.58	-0.58	0.87	2005, 2007, 2009, 2011
Fam117a	ENSMUST00000037502.6	family with sequence similarity 117, member A 	18	1	0	1	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.58	-0.58	0.60	2007, 2009, 2011
Rela	ENSMUST00000025867.5	v-rel reticuloendotheliosis viral oncogene homolog A (avian) 	2743	1	1	0	0	0	0	0	0	1	mmu-miR-124-3p.1	-0.58	-0.58	0.95	2009, 2011
