Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Rras	ENSMUST00000044111.7	Harvey rat sarcoma oncogene, subgroup R 	723	1	0	1	0	0	0	0	0	1	mmu-miR-128-3p	-0.56	-0.57	0.13	2005, 2007, 2009, 2011
Trim23	ENSMUST00000069187.6	tripartite motif-containing 23 	992	2	0	0	2	2	0	0	2	3	mmu-miR-128-3p	-0.56	-0.84	0.83	2005, 2007, 2009, 2011
Lmtk2	ENSMUST00000041804.7	lemur tyrosine kinase 2 	931	1	0	1	0	0	0	0	0	2	mmu-miR-128-3p	-0.56	-0.56	0.59	2005, 2007, 2009, 2011
Rundc3a	ENSMUST00000107105.3	RUN domain containing 3A 	46	1	0	0	1	2	0	2	0	1	mmu-miR-128-3p	-0.56	-0.56	0.58	2007
Ube2n	ENSMUST00000099329.3	ubiquitin-conjugating enzyme E2N 	651	1	1	0	0	3	0	1	2	1	mmu-miR-128-3p	-0.55	-0.72	0.91	2005, 2007, 2009, 2011
Tmsb10	ENSMUST00000114050.2	thymosin, beta 10 	663	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.55	-0.55	0.39	2005, 2007, 2009, 2011
Mipol1	ENSMUST00000123498.2	mirror-image polydactyly gene 1 homolog (human) 	166	1	0	1	0	1	0	1	0	1	mmu-miR-128-3p	-0.55	-0.56	0.53	2005, 2007
Cacng2	ENSMUST00000019290.2	calcium channel, voltage-dependent, gamma subunit 2 	5	3	1	1	1	1	0	1	0	0	mmu-miR-128-3p	-0.55	-0.55	0.98	2009, 2011
Gusb	ENSMUST00000111307.1	glucuronidase, beta 	31	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.54	-0.56	ORF	
Pogz	ENSMUST00000107270.3	pogo transposable element with ZNF domain 	253	1	0	1	0	0	0	0	0	1	mmu-miR-128-3p	-0.53	-0.54	0.70	2005, 2007, 2009, 2011
Fam184a	ENSMUST00000020003.8	family with sequence similarity 184, member A 	66	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.53	-0.53	0.81	2007, 2009, 2011
Gltp	ENSMUST00000012028.8	glycolipid transfer protein 	1093	1	1	0	0	0	0	0	0	1	mmu-miR-128-3p	-0.52	-0.52	0.88	2005, 2007, 2009, 2011
Unc13c	ENSMUST00000184666.2	unc-13 homolog C (C. elegans) 	14	1	1	0	0	0	0	0	0	2	mmu-miR-128-3p	-0.52	-0.52	0.74	2007, 2009, 2011
Zfp462	ENSMUST00000098070.4	zinc finger protein 462 	1168	1	0	0	1	0	0	0	0	1	mmu-miR-128-3p	-0.52	-0.57	0.66	2009, 2011
Lsm1	ENSMUST00000038421.6	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae) 	2568	1	0	1	0	1	0	1	0	1	mmu-miR-128-3p	-0.52	-0.52	0.41	2005, 2007, 2009, 2011
Nrep	ENSMUST00000051087.9	neuronal regeneration related protein 	693	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.51	-0.51	0.83	2007, 2009, 2011
Sh3bgrl2	ENSMUST00000113215.4	SH3 domain binding glutamic acid-rich protein like 2 	125	1	1	0	0	1	0	1	0	1	mmu-miR-128-3p	-0.51	-0.67	0.88	2005, 2007, 2009, 2011
Plscr1	ENSMUST00000093801.4	phospholipid scramblase 1 	388	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.51	-0.51	0.10	2009, 2011
Arfgap2	ENSMUST00000080008.7	ADP-ribosylation factor GTPase activating protein 2 	310	1	0	1	0	0	0	0	0	1	mmu-miR-128-3p	-0.50	-0.52	0.34	2007, 2009, 2011
Lin28a	ENSMUST00000051674.2	lin-28 homolog A (C. elegans) 	1253	2	0	2	0	1	0	1	0	0	mmu-miR-128-3p	-0.50	-0.50	0.51	2007, 2009, 2011
Tmx1	ENSMUST00000021471.7	thioredoxin-related transmembrane protein 1 	3045	1	0	1	0	1	0	0	1	1	mmu-miR-128-3p	-0.50	-0.51	0.69	2007, 2009, 2011
Ywhab	ENSMUST00000018470.4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide 	7878	1	1	0	0	0	0	0	0	1	mmu-miR-128-3p	-0.49	-0.52	0.79	2005, 2007, 2009, 2011
Grin2d	ENSMUST00000002848.7	glutamate receptor, ionotropic, NMDA2D (epsilon 4) 	33	3	0	1	2	2	0	0	2	1	mmu-miR-128-3p	-0.49	-0.49	0.91	
Tspo2	ENSMUST00000162481.1	translocator protein 2 	5	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.49	-0.49	ORF	
Phf6	ENSMUST00000078944.7	PHD finger protein 6 	1370	3	0	3	0	0	0	0	0	0	mmu-miR-128-3p	-0.49	-0.52	0.49	2005, 2007, 2009, 2011
Slc6a1	ENSMUST00000032454.5	solute carrier family 6 (neurotransmitter transporter, GABA), member 1 	7	3	0	1	2	1	0	0	1	1	mmu-miR-128-3p	-0.49	-0.49	0.95	2005, 2007, 2009, 2011
Csdc2	ENSMUST00000038757.7	cold shock domain containing C2, RNA binding 	472	1	0	0	1	2	1	1	0	1	mmu-miR-128-3p	-0.49	-0.49	0.68	2005, 2007, 2009, 2011
Mmd	ENSMUST00000004050.6	monocyte to macrophage differentiation-associated 	7036	1	0	0	1	1	0	1	0	1	mmu-miR-128-3p	-0.49	-0.51	0.74	2005, 2007, 2009, 2011
Casc3	ENSMUST00000017384.8	cancer susceptibility candidate 3 	1184	1	1	0	0	2	0	2	0	0	mmu-miR-128-3p	-0.48	-0.50	0.72	2005, 2007, 2009, 2011
Gpr174	ENSMUST00000178838.1	G protein-coupled receptor 174 	24	1	0	0	1	0	0	0	0	1	mmu-miR-128-3p	-0.47	-0.47	0.48	2011
Orc5	ENSMUST00000030872.6	origin recognition complex, subunit 5 	456	1	1	0	0	0	0	0	0	1	mmu-miR-128-3p	-0.47	-0.47	0.53	2007, 2009, 2011
Trim12c	ENSMUST00000059037.9	tripartite motif-containing 12C 	481	1	1	0	0	2	0	1	1	2	mmu-miR-128-3p	-0.47	-0.48	0.14	2009, 2011
Sgpp1	ENSMUST00000021450.4	sphingosine-1-phosphate phosphatase 1 	225	1	0	0	1	1	0	1	0	1	mmu-miR-128-3p	-0.47	-0.47	0.58	2005, 2007, 2009, 2011
Kcnk2	ENSMUST00000180044.2	potassium channel, subfamily K, member 2 	309	2	1	0	1	0	0	0	0	0	mmu-miR-128-3p	-0.47	-0.47	0.79	2007, 2009, 2011
Mdfi	ENSMUST00000113280.2	MyoD family inhibitor 	13	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.47	-0.47	0.83	2005, 2007, 2009, 2011
Sp1	ENSMUST00000001326.6	trans-acting transcription factor 1 	1975	2	1	1	0	1	0	1	0	2	mmu-miR-128-3p	-0.47	-0.48	0.76	2005, 2007, 2009, 2011
Fam134c	ENSMUST00000107295.4	family with sequence similarity 134, member C 	467	1	1	0	0	2	0	1	1	0	mmu-miR-128-3p	-0.46	-0.49	0.74	2007, 2009, 2011
Samd10	ENSMUST00000060173.8	sterile alpha motif domain containing 10 	26	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.46	-0.46	0.90	2005, 2007, 2009, 2011
Rap1b	ENSMUST00000064667.7	RAS related protein 1b 	10115	1	1	0	0	0	0	0	0	2	mmu-miR-128-3p	-0.46	-0.46	0.90	2005, 2007, 2009, 2011
Ppp4c	ENSMUST00000032936.6	protein phosphatase 4, catalytic subunit 	318	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.45	-0.45	0.67	2005, 2007, 2009, 2011
Pds5b	ENSMUST00000016569.5	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae) 	1914	1	0	0	1	0	0	0	0	2	mmu-miR-128-3p	-0.45	-0.60	0.67	2007, 2009, 2011
Gatad2a	ENSMUST00000065169.5	GATA zinc finger domain containing 2A 	1765	1	1	0	0	2	0	2	0	0	mmu-miR-128-3p	-0.45	-0.61	0.55	2005, 2007, 2009, 2011
Gpx8	ENSMUST00000022282.3	glutathione peroxidase 8 (putative) 	396	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.45	-0.47	< 0.1	2007, 2009, 2011
Lbh	ENSMUST00000024857.7	limb-bud and heart 	1999	1	1	0	0	0	0	0	0	1	mmu-miR-128-3p	-0.45	-0.56	0.92	2005, 2007, 2009, 2011
Camk1d	ENSMUST00000044009.8	calcium/calmodulin-dependent protein kinase ID 	507	1	1	0	0	2	0	0	2	3	mmu-miR-128-3p	-0.45	-0.45	0.51	2009, 2011
Agbl3	ENSMUST00000115012.2	ATP/GTP binding protein-like 3 	211	1	1	0	0	0	0	0	0	1	mmu-miR-128-3p	-0.44	-0.47	< 0.1	
Reln	ENSMUST00000161356.2	reelin 	40	1	1	0	0	1	0	1	0	0	mmu-miR-128-3p	-0.44	-0.45	0.80	2005, 2007, 2009, 2011
Igsf3	ENSMUST00000043983.5	immunoglobulin superfamily, member 3 	93	1	0	1	0	0	0	0	0	2	mmu-miR-128-3p	-0.44	-0.56	0.62	2005, 2007, 2009, 2011
Cdh5	ENSMUST00000034339.8	cadherin 5 	3810	1	0	0	1	0	0	0	0	1	mmu-miR-128-3p	-0.44	-0.44	0.59	2005, 2007, 2009, 2011
Prcp	ENSMUST00000076052.6	prolylcarboxypeptidase (angiotensinase C) 	1306	1	0	1	0	0	0	0	0	0	mmu-miR-128-3p	-0.44	-0.47	0.58	2009, 2011
Hnrnpf	ENSMUST00000180341.1	heterogeneous nuclear ribonucleoprotein F 	53	1	0	0	1	0	0	0	0	0	mmu-miR-128-3p	-0.44	-0.44	0.63	2007, 2009, 2011
Nxt2	ENSMUST00000112916.3	nuclear transport factor 2-like export factor 2 	128	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.44	-0.44	0.59	2005, 2007, 2009, 2011
Dusp5	ENSMUST00000038287.6	dual specificity phosphatase 5 	11	1	0	0	1	0	0	0	0	0	mmu-miR-128-3p	-0.44	-0.44	0.57	2005, 2007
Adamts10	ENSMUST00000087623.7	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10 	641	1	0	0	1	0	0	0	0	0	mmu-miR-128-3p	-0.44	-0.44	0.66	2005, 2007, 2009, 2011
Megf11	ENSMUST00000068967.5	multiple EGF-like-domains 11 	10	1	0	1	0	1	0	0	1	0	mmu-miR-128-3p	-0.44	-0.44	0.62	2005, 2007, 2009, 2011
Ttc28	ENSMUST00000156290.3	tetratricopeptide repeat domain 28 	421	2	1	1	0	0	0	0	0	0	mmu-miR-128-3p	-0.44	-0.44	0.42	
Ubr5	ENSMUST00000110336.2	ubiquitin protein ligase E3 component n-recognin 5 	901	1	1	0	0	0	0	0	0	2	mmu-miR-128-3p	-0.44	-0.45	0.92	2007, 2009, 2011
Snap25	ENSMUST00000028727.5	synaptosomal-associated protein 25 	27	2	0	0	2	0	0	0	0	0	mmu-miR-128-3p	-0.44	-0.44	0.86	2005, 2007, 2009, 2011
Car10	ENSMUST00000107863.2	carbonic anhydrase 10 	5	2	0	1	1	0	0	0	0	0	mmu-miR-128-3p	-0.44	-0.44	0.77	2009, 2011
Mapk14	ENSMUST00000004990.7	mitogen-activated protein kinase 14 	9913	1	1	0	0	1	1	0	0	0	mmu-miR-128-3p	-0.43	-0.43	0.69	2005, 2007, 2009, 2011
Ugt8a	ENSMUST00000057944.7	UDP galactosyltransferase 8A 	146	2	1	1	0	1	0	1	0	0	mmu-miR-128-3p	-0.43	-0.46	0.73	2009, 2011
Arrdc4	ENSMUST00000048068.8	arrestin domain containing 4 	212	2	0	1	1	0	0	0	0	2	mmu-miR-128-3p	-0.43	-0.44	0.58	2005, 2007, 2009, 2011
Tmem240	ENSMUST00000127188.2	transmembrane protein 240 	5	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.42	-0.42	0.62	2009, 2011
Gosr2	ENSMUST00000021329.8	golgi SNAP receptor complex member 2 	1442	1	0	0	1	1	0	1	0	0	mmu-miR-128-3p	-0.42	-0.76	0.72	2005, 2007, 2009, 2011
Npepps	ENSMUST00000001480.8	aminopeptidase puromycin sensitive 	1943	1	0	0	1	0	0	0	0	1	mmu-miR-128-3p	-0.42	-0.50	0.73	2005, 2007, 2009, 2011
Acvr1	ENSMUST00000112599.2	activin A receptor, type 1 	687	1	0	0	1	1	0	1	0	0	mmu-miR-128-3p	-0.42	-0.42	0.70	2005, 2007, 2009, 2011
Csrp2	ENSMUST00000020403.5	cysteine and glycine-rich protein 2 	2580	1	0	0	1	0	0	0	0	0	mmu-miR-128-3p	-0.42	-0.42	0.73	2005, 2007, 2009, 2011
Mob1b	ENSMUST00000113229.2	MOB kinase activator 1B 	3883	2	1	0	1	1	0	1	0	1	mmu-miR-128-3p	-0.42	-0.45	0.68	2007, 2009, 2011
A930004D18Rik	ENSMUST00000066163.2	RIKEN cDNA A930004D18 gene 	44	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.42	-0.42	0.56	
BC030336	ENSMUST00000060175.6	cDNA sequence BC030336 	59	2	1	1	0	0	0	0	0	1	mmu-miR-128-3p	-0.42	-0.51	0.91	2011
Mospd3	ENSMUST00000111007.2	motile sperm domain containing 3 	45	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.42	-0.42	0.79	2005, 2007, 2009, 2011
