Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Cald1	ENSMUST00000115021.2	caldesmon 1 	9905	1	0	1	0	1	mmu-miR-338-5p	-0.49	-0.49	N/A
Pcna-ps2	ENSMUST00000088040.4	proliferating cell nuclear antigen pseudogene 2 	5	1	0	1	0	0	mmu-miR-338-5p	-0.49	-0.49	N/A
Foxg1	ENSMUST00000179669.1	forkhead box G1 	451	2	0	1	1	1	mmu-miR-338-5p	-0.49	-0.78	N/A
Gngt1	ENSMUST00000031673.5	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1 	8	2	2	0	0	1	mmu-miR-338-5p	-0.48	-0.91	N/A
Acvr1b	ENSMUST00000000544.10	activin A receptor, type 1B 	815	2	1	1	0	0	mmu-miR-338-5p	-0.48	-0.49	N/A
E030025P04Rik	ENSMUST00000106710.2	RIKEN cDNA E030025P04 gene 	5	1	1	0	0	0	mmu-miR-338-5p	-0.48	-0.48	N/A
Wdr61	ENSMUST00000130368.2	WD repeat domain 61 	3199	1	1	0	0	0	mmu-miR-338-5p	-0.48	-0.48	N/A
Tmx1	ENSMUST00000021471.7	thioredoxin-related transmembrane protein 1 	3045	2	2	0	0	1	mmu-miR-338-5p	-0.48	-0.49	N/A
E230019M04Rik	ENSMUST00000044806.2	RIKEN cDNA E230019M04 gene 	17	1	0	1	0	2	mmu-miR-338-5p	-0.48	-0.60	N/A
Hsd3b1	ENSMUST00000029465.7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 	15	1	1	0	0	0	mmu-miR-338-5p	-0.47	-0.47	N/A
Chac2	ENSMUST00000101394.4	ChaC, cation transport regulator 2 	209	2	1	1	0	2	mmu-miR-338-5p	-0.47	-0.58	N/A
Gm21698	ENSMUST00000191203.1	predicted gene, 21698 	5	1	0	1	0	1	mmu-miR-338-5p	-0.47	-0.47	N/A
Gm5616	ENSMUST00000165252.1	predicted gene 5616 	0	2	1	1	0	1	mmu-miR-338-5p	-0.47	-0.47	N/A
Nhp2l1	ENSMUST00000080622.7	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae) 	961	2	1	1	0	1	mmu-miR-338-5p	-0.46	-0.46	N/A
Zfp141	ENSMUST00000174407.1	zinc finger protein 141 	243	1	0	1	0	0	mmu-miR-338-5p	-0.46	-0.46	N/A
Zc3h12b	ENSMUST00000082183.7	zinc finger CCCH-type containing 12B 	40	1	0	0	1	6	mmu-miR-338-5p	-0.46	-0.56	N/A
A830010M20Rik	ENSMUST00000112671.3	RIKEN cDNA A830010M20 gene 	182	1	0	0	1	3	mmu-miR-338-5p	-0.46	-0.47	N/A
Tbcc	ENSMUST00000040434.7	tubulin-specific chaperone C 	1114	1	0	1	0	0	mmu-miR-338-5p	-0.45	-0.45	N/A
Snai1	ENSMUST00000052631.7	snail homolog 1 (Drosophila) 	87	1	1	0	0	0	mmu-miR-338-5p	-0.44	-0.45	N/A
Ddx5	ENSMUST00000021062.6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 	400	1	0	1	0	1	mmu-miR-338-5p	-0.44	-0.45	N/A
Npepps	ENSMUST00000001480.8	aminopeptidase puromycin sensitive 	1943	1	0	1	0	1	mmu-miR-338-5p	-0.44	-0.45	N/A
Snx25	ENSMUST00000110378.3	sorting nexin 25 	253	2	1	0	1	2	mmu-miR-338-5p	-0.44	-0.49	N/A
Dynlrb2	ENSMUST00000078170.5	dynein light chain roadblock-type 2 	146	1	1	0	0	0	mmu-miR-338-5p	-0.44	-0.44	N/A
4933406J08Rik	ENSMUST00000028661.5	RIKEN cDNA 4933406J08 gene 	11	2	1	1	0	2	mmu-miR-338-5p	-0.43	-0.47	N/A
Mstn	ENSMUST00000191197.1	myostatin 	1683	4	1	1	2	0	mmu-miR-338-5p	-0.43	-0.44	N/A
Eid2	ENSMUST00000059596.7	EP300 interacting inhibitor of differentiation 2 	709	3	1	1	1	1	mmu-miR-338-5p	-0.43	-0.47	N/A
Pdcl	ENSMUST00000009174.9	phosducin-like 	186	2	1	0	1	0	mmu-miR-338-5p	-0.43	-1.10	N/A
Psmg2	ENSMUST00000025418.3	proteasome (prosome, macropain) assembly chaperone 2 	5850	1	1	0	0	0	mmu-miR-338-5p	-0.42	-0.42	N/A
Adm	ENSMUST00000033054.8	adrenomedullin 	265	2	1	1	0	0	mmu-miR-338-5p	-0.42	-0.42	N/A
Ets2	ENSMUST00000023612.9	E26 avian leukemia oncogene 2, 3' domain 	703	3	2	0	1	1	mmu-miR-338-5p	-0.42	-0.44	N/A
Cep85l	ENSMUST00000095691.5	centrosomal protein 85-like 	76	1	0	0	1	2	mmu-miR-338-5p	-0.42	-0.45	N/A
Ube2g1	ENSMUST00000021148.7	ubiquitin-conjugating enzyme E2G 1 	4678	3	0	0	3	2	mmu-miR-338-5p	-0.41	-0.71	N/A
9930021J03Rik	ENSMUST00000177155.2	RIKEN cDNA 9930021J03 gene 	221	1	0	1	0	0	mmu-miR-338-5p	-0.41	-0.41	N/A
Gm4924	ENSMUST00000165906.1	predicted gene 4924 	153	1	0	1	0	1	mmu-miR-338-5p	-0.41	-0.50	N/A
Gm8773	ENSMUST00000101627.2	predicted gene 8773 	7	1	1	0	0	0	mmu-miR-338-5p	-0.41	-0.41	N/A
2410004B18Rik	ENSMUST00000039571.8	RIKEN cDNA 2410004B18 gene 	1596	1	1	0	0	0	mmu-miR-338-5p	-0.41	-0.42	N/A
Triqk	ENSMUST00000183345.1	triple QxxK/R motif containing 	88	2	2	0	0	0	mmu-miR-338-5p	-0.41	-0.58	N/A
Ncoa3	ENSMUST00000088095.5	nuclear receptor coactivator 3 	1832	1	1	0	0	0	mmu-miR-338-5p	-0.41	-0.73	N/A
Tm9sf2	ENSMUST00000026624.5	transmembrane 9 superfamily member 2 	801	2	1	1	0	1	mmu-miR-338-5p	-0.40	-0.53	N/A
Pygo1	ENSMUST00000038489.5	pygopus 1 	359	1	0	1	0	1	mmu-miR-338-5p	-0.40	-0.41	N/A
Mtf2	ENSMUST00000081567.5	metal response element binding transcription factor 2 	544	1	0	1	0	2	mmu-miR-338-5p	-0.40	-0.55	N/A
Mturn	ENSMUST00000190641.1	maturin, neural progenitor differentiation regulator homolog (Xenopus) 	601	2	0	1	1	1	mmu-miR-338-5p	-0.40	-0.50	N/A
Klf2	ENSMUST00000067912.7	Kruppel-like factor 2 (lung) 	2964	0	0	0	0	0	mmu-miR-338-5p	-0.40	-0.40	N/A
Gm5128	ENSMUST00000180198.1	predicted gene 5128 	5	1	0	1	0	1	mmu-miR-338-5p	-0.40	-0.40	N/A
Ackr3	ENSMUST00000065587.4	atypical chemokine receptor 3 	2801	2	2	0	0	0	mmu-miR-338-5p	-0.39	-0.39	N/A
Sdr16c6	ENSMUST00000095151.6	short chain dehydrogenase/reductase family 16C, member 6 	5	1	0	1	0	0	mmu-miR-338-5p	-0.39	-0.39	N/A
Lig4	ENSMUST00000095476.4	ligase IV, DNA, ATP-dependent 	41	2	1	0	1	1	mmu-miR-338-5p	-0.39	-0.39	N/A
Arhgef26	ENSMUST00000079300.7	Rho guanine nucleotide exchange factor (GEF) 26 	874	2	0	2	0	0	mmu-miR-338-5p	-0.39	-0.65	N/A
Suv420h2	ENSMUST00000098853.3	suppressor of variegation 4-20 homolog 2 (Drosophila) 	450	1	1	0	0	0	mmu-miR-338-5p	-0.39	-0.39	N/A
Hspa5	ENSMUST00000028222.7	heat shock protein 5 	39043	0	0	0	0	0	mmu-miR-338-5p	-0.39	-0.39	N/A
Gm6970	ENSMUST00000169692.1	predicted gene 6970 	5	1	0	1	0	0	mmu-miR-338-5p	-0.39	-0.39	N/A
C1d	ENSMUST00000000594.3	C1D nuclear receptor co-repressor 	5861	1	1	0	0	0	mmu-miR-338-5p	-0.38	-0.39	N/A
D830030K20Rik	ENSMUST00000178670.1	RIKEN cDNA D830030K20 gene 	0	1	0	1	0	0	mmu-miR-338-5p	-0.38	-0.38	N/A
Igsf3	ENSMUST00000043983.5	immunoglobulin superfamily, member 3 	93	2	0	2	0	0	mmu-miR-338-5p	-0.38	-0.38	N/A
Uox	ENSMUST00000121133.1	urate oxidase 	9209	1	0	0	1	2	mmu-miR-338-5p	-0.38	-0.53	N/A
Gnai3	ENSMUST00000000001.4	guanine nucleotide binding protein (G protein), alpha inhibiting 3 	6428	2	0	1	1	0	mmu-miR-338-5p	-0.38	-0.62	N/A
6030498E09Rik	ENSMUST00000050744.5	RIKEN cDNA 6030498E09 gene 	5	1	1	0	0	0	mmu-miR-338-5p	-0.37	-0.37	N/A
Gm11236	ENSMUST00000180092.1	predicted gene 11236 	5	1	0	0	1	0	mmu-miR-338-5p	-0.37	-0.37	N/A
4921511H03Rik	ENSMUST00000160634.1	RIKEN cDNA 4921511H03 gene 	5	2	1	1	0	0	mmu-miR-338-5p	-0.37	-0.37	N/A
Rbm11	ENSMUST00000114249.2	RNA binding motif protein 11 	34	1	0	1	0	1	mmu-miR-338-5p	-0.37	-0.45	N/A
Gm19965	ENSMUST00000179777.2	predicted gene, 19965 	5	1	0	0	1	1	mmu-miR-338-5p	-0.37	-0.37	N/A
Suv39h2	ENSMUST00000027956.3	suppressor of variegation 3-9 homolog 2 (Drosophila) 	203	1	1	0	0	0	mmu-miR-338-5p	-0.37	-0.37	N/A
Gpr64	ENSMUST00000112408.3	G protein-coupled receptor 64 	177	1	0	1	0	1	mmu-miR-338-5p	-0.37	-0.37	N/A
A330050F15Rik	ENSMUST00000169935.1	RIKEN cDNA A330050F15 gene 	5	1	0	1	0	0	mmu-miR-338-5p	-0.37	-0.37	N/A
H3f3b	ENSMUST00000106454.2	H3 histone, family 3B 	1229	0	0	0	0	1	mmu-miR-338-5p	-0.36	-0.37	N/A
Il15ra	ENSMUST00000148748.2	interleukin 15 receptor, alpha chain 	323	1	1	0	0	0	mmu-miR-338-5p	-0.36	-0.36	N/A
Taf6	ENSMUST00000048698.8	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor 	1167	1	1	0	0	0	mmu-miR-338-5p	-0.36	-0.36	N/A
Rag2	ENSMUST00000044031.3	recombination activating gene 2 	5	3	1	1	1	2	mmu-miR-338-5p	-0.36	-1.28	N/A
Vkorc1l1	ENSMUST00000073945.4	vitamin K epoxide reductase complex, subunit 1-like 1 	1759	4	1	3	0	0	mmu-miR-338-5p	-0.36	-0.42	N/A
Spry2	ENSMUST00000022709.4	sprouty homolog 2 (Drosophila) 	129	3	1	1	1	0	mmu-miR-338-5p	-0.36	-0.44	N/A
3830406C13Rik	ENSMUST00000112669.4	RIKEN cDNA 3830406C13 gene 	1195	1	0	1	0	2	mmu-miR-338-5p	-0.36	-0.59	N/A
Sult2a7	ENSMUST00000108524.3	sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 7 	15	1	0	1	0	0	mmu-miR-338-5p	-0.36	-0.36	N/A
Bbs5	ENSMUST00000074963.3	Bardet-Biedl syndrome 5 (human) 	1269	1	1	0	0	0	mmu-miR-338-5p	-0.36	-0.36	N/A
Hif1a	ENSMUST00000110461.2	hypoxia inducible factor 1, alpha subunit 	2538	1	0	1	0	0	mmu-miR-338-5p	-0.36	-0.36	N/A
Azin1	ENSMUST00000110328.2	antizyme inhibitor 1 	8613	3	1	1	1	1	mmu-miR-338-5p	-0.36	-0.74	N/A
Bnip2	ENSMUST00000034754.6	BCL2/adenovirus E1B interacting protein 2 	1067	3	1	1	1	1	mmu-miR-338-5p	-0.36	-0.42	N/A
Prph2	ENSMUST00000024773.5	peripherin 2 	7	1	1	0	0	0	mmu-miR-338-5p	-0.35	-0.35	N/A
Ythdf1	ENSMUST00000037299.9	YTH domain family 1 	985	1	1	0	0	0	mmu-miR-338-5p	-0.35	-0.35	N/A
Rrm2	ENSMUST00000020980.6	ribonucleotide reductase M2 	965	1	0	0	1	1	mmu-miR-338-5p	-0.35	-0.47	N/A
Per1	ENSMUST00000021271.8	period circadian clock 1 	365	1	0	1	0	0	mmu-miR-338-5p	-0.35	-0.37	N/A
Gcnt2	ENSMUST00000110191.3	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme 	49	1	0	1	0	0	mmu-miR-338-5p	-0.35	-0.44	N/A
Smg8	ENSMUST00000020801.8	smg-8 homolog, nonsense mediated mRNA decay factor (C. elegans) 	35	1	0	0	1	0	mmu-miR-338-5p	-0.35	-0.37	N/A
1500009L16Rik	ENSMUST00000150459.1	RIKEN cDNA 1500009L16 gene 	265	1	0	0	1	0	mmu-miR-338-5p	-0.35	-0.35	N/A
Foxj3	ENSMUST00000044564.9	forkhead box J3 	40	2	1	0	1	0	mmu-miR-338-5p	-0.35	-0.99	N/A
C1qtnf5	ENSMUST00000114815.1	C1q and tumor necrosis factor related protein 5 	97	1	0	1	0	0	mmu-miR-338-5p	-0.34	-0.35	N/A
Gadd45b	ENSMUST00000015456.8	growth arrest and DNA-damage-inducible 45 beta 	336	1	0	1	0	0	mmu-miR-338-5p	-0.34	-0.37	N/A
Cts8	ENSMUST00000021891.3	cathepsin 8 	5	1	0	1	0	1	mmu-miR-338-5p	-0.34	-0.34	N/A
Zfp236	ENSMUST00000171071.3	zinc finger protein 236 	741	2	0	1	1	0	mmu-miR-338-5p	-0.34	-0.36	N/A
Dtwd1	ENSMUST00000110437.3	DTW domain containing 1 	770	1	0	0	1	0	mmu-miR-338-5p	-0.34	-0.34	N/A
Fundc1	ENSMUST00000026016.7	FUN14 domain containing 1 	1555	4	1	2	1	1	mmu-miR-338-5p	-0.34	-0.62	N/A
Traf3	ENSMUST00000117269.2	TNF receptor-associated factor 3 	465	1	0	1	0	0	mmu-miR-338-5p	-0.34	-0.34	N/A
Tom1l1	ENSMUST00000020849.3	target of myb1-like 1 (chicken) 	111	1	1	0	0	0	mmu-miR-338-5p	-0.34	-0.34	N/A
Gdpd2	ENSMUST00000019503.8	glycerophosphodiester phosphodiesterase domain containing 2 	87	1	0	1	0	0	mmu-miR-338-5p	-0.34	-0.34	N/A
Rbx1	ENSMUST00000023036.5	ring-box 1 	963	1	1	0	0	0	mmu-miR-338-5p	-0.34	-0.34	N/A
Efna2	ENSMUST00000003154.6	ephrin A2 	519	1	0	1	0	0	mmu-miR-338-5p	-0.34	-0.34	N/A
Zfp239	ENSMUST00000079405.9	zinc finger protein 239 	99	1	0	0	1	0	mmu-miR-338-5p	-0.34	-0.34	N/A
4930519G04Rik	ENSMUST00000031547.6	RIKEN cDNA 4930519G04 gene 	5	2	1	1	0	0	mmu-miR-338-5p	-0.34	-0.34	N/A
Gins1	ENSMUST00000028948.4	GINS complex subunit 1 (Psf1 homolog) 	804	1	1	0	0	0	mmu-miR-338-5p	-0.34	-0.34	N/A
Ppm1a	ENSMUST00000021514.8	protein phosphatase 1A, magnesium dependent, alpha isoform 	1065	3	0	1	2	1	mmu-miR-338-5p	-0.34	-0.61	N/A
Olfr1029	ENSMUST00000082191.3	olfactory receptor 1029 	11	1	0	1	0	1	mmu-miR-338-5p	-0.33	-0.43	N/A
Qrsl1	ENSMUST00000020012.6	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1 	69	1	1	0	0	0	mmu-miR-338-5p	-0.33	-0.33	N/A
Atp11c	ENSMUST00000154051.2	ATPase, class VI, type 11C 	407	3	1	0	2	3	mmu-miR-338-5p	-0.33	-0.38	N/A
Ctxn3	ENSMUST00000091892.2	cortexin 3 	27	1	1	0	0	1	mmu-miR-338-5p	-0.33	-0.33	N/A
