Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Pde4d	ENSMUST00000120664.2	phosphodiesterase 4D, cAMP specific 	1752	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.76	-0.85	0.87	2005, 2007, 2011
Prkci	ENSMUST00000108249.3	protein kinase C, iota 	1201	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.70	-0.70	0.30	2005, 2007, 2009, 2011
Ddah1	ENSMUST00000029845.9	dimethylarginine dimethylaminohydrolase 1 	2368	1	0	1	0	1	1	0	0	0	mmu-miR-219a-5p	-0.68	-0.69	0.93	2005, 2007, 2009, 2011
Cdh3	ENSMUST00000080797.6	cadherin 3 	38	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.64	-0.64	0.91	2007, 2009, 2011
Ubash3b	ENSMUST00000044155.9	ubiquitin associated and SH3 domain containing, B 	36	1	1	0	0	0	0	0	0	2	mmu-miR-219a-5p	-0.63	-0.64	0.92	2007, 2009, 2011
Rbpms	ENSMUST00000191473.1	RNA binding protein gene with multiple splicing 	1871	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-0.62	-1.08	0.49	2007, 2009, 2011
Dazap1	ENSMUST00000105362.2	DAZ associated protein 1 	2556	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.60	-0.60	0.86	2005, 2007, 2009, 2011
Eya2	ENSMUST00000063433.7	eyes absent 2 homolog (Drosophila) 	107	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.58	-0.58	0.82	2005, 2007, 2009, 2011
Lcor	ENSMUST00000067795.6	ligand dependent nuclear receptor corepressor 	127	1	0	1	0	1	0	0	1	0	mmu-miR-219a-5p	-0.58	-0.73	0.87	2007
Syt5	ENSMUST00000065957.5	synaptotagmin V 	45	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.57	-0.57	0.55	2005, 2007, 2009, 2011
Otx2	ENSMUST00000118578.2	orthodenticle homolog 2 	244	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.55	-0.55	0.90	2005, 2007
Uox	ENSMUST00000121133.1	urate oxidase 	9209	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.54	-0.54	ORF	
Klb	ENSMUST00000031096.7	klotho beta 	229	2	1	1	0	1	0	0	1	0	mmu-miR-219a-5p	-0.52	-0.52	0.71	2009, 2011
Syncrip	ENSMUST00000174391.2	synaptotagmin binding, cytoplasmic RNA interacting protein 	2608	2	0	0	2	0	0	0	0	0	mmu-miR-219a-5p	-0.52	-0.57	0.66	2009, 2011
Nr2c2	ENSMUST00000113460.2	nuclear receptor subfamily 2, group C, member 2 	261	2	1	1	0	0	0	0	0	1	mmu-miR-219a-5p	-0.52	-0.53	> 0.99	2007, 2011
Elovl7	ENSMUST00000022207.8	ELOVL family member 7, elongation of long chain fatty acids (yeast) 	242	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-0.50	-0.56	0.96	2007, 2009, 2011
Isl1	ENSMUST00000036060.7	ISL1 transcription factor, LIM/homeodomain 	18	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.49	-0.49	0.88	2005, 2007, 2009, 2011
Cnrip1	ENSMUST00000058159.5	cannabinoid receptor interacting protein 1 	115	1	0	1	0	1	0	0	1	1	mmu-miR-219a-5p	-0.49	-0.53	0.94	2007, 2009, 2011
Cxxc5	ENSMUST00000060722.6	CXXC finger 5 	1271	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.48	-0.48	0.87	2005, 2007, 2009, 2011
Slc31a1	ENSMUST00000122092.1	solute carrier family 31, member 1 	2201	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.47	-0.48	0.81	2005, 2007, 2009, 2011
Sox14	ENSMUST00000054819.9	SRY (sex determining region Y)-box 14 	5	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.47	-0.47	0.78	2011
Rbms3	ENSMUST00000111773.4	RNA binding motif, single stranded interacting protein 	289	1	1	0	0	3	0	1	2	1	mmu-miR-219a-5p	-0.47	-0.50	0.86	2005, 2007, 2011
Bbs4	ENSMUST00000026265.6	Bardet-Biedl syndrome 4 (human) 	27	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.47	-0.47	< 0.1	2005, 2007, 2009, 2011
Rassf3	ENSMUST00000026902.7	Ras association (RalGDS/AF-6) domain family member 3 	1177	2	1	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.46	-0.46	0.90	2009, 2011
Sav1	ENSMUST00000021467.7	salvador homolog 1 (Drosophila) 	3985	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.46	-0.51	0.88	2005, 2007, 2009, 2011
Cc2d1a	ENSMUST00000117424.3	coiled-coil and C2 domain containing 1A 	940	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.46	-0.46	0.70	2005, 2007, 2009, 2011
Nipa2	ENSMUST00000119041.2	non imprinted in Prader-Willi/Angelman syndrome 2 homolog (human) 	2294	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.46	-0.48	0.96	2005, 2007, 2009, 2011
Sp4	ENSMUST00000026367.9	trans-acting transcription factor 4 	279	2	1	0	1	1	0	0	1	1	mmu-miR-219a-5p	-0.45	-0.47	0.98	2007, 2009, 2011
Crlf3	ENSMUST00000103233.4	cytokine receptor-like factor 3 	39	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.45	-0.47	0.80	2005, 2007, 2009, 2011
Ror1	ENSMUST00000039630.5	receptor tyrosine kinase-like orphan receptor 1 	168	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.44	-0.44	0.93	
Vldlr	ENSMUST00000167487.2	very low density lipoprotein receptor 	1825	1	0	0	1	0	0	0	0	1	mmu-miR-219a-5p	-0.44	-0.45	0.69	2005, 2007, 2009, 2011
Fzd4	ENSMUST00000058755.3	frizzled homolog 4 (Drosophila) 	1499	1	1	0	0	1	0	1	0	0	mmu-miR-219a-5p	-0.44	-0.46	0.82	2005, 2007, 2009, 2011
T	ENSMUST00000074667.3	brachyury 	41	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.42	-0.42	0.93	2007, 2009, 2011
Cxxc4	ENSMUST00000181904.1	CXXC finger 4 	23	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.42	-0.42	0.88	2009, 2011
P4ha1	ENSMUST00000009789.9	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide 	1819	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.42	-0.43	0.86	2005, 2007, 2009, 2011
Mms19	ENSMUST00000171561.2	MMS19 (MET18 S. cerevisiae) 	1197	1	0	1	0	1	0	0	1	1	mmu-miR-219a-5p	-0.42	-0.43	0.95	2007, 2009, 2011
Reck	ENSMUST00000030198.6	reversion-inducing-cysteine-rich protein with kazal motifs 	575	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.42	-0.42	0.93	2005, 2007, 2009, 2011
Inpp5j	ENSMUST00000044507.6	inositol polyphosphate 5-phosphatase J 	18	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.42	-0.42	0.55	2007, 2009, 2011
Rbm24	ENSMUST00000037923.3	RNA binding motif protein 24 	695	1	1	0	0	1	0	0	1	0	mmu-miR-219a-5p	-0.42	-0.42	0.82	2005, 2007, 2009, 2011
Laptm4a	ENSMUST00000020909.3	lysosomal-associated protein transmembrane 4A 	29127	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.41	-0.42	0.39	2005, 2007, 2009, 2011
Gpr26	ENSMUST00000045840.4	G protein-coupled receptor 26 	5	1	0	1	0	2	0	1	1	1	mmu-miR-219a-5p	-0.41	-0.41	0.56	2005, 2007, 2009, 2011
Gltscr1l	ENSMUST00000040624.5	GLTSCR1-like 	257	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-0.41	-0.41	0.91	2007, 2011
Camk1d	ENSMUST00000044009.8	calcium/calmodulin-dependent protein kinase ID 	507	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-0.40	-0.41	0.95	2009, 2011
Mstn	ENSMUST00000191197.1	myostatin 	1683	1	0	0	1	1	0	1	0	2	mmu-miR-219a-5p	-0.40	-0.47	0.32	2007, 2009, 2011
Slk	ENSMUST00000026043.6	STE20-like kinase 	5393	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.40	-0.40	0.91	2005, 2007, 2009, 2011
Cacul1	ENSMUST00000081790.8	CDK2 associated, cullin domain 1 	1446	1	0	1	0	0	0	0	0	1	mmu-miR-219a-5p	-0.39	-0.39	0.84	2007, 2009, 2011
Ppp2ca	ENSMUST00000020608.2	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform 	12540	1	0	0	1	0	0	0	0	0	mmu-miR-219a-5p	-0.39	-0.39	0.70	2005, 2007, 2009, 2011
Dnajc6	ENSMUST00000106930.2	DnaJ (Hsp40) homolog, subfamily C, member 6 	55	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-0.39	-0.39	0.93	2005, 2007, 2009, 2011
Eya3	ENSMUST00000081726.7	eyes absent 3 homolog (Drosophila) 	473	1	0	0	1	0	0	0	0	1	mmu-miR-219a-5p	-0.39	-0.42	0.34	2009, 2011
Thrb	ENSMUST00000091471.5	thyroid hormone receptor beta 	358	1	1	0	0	2	0	0	2	0	mmu-miR-219a-5p	-0.39	-0.41	0.96	2007, 2009, 2011
Prdm16	ENSMUST00000070313.8	PR domain containing 16 	45	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.39	-0.41	0.94	2005, 2007, 2009, 2011
Ttbk1	ENSMUST00000047034.8	tau tubulin kinase 1 	25	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.39	-0.39	0.87	2005, 2007, 2011
Fbxo3	ENSMUST00000111136.2	F-box protein 3 	2493	1	0	1	0	0	0	0	0	1	mmu-miR-219a-5p	-0.38	-0.39	0.77	2005, 2007, 2009, 2011
Ube2n	ENSMUST00000099329.3	ubiquitin-conjugating enzyme E2N 	651	1	0	1	0	0	0	0	0	1	mmu-miR-219a-5p	-0.38	-0.40	0.94	2005, 2007, 2009, 2011
Rab35	ENSMUST00000031492.9	RAB35, member RAS oncogene family 	1528	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.38	-0.38	0.75	2007, 2009, 2011
Kcnj2	ENSMUST00000042970.2	potassium inwardly-rectifying channel, subfamily J, member 2 	89	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.38	-0.38	0.39	2005, 2007, 2011
Pigr	ENSMUST00000027675.8	polymeric immunoglobulin receptor 	5709	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-0.37	-0.37	0.68	2005, 2007, 2009, 2011
Col9a1	ENSMUST00000054588.9	collagen, type IX, alpha 1 	9	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.37	-0.37	< 0.1	2007, 2009, 2011
Fgf9	ENSMUST00000165526.2	fibroblast growth factor 9 	140	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.37	-0.37	0.87	2011
Mecom	ENSMUST00000166001.2	MDS1 and EVI1 complex locus 	41	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.35	-0.41	0.96	2011
Kcnh8	ENSMUST00000039366.10	potassium voltage-gated channel, subfamily H (eag-related), member 8 	14	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.35	-0.35	0.88	2005, 2007
Sh3d19	ENSMUST00000182666.2	SH3 domain protein D19 	1700	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.35	-0.36	0.91	2005, 2007, 2009, 2011
Atg14	ENSMUST00000042988.6	autophagy related 14 	30	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.34	-0.34	0.80	2007, 2009, 2011
Sox5	ENSMUST00000111748.2	SRY (sex determining region Y)-box 5 	59	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-0.34	-0.44	0.89	
Ube2z	ENSMUST00000100528.4	ubiquitin-conjugating enzyme E2Z (putative) 	4100	1	0	1	0	1	0	0	1	0	mmu-miR-219a-5p	-0.34	-0.35	0.95	2007, 2009, 2011
Klf16	ENSMUST00000038558.8	Kruppel-like factor 16 	72	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.34	-0.34	0.63	2007, 2009, 2011
Tsc22d2	ENSMUST00000099090.2	TSC22 domain family, member 2 	922	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.34	-0.34	0.96	2005, 2007, 2009, 2011
Has3	ENSMUST00000034385.6	hyaluronan synthase 3 	30	1	1	0	0	1	0	1	0	1	mmu-miR-219a-5p	-0.34	-0.34	0.47	2005, 2007, 2009, 2011
Rprd2	ENSMUST00000090791.3	regulation of nuclear pre-mRNA domain containing 2 	535	1	0	1	0	1	0	1	0	1	mmu-miR-219a-5p	-0.34	-0.87	< 0.1	2009, 2011
Pknox1	ENSMUST00000176701.2	Pbx/knotted 1 homeobox 	83	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.33	-0.72	0.94	2005, 2007, 2009, 2011
Sox6	ENSMUST00000166877.2	SRY (sex determining region Y)-box 6 	594	2	1	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.33	-0.38	0.97	2005, 2007, 2009, 2011
Ubr1	ENSMUST00000028728.5	ubiquitin protein ligase E3 component n-recognin 1 	244	1	1	0	0	1	0	0	1	0	mmu-miR-219a-5p	-0.33	-0.33	0.48	2007, 2009, 2011
Efnb2	ENSMUST00000001319.8	ephrin B2 	86	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.33	-0.37	0.87	2005, 2007, 2009, 2011
Dph6	ENSMUST00000028640.8	diphthamine biosynthesis 6 	135	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.33	-0.36	< 0.1	2007, 2009, 2011
Trnp1	ENSMUST00000125541.1	TMF1-regulated nuclear protein 1 	43	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.33	-0.33	< 0.1	2007, 2009, 2011
Map9	ENSMUST00000091014.4	microtubule-associated protein 9 	491	1	0	1	0	3	1	1	1	1	mmu-miR-219a-5p	-0.33	-0.33	0.61	2007, 2009, 2011
Ccdc177	ENSMUST00000073251.6	coiled-coil domain containing 177 	5	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-0.32	-0.32	0.80	2009, 2011
Skida1	ENSMUST00000091420.5	SKI/DACH domain containing 1 	61	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.32	-0.36	0.90	2007, 2009, 2011
Kbtbd8	ENSMUST00000119582.1	kelch repeat and BTB (POZ) domain containing 8 	62	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.32	-0.32	0.71	2005, 2007, 2009, 2011
Nol4	ENSMUST00000097651.4	nucleolar protein 4 	13	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.32	-0.32	0.87	2007, 2009, 2011
Klf3	ENSMUST00000165536.2	Kruppel-like factor 3 (basic) 	4159	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.32	-0.35	0.83	
Abhd13	ENSMUST00000139793.2	abhydrolase domain containing 13 	879	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.31	-0.32	0.92	2007, 2009, 2011
Esr2	ENSMUST00000110421.2	estrogen receptor 2 (beta) 	12	1	1	0	0	1	0	1	0	1	mmu-miR-219a-5p	-0.31	-0.33	0.19	2009, 2011
Elk1	ENSMUST00000009550.8	ELK1, member of ETS oncogene family 	124	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.31	-0.33	< 0.1	2005, 2007, 2009, 2011
Nipal2	ENSMUST00000040791.7	NIPA-like domain containing 2 	44	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.31	-0.31	0.46	2007, 2009, 2011
Upf3b	ENSMUST00000076265.7	UPF3 regulator of nonsense transcripts homolog B (yeast) 	362	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.31	-0.31	< 0.1	2005, 2007
Esr1	ENSMUST00000105590.2	estrogen receptor 1 (alpha) 	79	1	0	1	0	0	0	0	0	1	mmu-miR-219a-5p	-0.31	-0.31	0.40	2005, 2007, 2009, 2011
Pkig	ENSMUST00000164399.2	protein kinase inhibitor, gamma 	9	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.31	-0.54	< 0.1	2007, 2009, 2011
Ash1l	ENSMUST00000186583.1	ash1 (absent, small, or homeotic)-like (Drosophila) 	678	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.30	-0.31	0.78	2007, 2009, 2011
Fam199x	ENSMUST00000047852.7	family with sequence similarity 199, X-linked 	16	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.30	-0.30	0.75	2007, 2009, 2011
Kcna4	ENSMUST00000037012.2	potassium voltage-gated channel, shaker-related subfamily, member 4 	12	1	1	0	0	3	1	1	1	2	mmu-miR-219a-5p	-0.30	-0.59	0.94	2009, 2011
Cbfa2t3	ENSMUST00000127984.2	core-binding factor, runt domain, alpha subunit 2, translocated to, 3 (human) 	162	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.30	-0.32	0.91	2005, 2007, 2009, 2011
Tpcn1	ENSMUST00000046426.8	two pore channel 1 	293	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.30	-0.34	0.94	2009, 2011
Thsd7b	ENSMUST00000073527.7	thrombospondin, type I, domain containing 7B 	13	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.30	-0.30	0.63	2007, 2009, 2011
Nek6	ENSMUST00000054234.4	NIMA (never in mitosis gene a)-related expressed kinase 6 	1218	1	0	1	0	2	1	0	1	0	mmu-miR-219a-5p	-0.30	-0.44	0.11	2005, 2007, 2009, 2011
Krt222	ENSMUST00000103132.4	keratin 222 	36	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.30	-0.40	< 0.1	2007, 2009, 2011
Trhde	ENSMUST00000061632.7	TRH-degrading enzyme 	58	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-0.30	-0.33	0.95	2005, 2007, 2009, 2011
Fzd5	ENSMUST00000063982.6	frizzled homolog 5 (Drosophila) 	316	1	1	0	0	1	0	1	0	0	mmu-miR-219a-5p	-0.30	-0.33	0.88	2007, 2009, 2011
Lpgat1	ENSMUST00000110855.2	lysophosphatidylglycerol acyltransferase 1 	2359	1	0	1	0	1	0	0	1	2	mmu-miR-219a-5p	-0.29	-0.33	0.77	2005, 2007, 2009, 2011
Fam210b	ENSMUST00000028995.4	family with sequence similarity 210, member B 	1335	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.29	-0.33	0.56	2007, 2009, 2011
Tacc1	ENSMUST00000084512.5	transforming, acidic coiled-coil containing protein 1 	1550	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.29	-0.29	0.90	2005, 2007, 2009, 2011
Mef2d	ENSMUST00000119251.2	myocyte enhancer factor 2D 	1438	2	1	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.29	-0.56	0.98	2005, 2007, 2009, 2011
Dcbld2	ENSMUST00000046663.7	discoidin, CUB and LCCL domain containing 2 	1115	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.29	-0.32	0.91	2005, 2007, 2009, 2011
D15Ertd621e	ENSMUST00000037270.3	DNA segment, Chr 15, ERATO Doi 621, expressed 	2211	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.29	-0.29	0.92	2009, 2011
Rims1	ENSMUST00000115273.3	regulating synaptic membrane exocytosis 1 	27	1	1	0	0	1	0	0	1	0	mmu-miR-219a-5p	-0.29	-0.29	0.88	
S100pbp	ENSMUST00000106061.3	S100P binding protein 	727	1	1	0	0	1	0	1	0	0	mmu-miR-219a-5p	-0.29	-0.43	0.87	2007
Gba2	ENSMUST00000030189.8	glucosidase beta 2 	149	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.28	-0.28	0.71	2005, 2007, 2009, 2011
Pip5k1c	ENSMUST00000045469.9	phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma 	536	1	0	1	0	1	0	0	1	0	mmu-miR-219a-5p	-0.28	-0.29	0.87	2005, 2007, 2011
Mkl1	ENSMUST00000149582.2	MKL (megakaryoblastic leukemia)/myocardin-like 1 	25	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.28	-0.28	0.84	2005, 2007, 2009, 2011
Cdh6	ENSMUST00000036439.4	cadherin 6 	1	1	0	1	0	0	0	0	0	1	mmu-miR-219a-5p	-0.28	-0.28	0.82	
Frmd6	ENSMUST00000057859.7	FERM domain containing 6 	8	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.28	-0.28	0.64	2007, 2009, 2011
Pdgfra	ENSMUST00000000476.9	platelet derived growth factor receptor, alpha polypeptide 	1153	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.28	-0.30	0.92	2005, 2007, 2009, 2011
Ntng1	ENSMUST00000156177.3	netrin G1 	13	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.28	-0.28	0.69	2005, 2007, 2009, 2011
Ank	ENSMUST00000022875.6	progressive ankylosis 	1833	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.28	-0.28	0.89	2009, 2011
Ppp1r14b	ENSMUST00000070850.6	protein phosphatase 1, regulatory (inhibitor) subunit 14B 	16	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.28	-0.28	0.67	2007, 2009, 2011
Dmxl1	ENSMUST00000041772.5	Dmx-like 1 	1153	1	0	0	1	0	0	0	0	1	mmu-miR-219a-5p	-0.28	-0.46	0.69	2005, 2007, 2009, 2011
Lrrc8a	ENSMUST00000095078.2	leucine rich repeat containing 8A 	1153	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.28	-0.28	0.65	2005, 2007, 2009, 2011
Gprc5b	ENSMUST00000008878.8	G protein-coupled receptor, family C, group 5, member B 	580	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.28	-0.47	0.87	2009, 2011
Slc16a7	ENSMUST00000063318.3	solute carrier family 16 (monocarboxylic acid transporters), member 7 	330	1	0	0	1	2	1	0	1	2	mmu-miR-219a-5p	-0.28	-0.41	0.54	
Ocrl	ENSMUST00000001202.9	oculocerebrorenal syndrome of Lowe 	388	1	0	1	0	0	0	0	0	1	mmu-miR-219a-5p	-0.28	-0.28	0.70	2005, 2007, 2009, 2011
Plk2	ENSMUST00000022212.7	polo-like kinase 2 	2715	1	0	1	0	1	0	0	1	1	mmu-miR-219a-5p	-0.27	-0.29	0.19	2005, 2007, 2009, 2011
Ergic1	ENSMUST00000167662.2	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1 	2584	1	0	1	0	0	0	0	0	1	mmu-miR-219a-5p	-0.27	-0.38	0.93	2009, 2011
Megf11	ENSMUST00000068967.5	multiple EGF-like-domains 11 	10	1	0	1	0	3	0	0	3	0	mmu-miR-219a-5p	-0.27	-0.27	0.67	2005, 2007, 2009, 2011
Eya1	ENSMUST00000027066.7	eyes absent 1 homolog (Drosophila) 	503	1	0	1	0	0	0	0	0	0	mmu-miR-219a-5p	-0.27	-0.27	0.88	2005, 2007, 2009, 2011
Lhx4	ENSMUST00000027740.8	LIM homeobox protein 4 	5	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.27	-0.27	0.84	
Dnal1	ENSMUST00000123491.2	dynein, axonemal, light chain 1 	52	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.27	-0.39	0.90	2009, 2011
Podxl	ENSMUST00000026698.7	podocalyxin-like 	642	1	0	1	0	0	0	0	0	1	mmu-miR-219a-5p	-0.27	-0.27	0.83	2005, 2007, 2009, 2011
